X1,geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-13,100
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-14,105.32
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-15,105.99
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-16,111.03
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-17,126.49
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-18,116.76
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-19,86.25
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-20,95.69
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-21,105.11
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-22,104.94
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-23,106.87
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-24,123.88
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-25,114.35
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-26,81.75
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-27,98.13
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-28,98.05
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-29,104.12
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-30,106.16
1,city,Anchorage,driving,NA,Alaska,United States,2020-01-31,122.86
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-01,115.03
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-02,79.32
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-03,102.84
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-04,102.53
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-05,109.66
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-06,114.82
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-07,131.74
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-08,119.45
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-09,90.37
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-10,102.81
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-11,108.26
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-12,106.66
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-13,120.72
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-14,144.93
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-15,124.58
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-16,96.39
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-17,105.7
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-18,105.34
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-19,110.4
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-20,114.96
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-21,133.04
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-22,128.69
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-23,92.23
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-24,111.47
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-25,113.36
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-26,114.92
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-27,120.72
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-28,142
1,city,Anchorage,driving,NA,Alaska,United States,2020-02-29,133.59
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-01,93.78
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-02,112.97
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-03,109.27
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-04,113.55
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-05,120.82
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-06,141.4
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-07,133.68
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-08,96.2
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-09,116.31
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-10,115.36
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-11,117.92
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-12,116.49
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-13,123.28
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-14,107.72
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-15,78.49
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-16,90.77
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-17,89.92
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-18,80.92
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-19,77.66
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-20,86.23
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-21,70.21
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-22,61.61
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-23,63.7
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-24,64.81
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-25,64.03
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-26,66.73
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-27,71.43
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-28,62.05
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-29,47.95
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-30,62.69
1,city,Anchorage,driving,NA,Alaska,United States,2020-03-31,64.63
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-01,66.44
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-02,62.01
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-03,73.66
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-04,64.97
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-05,54.08
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-06,66.74
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-07,67.89
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-08,67.9
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-09,71.87
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-10,81.12
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-11,76.6
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-12,47.23
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-13,69.03
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-14,75.12
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-15,82.04
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-16,82.65
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-17,94.62
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-18,86.79
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-19,67.63
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-20,82.42
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-21,84.64
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-22,90.44
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-23,91.08
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-24,103.09
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-25,101.44
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-26,80.86
1,city,Anchorage,driving,NA,Alaska,United States,2020-04-27,101.87
