geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Antioch,driving,NA,California,United States,2020-01-13,100
city,Antioch,driving,NA,California,United States,2020-01-14,100.7
city,Antioch,driving,NA,California,United States,2020-01-15,100.63
city,Antioch,driving,NA,California,United States,2020-01-16,100.34
city,Antioch,driving,NA,California,United States,2020-01-17,116.47
city,Antioch,driving,NA,California,United States,2020-01-18,112.4
city,Antioch,driving,NA,California,United States,2020-01-19,83.26
city,Antioch,driving,NA,California,United States,2020-01-20,94.94
city,Antioch,driving,NA,California,United States,2020-01-21,102.1
city,Antioch,driving,NA,California,United States,2020-01-22,106.51
city,Antioch,driving,NA,California,United States,2020-01-23,102.47
city,Antioch,driving,NA,California,United States,2020-01-24,118.85
city,Antioch,driving,NA,California,United States,2020-01-25,115.7
city,Antioch,driving,NA,California,United States,2020-01-26,85.13
city,Antioch,driving,NA,California,United States,2020-01-27,99.35
city,Antioch,driving,NA,California,United States,2020-01-28,102.41
city,Antioch,driving,NA,California,United States,2020-01-29,104.46
city,Antioch,driving,NA,California,United States,2020-01-30,104.4
city,Antioch,driving,NA,California,United States,2020-01-31,119.31
city,Antioch,driving,NA,California,United States,2020-02-01,119.84
city,Antioch,driving,NA,California,United States,2020-02-02,86.26
city,Antioch,driving,NA,California,United States,2020-02-03,100.87
city,Antioch,driving,NA,California,United States,2020-02-04,105.53
city,Antioch,driving,NA,California,United States,2020-02-05,105.47
city,Antioch,driving,NA,California,United States,2020-02-06,107.21
city,Antioch,driving,NA,California,United States,2020-02-07,122.15
city,Antioch,driving,NA,California,United States,2020-02-08,124.21
city,Antioch,driving,NA,California,United States,2020-02-09,90.01
city,Antioch,driving,NA,California,United States,2020-02-10,105.5
city,Antioch,driving,NA,California,United States,2020-02-11,110.09
city,Antioch,driving,NA,California,United States,2020-02-12,106.47
city,Antioch,driving,NA,California,United States,2020-02-13,115.7
city,Antioch,driving,NA,California,United States,2020-02-14,131.67
city,Antioch,driving,NA,California,United States,2020-02-15,117.6
city,Antioch,driving,NA,California,United States,2020-02-16,93.54
city,Antioch,driving,NA,California,United States,2020-02-17,100.16
city,Antioch,driving,NA,California,United States,2020-02-18,108.84
city,Antioch,driving,NA,California,United States,2020-02-19,108.62
city,Antioch,driving,NA,California,United States,2020-02-20,109.08
city,Antioch,driving,NA,California,United States,2020-02-21,126.77
city,Antioch,driving,NA,California,United States,2020-02-22,132.18
city,Antioch,driving,NA,California,United States,2020-02-23,96.89
city,Antioch,driving,NA,California,United States,2020-02-24,110.63
city,Antioch,driving,NA,California,United States,2020-02-25,111.03
city,Antioch,driving,NA,California,United States,2020-02-26,109.02
city,Antioch,driving,NA,California,United States,2020-02-27,121.17
city,Antioch,driving,NA,California,United States,2020-02-28,127.59
city,Antioch,driving,NA,California,United States,2020-02-29,128.02
city,Antioch,driving,NA,California,United States,2020-03-01,94.38
city,Antioch,driving,NA,California,United States,2020-03-02,109.11
city,Antioch,driving,NA,California,United States,2020-03-03,116.24
city,Antioch,driving,NA,California,United States,2020-03-04,108.97
city,Antioch,driving,NA,California,United States,2020-03-05,112.96
city,Antioch,driving,NA,California,United States,2020-03-06,125.31
city,Antioch,driving,NA,California,United States,2020-03-07,121.29
