geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Jacksonville,driving,NA,Florida,United States,2020-01-13,100
city,Jacksonville,driving,NA,Florida,United States,2020-01-14,102.63
city,Jacksonville,driving,NA,Florida,United States,2020-01-15,102.68
city,Jacksonville,driving,NA,Florida,United States,2020-01-16,108.71
city,Jacksonville,driving,NA,Florida,United States,2020-01-17,123.1
city,Jacksonville,driving,NA,Florida,United States,2020-01-18,114.43
city,Jacksonville,driving,NA,Florida,United States,2020-01-19,78.55
city,Jacksonville,driving,NA,Florida,United States,2020-01-20,94.7
city,Jacksonville,driving,NA,Florida,United States,2020-01-21,100.27
city,Jacksonville,driving,NA,Florida,United States,2020-01-22,98.2
city,Jacksonville,driving,NA,Florida,United States,2020-01-23,102.66
city,Jacksonville,driving,NA,Florida,United States,2020-01-24,120.73
city,Jacksonville,driving,NA,Florida,United States,2020-01-25,111.73
city,Jacksonville,driving,NA,Florida,United States,2020-01-26,74.82
city,Jacksonville,driving,NA,Florida,United States,2020-01-27,94.19
city,Jacksonville,driving,NA,Florida,United States,2020-01-28,100.01
city,Jacksonville,driving,NA,Florida,United States,2020-01-29,101.51
city,Jacksonville,driving,NA,Florida,United States,2020-01-30,107.96
city,Jacksonville,driving,NA,Florida,United States,2020-01-31,121.48
city,Jacksonville,driving,NA,Florida,United States,2020-02-01,110.31
city,Jacksonville,driving,NA,Florida,United States,2020-02-02,76.54
city,Jacksonville,driving,NA,Florida,United States,2020-02-03,97.03
city,Jacksonville,driving,NA,Florida,United States,2020-02-04,103.2
city,Jacksonville,driving,NA,Florida,United States,2020-02-05,104.3
city,Jacksonville,driving,NA,Florida,United States,2020-02-06,103.55
city,Jacksonville,driving,NA,Florida,United States,2020-02-07,121.18
city,Jacksonville,driving,NA,Florida,United States,2020-02-08,115.44
city,Jacksonville,driving,NA,Florida,United States,2020-02-09,84.19
city,Jacksonville,driving,NA,Florida,United States,2020-02-10,102.24
city,Jacksonville,driving,NA,Florida,United States,2020-02-11,106.85
city,Jacksonville,driving,NA,Florida,United States,2020-02-12,109.89
city,Jacksonville,driving,NA,Florida,United States,2020-02-13,119.44
city,Jacksonville,driving,NA,Florida,United States,2020-02-14,136.12
city,Jacksonville,driving,NA,Florida,United States,2020-02-15,121.91
city,Jacksonville,driving,NA,Florida,United States,2020-02-16,86.87
city,Jacksonville,driving,NA,Florida,United States,2020-02-17,102.97
city,Jacksonville,driving,NA,Florida,United States,2020-02-18,108.73
city,Jacksonville,driving,NA,Florida,United States,2020-02-19,109.03
city,Jacksonville,driving,NA,Florida,United States,2020-02-20,113.01
city,Jacksonville,driving,NA,Florida,United States,2020-02-21,126.25
city,Jacksonville,driving,NA,Florida,United States,2020-02-22,119.35
city,Jacksonville,driving,NA,Florida,United States,2020-02-23,85.64
city,Jacksonville,driving,NA,Florida,United States,2020-02-24,105.5
city,Jacksonville,driving,NA,Florida,United States,2020-02-25,112.02
city,Jacksonville,driving,NA,Florida,United States,2020-02-26,128.86
city,Jacksonville,driving,NA,Florida,United States,2020-02-27,121.72
city,Jacksonville,driving,NA,Florida,United States,2020-02-28,136.67
city,Jacksonville,driving,NA,Florida,United States,2020-02-29,135.99
city,Jacksonville,driving,NA,Florida,United States,2020-03-01,90.8
city,Jacksonville,driving,NA,Florida,United States,2020-03-02,110.03
city,Jacksonville,driving,NA,Florida,United States,2020-03-03,115.17
city,Jacksonville,driving,NA,Florida,United States,2020-03-04,121.55
city,Jacksonville,driving,NA,Florida,United States,2020-03-05,119.58
city,Jacksonville,driving,NA,Florida,United States,2020-03-06,137.91
city,Jacksonville,driving,NA,Florida,United States,2020-03-07,129.09
city,Jacksonville,driving,NA,Florida,United States,2020-03-08,88.76
city,Jacksonville,driving,NA,Florida,United States,2020-03-09,109.57
city,Jacksonville,driving,NA,Florida,United States,2020-03-10,113.47
city,Jacksonville,driving,NA,Florida,United States,2020-03-11,115.95
city,Jacksonville,driving,NA,Florida,United States,2020-03-12,118.34
city,Jacksonville,driving,NA,Florida,United States,2020-03-13,123.45
city,Jacksonville,driving,NA,Florida,United States,2020-03-14,109.53
city,Jacksonville,driving,NA,Florida,United States,2020-03-15,79.49
city,Jacksonville,driving,NA,Florida,United States,2020-03-16,90.17
city,Jacksonville,driving,NA,Florida,United States,2020-03-17,86.39
city,Jacksonville,driving,NA,Florida,United States,2020-03-18,82.5
city,Jacksonville,driving,NA,Florida,United States,2020-03-19,82.97
city,Jacksonville,driving,NA,Florida,United States,2020-03-20,85.88
city,Jacksonville,driving,NA,Florida,United States,2020-03-21,71.43
city,Jacksonville,driving,NA,Florida,United States,2020-03-22,51.06
city,Jacksonville,driving,NA,Florida,United States,2020-03-23,65.56
city,Jacksonville,driving,NA,Florida,United States,2020-03-24,65.36
city,Jacksonville,driving,NA,Florida,United States,2020-03-25,65.57
city,Jacksonville,driving,NA,Florida,United States,2020-03-26,67.18
city,Jacksonville,driving,NA,Florida,United States,2020-03-27,73.87
city,Jacksonville,driving,NA,Florida,United States,2020-03-28,65.78
city,Jacksonville,driving,NA,Florida,United States,2020-03-29,49.3
city,Jacksonville,driving,NA,Florida,United States,2020-03-30,62.04
city,Jacksonville,driving,NA,Florida,United States,2020-03-31,62.52
city,Jacksonville,driving,NA,Florida,United States,2020-04-01,62.56
city,Jacksonville,driving,NA,Florida,United States,2020-04-02,65.8
city,Jacksonville,driving,NA,Florida,United States,2020-04-03,62.61
city,Jacksonville,driving,NA,Florida,United States,2020-04-04,52.71
city,Jacksonville,driving,NA,Florida,United States,2020-04-05,39.3
city,Jacksonville,driving,NA,Florida,United States,2020-04-06,56.74
city,Jacksonville,driving,NA,Florida,United States,2020-04-07,58.51
city,Jacksonville,driving,NA,Florida,United States,2020-04-08,58.76
city,Jacksonville,driving,NA,Florida,United States,2020-04-09,62.35
city,Jacksonville,driving,NA,Florida,United States,2020-04-10,68.32
city,Jacksonville,driving,NA,Florida,United States,2020-04-11,60.03
city,Jacksonville,driving,NA,Florida,United States,2020-04-12,38.85
city,Jacksonville,driving,NA,Florida,United States,2020-04-13,57.76
city,Jacksonville,driving,NA,Florida,United States,2020-04-14,59.14
city,Jacksonville,driving,NA,Florida,United States,2020-04-15,62.42
city,Jacksonville,driving,NA,Florida,United States,2020-04-16,69.68
city,Jacksonville,driving,NA,Florida,United States,2020-04-17,77.14
city,Jacksonville,driving,NA,Florida,United States,2020-04-18,68.62
city,Jacksonville,driving,NA,Florida,United States,2020-04-19,53.55
city,Jacksonville,driving,NA,Florida,United States,2020-04-20,67.13
city,Jacksonville,driving,NA,Florida,United States,2020-04-21,71.73
city,Jacksonville,driving,NA,Florida,United States,2020-04-22,72.37
city,Jacksonville,driving,NA,Florida,United States,2020-04-23,72.85
city,Jacksonville,driving,NA,Florida,United States,2020-04-24,79.13
city,Jacksonville,driving,NA,Florida,United States,2020-04-25,78.82
city,Jacksonville,driving,NA,Florida,United States,2020-04-26,60.54
city,Jacksonville,driving,NA,Florida,United States,2020-04-27,73.7
city,Jacksonville,driving,NA,Florida,United States,2020-04-28,76.44
city,Jacksonville,driving,NA,Florida,United States,2020-04-29,78.98
city,Jacksonville,driving,NA,Florida,United States,2020-04-30,80.2
city,Jacksonville,driving,NA,Florida,United States,2020-05-01,94.19
city,Jacksonville,driving,NA,Florida,United States,2020-05-02,87.56
city,Jacksonville,driving,NA,Florida,United States,2020-05-03,68.49
city,Jacksonville,driving,NA,Florida,United States,2020-05-04,85.22
city,Jacksonville,driving,NA,Florida,United States,2020-05-05,89.59
city,Jacksonville,driving,NA,Florida,United States,2020-05-06,87.77
city,Jacksonville,driving,NA,Florida,United States,2020-05-07,91.78
city,Jacksonville,driving,NA,Florida,United States,2020-05-08,106.82
city,Jacksonville,driving,NA,Florida,United States,2020-05-09,99.58
city,Jacksonville,driving,NA,Florida,United States,2020-05-10,71.72
city,Jacksonville,driving,NA,Florida,United States,2020-05-11,NA
city,Jacksonville,driving,NA,Florida,United States,2020-05-12,NA
city,Jacksonville,driving,NA,Florida,United States,2020-05-13,98.12
city,Jacksonville,driving,NA,Florida,United States,2020-05-14,103.63
city,Jacksonville,driving,NA,Florida,United States,2020-05-15,118.52
city,Jacksonville,driving,NA,Florida,United States,2020-05-16,113.94
city,Jacksonville,driving,NA,Florida,United States,2020-05-17,88.5
city,Jacksonville,driving,NA,Florida,United States,2020-05-18,103.4
city,Jacksonville,driving,NA,Florida,United States,2020-05-19,106.45
city,Jacksonville,driving,NA,Florida,United States,2020-05-20,107.66
city,Jacksonville,driving,NA,Florida,United States,2020-05-21,113.63
city,Jacksonville,driving,NA,Florida,United States,2020-05-22,131.77
city,Jacksonville,driving,NA,Florida,United States,2020-05-23,124.88
city,Jacksonville,driving,NA,Florida,United States,2020-05-24,99.35
city,Jacksonville,driving,NA,Florida,United States,2020-05-25,89.21
city,Jacksonville,driving,NA,Florida,United States,2020-05-26,110.29
city,Jacksonville,driving,NA,Florida,United States,2020-05-27,111.29
city,Jacksonville,driving,NA,Florida,United States,2020-05-28,112.56
city,Jacksonville,driving,NA,Florida,United States,2020-05-29,129.39
city,Jacksonville,driving,NA,Florida,United States,2020-05-30,127.59
city,Jacksonville,driving,NA,Florida,United States,2020-05-31,90.54
city,Jacksonville,driving,NA,Florida,United States,2020-06-01,109.38
city,Jacksonville,driving,NA,Florida,United States,2020-06-02,112.89
city,Jacksonville,driving,NA,Florida,United States,2020-06-03,114.42
city,Jacksonville,driving,NA,Florida,United States,2020-06-04,115.15
city,Jacksonville,driving,NA,Florida,United States,2020-06-05,133.05
city,Jacksonville,driving,NA,Florida,United States,2020-06-06,125.6
city,Jacksonville,driving,NA,Florida,United States,2020-06-07,85.47
city,Jacksonville,driving,NA,Florida,United States,2020-06-08,113.24
city,Jacksonville,driving,NA,Florida,United States,2020-06-09,116.53
city,Jacksonville,driving,NA,Florida,United States,2020-06-10,118.95
city,Jacksonville,driving,NA,Florida,United States,2020-06-11,124.65
city,Jacksonville,driving,NA,Florida,United States,2020-06-12,143.74
city,Jacksonville,driving,NA,Florida,United States,2020-06-13,140.98
