geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
county,Beaverhead County,driving,NA,Montana,United States,2020-01-13,100
county,Beaverhead County,driving,NA,Montana,United States,2020-01-14,68.66
county,Beaverhead County,driving,NA,Montana,United States,2020-01-15,74.35
county,Beaverhead County,driving,NA,Montana,United States,2020-01-16,76.05
county,Beaverhead County,driving,NA,Montana,United States,2020-01-17,101.9
county,Beaverhead County,driving,NA,Montana,United States,2020-01-18,90.72
county,Beaverhead County,driving,NA,Montana,United States,2020-01-19,81.54
county,Beaverhead County,driving,NA,Montana,United States,2020-01-20,88.72
county,Beaverhead County,driving,NA,Montana,United States,2020-01-21,82.04
county,Beaverhead County,driving,NA,Montana,United States,2020-01-22,67.76
county,Beaverhead County,driving,NA,Montana,United States,2020-01-23,76.55
county,Beaverhead County,driving,NA,Montana,United States,2020-01-24,82.04
county,Beaverhead County,driving,NA,Montana,United States,2020-01-25,88.62
county,Beaverhead County,driving,NA,Montana,United States,2020-01-26,66.37
county,Beaverhead County,driving,NA,Montana,United States,2020-01-27,73.95
county,Beaverhead County,driving,NA,Montana,United States,2020-01-28,66.67
county,Beaverhead County,driving,NA,Montana,United States,2020-01-29,64.37
county,Beaverhead County,driving,NA,Montana,United States,2020-01-30,85.23
county,Beaverhead County,driving,NA,Montana,United States,2020-01-31,82.53
county,Beaverhead County,driving,NA,Montana,United States,2020-02-01,85.73
county,Beaverhead County,driving,NA,Montana,United States,2020-02-02,69.76
county,Beaverhead County,driving,NA,Montana,United States,2020-02-03,68.96
county,Beaverhead County,driving,NA,Montana,United States,2020-02-04,63.27
county,Beaverhead County,driving,NA,Montana,United States,2020-02-05,56.39
county,Beaverhead County,driving,NA,Montana,United States,2020-02-06,71.66
county,Beaverhead County,driving,NA,Montana,United States,2020-02-07,102.59
county,Beaverhead County,driving,NA,Montana,United States,2020-02-08,78.54
county,Beaverhead County,driving,NA,Montana,United States,2020-02-09,79.84
county,Beaverhead County,driving,NA,Montana,United States,2020-02-10,71.36
county,Beaverhead County,driving,NA,Montana,United States,2020-02-11,67.56
county,Beaverhead County,driving,NA,Montana,United States,2020-02-12,64.27
county,Beaverhead County,driving,NA,Montana,United States,2020-02-13,86.73
county,Beaverhead County,driving,NA,Montana,United States,2020-02-14,106.09
county,Beaverhead County,driving,NA,Montana,United States,2020-02-15,110.08
county,Beaverhead County,driving,NA,Montana,United States,2020-02-16,96.41
county,Beaverhead County,driving,NA,Montana,United States,2020-02-17,96.11
county,Beaverhead County,driving,NA,Montana,United States,2020-02-18,75.65
county,Beaverhead County,driving,NA,Montana,United States,2020-02-19,77.84
county,Beaverhead County,driving,NA,Montana,United States,2020-02-20,78.94
county,Beaverhead County,driving,NA,Montana,United States,2020-02-21,83.03
county,Beaverhead County,driving,NA,Montana,United States,2020-02-22,96.01
county,Beaverhead County,driving,NA,Montana,United States,2020-02-23,81.64
county,Beaverhead County,driving,NA,Montana,United States,2020-02-24,74.35
county,Beaverhead County,driving,NA,Montana,United States,2020-02-25,83.43
county,Beaverhead County,driving,NA,Montana,United States,2020-02-26,78.04
county,Beaverhead County,driving,NA,Montana,United States,2020-02-27,90.72
county,Beaverhead County,driving,NA,Montana,United States,2020-02-28,124.75
county,Beaverhead County,driving,NA,Montana,United States,2020-02-29,111.48
county,Beaverhead County,driving,NA,Montana,United States,2020-03-01,100.9
county,Beaverhead County,driving,NA,Montana,United States,2020-03-02,78.34
county,Beaverhead County,driving,NA,Montana,United States,2020-03-03,84.53
county,Beaverhead County,driving,NA,Montana,United States,2020-03-04,84.73
county,Beaverhead County,driving,NA,Montana,United States,2020-03-05,92.81
county,Beaverhead County,driving,NA,Montana,United States,2020-03-06,113.77
county,Beaverhead County,driving,NA,Montana,United States,2020-03-07,101.4
county,Beaverhead County,driving,NA,Montana,United States,2020-03-08,87.72
county,Beaverhead County,driving,NA,Montana,United States,2020-03-09,85.43
county,Beaverhead County,driving,NA,Montana,United States,2020-03-10,69.36
county,Beaverhead County,driving,NA,Montana,United States,2020-03-11,90.12
county,Beaverhead County,driving,NA,Montana,United States,2020-03-12,88.82
county,Beaverhead County,driving,NA,Montana,United States,2020-03-13,107.39
county,Beaverhead County,driving,NA,Montana,United States,2020-03-14,94.51
county,Beaverhead County,driving,NA,Montana,United States,2020-03-15,101.4
county,Beaverhead County,driving,NA,Montana,United States,2020-03-16,123.65
county,Beaverhead County,driving,NA,Montana,United States,2020-03-17,111.38
county,Beaverhead County,driving,NA,Montana,United States,2020-03-18,130.04
county,Beaverhead County,driving,NA,Montana,United States,2020-03-19,119.26
county,Beaverhead County,driving,NA,Montana,United States,2020-03-20,126.45
county,Beaverhead County,driving,NA,Montana,United States,2020-03-21,106.89
county,Beaverhead County,driving,NA,Montana,United States,2020-03-22,100.4
county,Beaverhead County,driving,NA,Montana,United States,2020-03-23,70.16
county,Beaverhead County,driving,NA,Montana,United States,2020-03-24,62.48
county,Beaverhead County,driving,NA,Montana,United States,2020-03-25,87.82
county,Beaverhead County,driving,NA,Montana,United States,2020-03-26,99.1
county,Beaverhead County,driving,NA,Montana,United States,2020-03-27,66.87
county,Beaverhead County,driving,NA,Montana,United States,2020-03-28,65.57
county,Beaverhead County,driving,NA,Montana,United States,2020-03-29,62.28
county,Beaverhead County,driving,NA,Montana,United States,2020-03-30,51.7
county,Beaverhead County,driving,NA,Montana,United States,2020-03-31,60.48
county,Beaverhead County,driving,NA,Montana,United States,2020-04-01,53.59
