X1,geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
1,city,Albany,driving,NA,New York,United States,2020-01-13,100
1,city,Albany,driving,NA,New York,United States,2020-01-14,102.35
1,city,Albany,driving,NA,New York,United States,2020-01-15,107.35
1,city,Albany,driving,NA,New York,United States,2020-01-16,105.54
1,city,Albany,driving,NA,New York,United States,2020-01-17,128.97
1,city,Albany,driving,NA,New York,United States,2020-01-18,88.28
1,city,Albany,driving,NA,New York,United States,2020-01-19,82.76
1,city,Albany,driving,NA,New York,United States,2020-01-20,102.46
1,city,Albany,driving,NA,New York,United States,2020-01-21,107.77
1,city,Albany,driving,NA,New York,United States,2020-01-22,107.04
1,city,Albany,driving,NA,New York,United States,2020-01-23,114.17
1,city,Albany,driving,NA,New York,United States,2020-01-24,132.02
1,city,Albany,driving,NA,New York,United States,2020-01-25,115.15
1,city,Albany,driving,NA,New York,United States,2020-01-26,83.86
1,city,Albany,driving,NA,New York,United States,2020-01-27,93.89
1,city,Albany,driving,NA,New York,United States,2020-01-28,102.31
1,city,Albany,driving,NA,New York,United States,2020-01-29,102.33
1,city,Albany,driving,NA,New York,United States,2020-01-30,107.47
1,city,Albany,driving,NA,New York,United States,2020-01-31,124.97
1,city,Albany,driving,NA,New York,United States,2020-02-01,113.66
1,city,Albany,driving,NA,New York,United States,2020-02-02,82.88
1,city,Albany,driving,NA,New York,United States,2020-02-03,96.99
1,city,Albany,driving,NA,New York,United States,2020-02-04,105.98
1,city,Albany,driving,NA,New York,United States,2020-02-05,102.92
1,city,Albany,driving,NA,New York,United States,2020-02-06,98.07
1,city,Albany,driving,NA,New York,United States,2020-02-07,111.03
1,city,Albany,driving,NA,New York,United States,2020-02-08,111.88
1,city,Albany,driving,NA,New York,United States,2020-02-09,89.98
1,city,Albany,driving,NA,New York,United States,2020-02-10,97.76
1,city,Albany,driving,NA,New York,United States,2020-02-11,107.7
1,city,Albany,driving,NA,New York,United States,2020-02-12,109.64
1,city,Albany,driving,NA,New York,United States,2020-02-13,114.25
1,city,Albany,driving,NA,New York,United States,2020-02-14,147.29
1,city,Albany,driving,NA,New York,United States,2020-02-15,121.26
1,city,Albany,driving,NA,New York,United States,2020-02-16,96.17
1,city,Albany,driving,NA,New York,United States,2020-02-17,111.14
1,city,Albany,driving,NA,New York,United States,2020-02-18,104.76
1,city,Albany,driving,NA,New York,United States,2020-02-19,112.35
1,city,Albany,driving,NA,New York,United States,2020-02-20,114.82
1,city,Albany,driving,NA,New York,United States,2020-02-21,131.24
1,city,Albany,driving,NA,New York,United States,2020-02-22,118.86
1,city,Albany,driving,NA,New York,United States,2020-02-23,93.25
1,city,Albany,driving,NA,New York,United States,2020-02-24,106.84
1,city,Albany,driving,NA,New York,United States,2020-02-25,109.27
1,city,Albany,driving,NA,New York,United States,2020-02-26,112.12
1,city,Albany,driving,NA,New York,United States,2020-02-27,112.34
1,city,Albany,driving,NA,New York,United States,2020-02-28,137.94
1,city,Albany,driving,NA,New York,United States,2020-02-29,129.08
1,city,Albany,driving,NA,New York,United States,2020-03-01,95.86
1,city,Albany,driving,NA,New York,United States,2020-03-02,104.42
1,city,Albany,driving,NA,New York,United States,2020-03-03,111.92
