geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Akron,driving,NA,Ohio,United States,2020-01-13,100
city,Akron,driving,NA,Ohio,United States,2020-01-14,103.06
city,Akron,driving,NA,Ohio,United States,2020-01-15,107.5
city,Akron,driving,NA,Ohio,United States,2020-01-16,106.14
city,Akron,driving,NA,Ohio,United States,2020-01-17,123.62
city,Akron,driving,NA,Ohio,United States,2020-01-18,105.99
city,Akron,driving,NA,Ohio,United States,2020-01-19,82.68
city,Akron,driving,NA,Ohio,United States,2020-01-20,94.99
city,Akron,driving,NA,Ohio,United States,2020-01-21,97.36
city,Akron,driving,NA,Ohio,United States,2020-01-22,100.18
city,Akron,driving,NA,Ohio,United States,2020-01-23,102.92
city,Akron,driving,NA,Ohio,United States,2020-01-24,120.65
city,Akron,driving,NA,Ohio,United States,2020-01-25,119.77
city,Akron,driving,NA,Ohio,United States,2020-01-26,78.16
city,Akron,driving,NA,Ohio,United States,2020-01-27,93.02
city,Akron,driving,NA,Ohio,United States,2020-01-28,96.99
city,Akron,driving,NA,Ohio,United States,2020-01-29,97.29
city,Akron,driving,NA,Ohio,United States,2020-01-30,103.14
city,Akron,driving,NA,Ohio,United States,2020-01-31,121.16
city,Akron,driving,NA,Ohio,United States,2020-02-01,119
city,Akron,driving,NA,Ohio,United States,2020-02-02,79.54
city,Akron,driving,NA,Ohio,United States,2020-02-03,97.03
city,Akron,driving,NA,Ohio,United States,2020-02-04,99.8
city,Akron,driving,NA,Ohio,United States,2020-02-05,97.85
city,Akron,driving,NA,Ohio,United States,2020-02-06,104.75
city,Akron,driving,NA,Ohio,United States,2020-02-07,115.14
city,Akron,driving,NA,Ohio,United States,2020-02-08,111.85
city,Akron,driving,NA,Ohio,United States,2020-02-09,82.97
city,Akron,driving,NA,Ohio,United States,2020-02-10,98.61
city,Akron,driving,NA,Ohio,United States,2020-02-11,103.09
city,Akron,driving,NA,Ohio,United States,2020-02-12,103.82
city,Akron,driving,NA,Ohio,United States,2020-02-13,106.92
city,Akron,driving,NA,Ohio,United States,2020-02-14,132.26
