geo_type,region,transportation_type,alternative_name,sub-region,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03
city,Phoenix,driving,NA,Arizona,United States,100,104.44,107.22,111.28,126.12,115.83,85.22,98.21,103.91,104.83,108,120.78,114.22,77.21,100,104.85,107.67,113.59,127.74,118.67,77.06,99.86,105.39,104.65,109,127.32,124.05,83.69,101.79,106.02,111.81,120,138.14,121.81,90.82,106.32,110.32,115.63,118.88,135.8,129.21,99.78,112.94,116.18,117.12,121.89,136.75,142.68,98.21,111.98,115.34,117.72,124.28,140.43,130.55,94.02,111.09,111.02,109.11,105.42,113.62,106.86,76.55,89.34,83.27,71.5,72.25,75.97,65.89,47.46,61.65,60.94,60.33,60.62,65.84,59.57,45.26,57.83,56.68,53.33,54.9,62.22,53.69,41.56,53.65,55.23,55.34,57.84,64.9,56.81,36.59,56.36,58.32,63.09,63.64,72.41,65.56,50.41,64.17,63.3,64.67,67.15,74.82,68.52,51.95,65.42,66.69,68.25,71.37,81.61,75.87,56.97,71.39,74.3,73.47,75.86,87.05,81.47,58.8,NA,NA,82.76,86.16,99.27,94.46,73.32,89.59,92.46,94.24,98,111.41,99.43,79.71,78.66,95.37,97.49,99.3,110.96,103.63,74.32,90.53,92.35,96.03,98.61,110.23,104.05,81.19,98.97,100.35,101.12,104.32,115.58,111.2,84.11,99.23,101.26,101.78,103.95,115.43,105.64,75.57,98.26,101.7,100.72,102.39,113.55,104.28,79.44,95.83,97.73,99.24,103.88,99.19,74.45,69.45,92,94.51,95.44,97.22,107,96.3,74.68,92.78,95.76,97.39,102.7,109.87,100.7,77.64,94.26,97.36,99.2,100.71,111.93,105.53,81.7,97.23,99.65,103.79,104.69,115.51,111.57,85.14,100.43,102.72,100.07,102.48,116.93,111.19,84.28,97.55,101.6,101.83,104.75,122.16,114.94,86.59,102.15,103.9,105.16,105.97,122.39,117.77,87.51,98.49,100.83,102.29,104.59,119.49,114.1,85.85,100.24,103.26,105.27,109.8,127.03,114.17,88.96,86.82,101.46,105.4,109.07,122.34,121.95,88.25,103.31,104.03,106.16,108.93,127.26,122.25,89.29,100.56,102.39,104.12,106.45,122.44,121.16,85.96,97.22,98.36,101.96,106.59,120.98,117.05
city,Phoenix,transit,NA,Arizona,United States,100,106.52,101.87,100.82,105.16,91.88,76.41,93.08,98.96,104.56,99.17,104.23,91.12,72,99.23,99.69,102.22,102.26,107.84,93.76,71.58,97.06,100.53,100.89,98.64,109.81,99.8,75.87,96.51,101.08,106.45,105.28,110.02,94.05,79.67,97.86,103.87,104.89,104.44,112,91.85,85.49,102.84,110.35,103.18,100.09,109.35,102.76,82.27,103.69,105.7,105.88,105.23,117.88,102.6,80.26,100.98,96.33,85.38,82.61,81.97,77.57,63.75,83.36,68.85,55.34,56.57,55.44,47.82,40.34,53.01,50.59,48.96,49.49,48.28,42.99,39.71,47.74,42.49,42.08,40.69,41.45,40.21,36.15,42.08,40.64,39.22,41.84,42.02,38.34,30.87,42.3,37.46,40.15,38.44,42.1,38.96,35.8,41.22,40.44,40.11,42.12,42.94,37.68,33.88,41.39,42.56,43.76,42.24,46.96,41.55,36.92,45.4,44.19,43.64,44.65,48.55,42.92,35.9,NA,NA,47.88,46.64,50.63,47.02,40.35,51.13,51.09,51.46,48.82,56.11,50.46,45.41,48.73,54.13,52.49,53.07,56.28,51.23,45.22,51.17,52.82,52.39,51.03,53.94,50.58,46.53,54.79,54.57,55.16,56.66,58.3,55.07,47.87,57.18,55.6,56.22,53.33,56.75,51.83,41.81,52.81,55.57,51.98,51.74,54.62,48.99,43.34,50.44,50.93,49.07,50,49.99,42.28,38.47,52.56,47.54,49.1,47.89,50.17,46.7,38.14,48.56,49.5,48.8,50.8,50.55,47.12,40.29,51.32,50.19,50.25,50.06,51.61,46.84,40.63,50.55,51.41,52.49,50.11,53.42,48.72,40.15,52.93,51.82,49.07,47.31,53.03,50.09,41.58,49.85,49.89,51.46,50.73,55.37,50.32,45.93,53.85,54.89,56.35,55.34,56.9,55.3,45.99,54.67,55.4,53.45,55,58.79,53.18,46.34,56.61,56.51,58.62,58.11,63.31,54.32,46.87,48.3,58.61,58.21,59.54,58.94,61.24,49.13,57.55,56.08,63.33,65.04,69.18,62.23,53.72,61.74,61.48,60.46,62.08,63.71,62.74,54.07,63.13,58.84,61.35,63.08,64.65,61.06
city,Phoenix,walking,NA,Arizona,United States,100,101.83,97.06,100.94,120.6,131.65,95.53,93.45,89.61,96.08,98.33,116.57,124.92,79.77,88.38,95.65,98.6,106.1,132.82,149.18,86.75,88.02,89.57,87.99,95.08,128.18,140.02,85.45,87.1,91.5,97.56,106.26,133.59,134.6,99.65,100.31,95.46,100.55,106.56,128.74,131.63,96.87,101.87,98.13,101.78,102.79,130.54,147.17,97.39,95.1,100.91,100.81,108.49,142.22,144.53,96.85,100.71,97.17,92.09,91.98,102.62,106.33,74.19,82.33,77.24,60.05,66.67,68.81,62.18,47.54,58.57,57.02,56.83,56.09,58.79,56.61,45.14,54.24,52.32,52.01,54.27,59.76,53.65,43.41,53.38,53.9,53.68,57.85,63.08,56.34,38.57,54.72,57.76,59.73,58.98,65.62,61.55,48,61.23,59.3,60.18,60.92,67.88,60.03,47.57,60.27,60.76,63.23,63.92,72.37,66.05,50.07,64.56,67.94,66.03,68.1,79.33,75.58,53.19,NA,NA,82.42,84.33,98.27,92.55,68.99,88.18,92.22,96.33,96.3,110.54,107.32,83.35,77.92,94.04,94.82,98.09,112.01,105.9,73.16,90.98,91.27,97.85,94.86,109.19,108.39,82.87,94.81,96.71,96.4,102.83,117.8,114.02,84.11,93.59,94.54,96.78,98.57,114.93,108.51,72.68,94.67,97.97,98.33,102.34,116.24,108.17,78.4,93.96,98.68,99.6,99.43,104.29,77.8,69.02,93.15,92.54,94.6,96.93,108.76,97.49,72.05,91.4,96.29,98.01,99.88,111.27,100.33,73.26,94.11,95.91,98.8,101.65,113.03,105.08,76.63,94.42,97.69,101.17,104.92,115.75,107.8,78.47,98.2,100.55,102.08,101.8,120.75,111.3,79.17,95.15,97.8,103.37,105.4,126.68,121.81,88.53,108.26,111.06,113.94,114.85,130.31,125.24,88.24,103.98,104.47,106.98,106.67,124.79,121.65,86.38,101.83,106.76,109.1,110.52,129.96,121.52,92.36,88.99,99.72,107.38,109.34,127.48,128.09,87.77,102.71,105.85,108.31,112.5,132.65,132.53,91.63,101.54,105.05,106.42,109.43,131.51,130.61,89.02,101.35,103.56,106.96,113.02,131.26,131.51
city,Tucson,driving,NA,Arizona,United States,100,106.8,109.46,113.39,135.39,152.74,97,107.07,105.68,108.42,113.47,129.71,126.97,89.73,103.49,112.62,113.56,120.89,138.36,132.34,91.68,116.99,117.47,116.52,125.74,144.44,140.34,100.51,112.77,116.87,121.27,130.73,157.1,144.54,106.95,114.44,118.71,121.54,128.92,140.95,132.63,101.34,117.63,121.02,121.08,125.69,144.97,143.41,101.67,114.14,118.83,123.3,129.41,149.01,140.76,99.46,115.7,118.29,116.91,112.97,123.82,109.89,79.62,94.91,89.67,76.02,79.05,84,71.05,51.46,67.09,66.84,67.15,65.48,71.89,61.12,46.8,60.29,60.65,59.46,60.63,67.8,56.7,45.04,59.95,62.02,61.24,64,71.44,55.57,39.67,60.9,65.44,70.37,71.13,76.2,68.08,53.95,70.37,68.56,70.4,73.78,80.13,71.08,55.75,71.95,73.02,74.91,79.05,88.19,76.9,59.41,77.39,80.66,79.07,82.3,93.6,84.37,61.64,NA,NA,89.95,94.2,106.42,97.02,75.13,95.75,102.87,104.01,108.88,120.91,108.15,81.18,79.24,104.79,108.19,109.82,118.97,104.85,77.1,99.12,99.36,105.12,106.54,118.41,109.37,83.8,106.53,106.18,107.85,113.78,125.33,112.7,87.05,106.87,109.33,109.54,111.02,125.7,111.72,77.75,105.06,109.73,109.81,115.41,124.83,110.9,85.96,107.75,110.44,112.65,115.54,112.46,83.77,79.23,105.43,108.07,107.92,111.15,120.68,106.48,83.53,103.33,108.62,108.27,112.69,122.11,107.95,84.59,104.89,109.06,109.85,107.59,122.18,114.07,87.39,108.83,112.69,113.64,117.9,130.5,119.29,90.53,111.83,115.02,114.55,117.5,129.13,119.34,90.88,110.2,111.79,113.83,114.9,135.18,126.25,95.35,115.93,121.47,127.65,134.25,152.51,139.91,101.96,113.7,115.67,116.45,120.74,137.97,129.04,97.12,113.8,118.46,120.97,125.96,143.33,129.34,101.58,97.72,116.48,120.72,122.02,138.57,129.19,96.15,113.83,117.18,118.5,122.21,138.54,129.89,91.81,107.09,111.14,112.4,114.96,133.52,126.28,91.7,105.78,107.58,110.49,116.23,133.25,123.76
city,Tucson,transit,NA,Arizona,United States,100,107.22,111.48,103.97,109.27,97.15,78.97,94.98,110.03,113.2,109.19,109.11,95.47,71.03,103.49,111.56,110.67,108.27,106.06,93.14,71.59,106.7,106.46,100.4,106.82,111.92,96.87,75.96,102.69,101.4,113.92,112,120.14,103.69,82.02,107.22,116.09,102.53,106.14,102.89,88.76,83.35,118.98,113.72,108.23,109.75,115.77,90.17,76.24,107.42,106.18,104.09,112.96,118.06,100.4,84.07,108.67,106.94,108.23,94.7,85.83,74.96,59.07,72.71,65.73,50.68,61.36,56.26,54.05,40.09,52.73,54.33,55.9,52.49,46.59,48.92,40.29,53.29,44.7,43.38,43.82,43.22,42.13,38.84,48.52,51,52.53,47.15,44.58,37.56,31.74,46.67,48.07,46.35,47.91,45.71,42.46,39.69,42.05,46.87,46.19,47.59,51.69,44.1,40.45,48.07,52.65,49.4,50.44,53.17,44.14,41.29,51.36,54.57,50.68,49.64,52.85,53.21,44.18,NA,NA,62.72,53.37,58.71,53.05,44.18,57.95,61.04,63.24,65.73,64.29,60.27,48.52,60.63,70.51,74.6,65.01,64.93,58.15,42.7,63.72,63.32,58.47,62.44,70.55,62.76,55.42,64.97,64.73,70.59,67.86,64.81,61,53.73,64.89,69.18,73.35,63.32,73.23,64.13,52.17,71.99,68.06,66.49,60.15,67.5,66.85,58.79,66.57,67.82,62.96,60.75,55.26,50.92,51.44,66.25,59.15,60.19,61.28,61,53.77,47.47,53.77,61.52,58.27,61.28,67.9,57.87,52.73,63.04,63.2,66.77,56.26,66.85,56.74,52.49,64.89,65.85,62.8,62.36,59.95,59.75,52.25,63.92,66.65,75.76,68.06,60.23,58.67,57.26,72.91,61.52,66.37,68.62,63.08,65.25,65.05,74.28,77.45,79.01,77.53,80.74,73.72,61.12,73.6,74.04,70.47,70.75,67.26,72.87,53.25,70.47,65.65,76.24,73.72,77.25,76.08,58.47,65.13,77.69,75.56,80.98,80.3,74.12,65.17,74.72,80.7,84.91,82.14,89.41,83.63,72.31,87.72,84.87,85.87,81.5,82.87,76.08,67.82,84.95,73.31,74.6,78.01,87.2,75.6
city,Tucson,walking,NA,Arizona,United States,100,121.31,206.16,182.18,171.71,160.07,103.13,105.21,137.21,138.41,136.46,149.97,147.23,92.13,126.18,124.04,126.45,132.9,145.49,135.48,93.66,125.42,122.26,119.11,132.52,154.7,161.11,101.64,121.48,120.35,129.8,143.36,169.02,172.74,110.22,116.7,131.11,128.81,145.46,148.89,153.45,100.01,121.95,127.1,125.72,132.88,156.66,160.8,100.7,112.77,130.89,125.38,127.49,145.59,143.53,93.85,109.9,105.85,104.9,98.67,118.97,107.96,74.88,89.6,87.63,73.18,76.78,80.11,70.75,50.17,67.5,69.35,68.62,64.01,69.8,61.45,49.15,60.59,57.65,59.59,63.46,66.95,57.54,51.06,60.1,62.27,60.38,66.18,70.56,54.6,44.16,62.37,64.77,71.36,72.55,72.16,69.63,55.64,71.32,68.05,68.6,71.97,74.42,67.39,52.68,70.55,67.59,72.3,73.02,86.47,71.36,57.25,77.86,75.9,78.75,74.68,88.94,83.05,56.93,NA,NA,94.89,96.81,113.7,95.76,74.51,98.82,116.53,121.34,130.88,141.37,110.9,78.59,74.37,117.09,121.71,117.08,121.74,111.89,72.81,103.87,100.75,113.91,106.46,116.89,116.53,77.27,108.01,105.67,106.76,105.5,125.84,107.26,76.56,105.7,113.22,105.15,110.19,120.29,113.57,76.66,106.5,111.12,114.97,126.41,126.79,112.51,85.93,108.72,111.84,115.71,118.73,115.3,82.62,80.86,113.31,105.72,117.55,112.93,123.42,107.29,80.17,103.99,106.91,107.19,117.29,124.46,109.59,77.3,111.39,111.14,113.28,111.77,122.6,120.58,81.2,113.56,109.59,109.74,113.42,126.86,118.29,86.08,107.33,122.76,119.87,124.63,137.67,124.72,90.4,115.36,115.32,125.13,118.28,144.39,137.93,104.52,134.75,143.6,154.41,170.5,204.39,190.07,134.47,157.19,149.34,142.34,149.54,158.22,148.97,110.24,133.83,140.09,149.42,151.4,156.85,143.68,107.66,101.93,131.95,139.74,145.22,162.45,150.69,105.69,136.1,141.85,134.92,147.53,158.48,149.83,100.14,126.26,121.43,132.14,133.5,152.4,144.79,94.87,113.85,116.57,124.61,136.46,157.19,148.25
county,Apache County,driving,NA,Arizona,United States,100,103.9,117.09,112.6,139.94,142.37,122.14,134.14,103.86,106.44,111.61,132.27,118.6,122.14,95.83,95.63,103.74,110.57,128.5,132.51,119.4,95.87,102.5,96.78,112.32,129.05,134.22,128.54,111.96,88.47,109.66,129.37,155.13,160.53,156.56,158.86,118.12,122.58,132.23,142.41,131.04,143.2,120.67,112.6,114.11,130.72,241.45,149.48,155.17,118.16,117.81,127.34,134.98,163.16,170.75,192.97,158.19,152.42,143.64,170.63,213.04,228.14,234.5,159.38,162.52,160.93,156.64,162.76,165.42,142.25,96.34,94.91,93.16,87.64,98.85,103.18,86.92,72.81,75.12,71.54,77.5,81.72,85.17,73.53,61.8,70.19,68.08,71.82,80.56,77.94,56.84,64.86,66.53,78.3,78.97,95.99,103.38,89.31,85.85,81.96,91.34,94.95,112.56,123.01,108.07,97.18,96.38,101.35,112,138.31,149.01,132.63,109.18,112.24,115.18,136.76,149.6,145.39,124.8,NA,NA,129.13,138.91,174.24,167.57,157.27,132.71,134.86,158.51,177.42,234.26,222.42,212.36,220.47,169.71,176.15,186.45,205.45,220.27,209.14,177.9,162.6,179.33,208.15,226.35,227.66,204.21,213.2,177.74,195.11,206.16,234.7,249.8,258.98,235.33,199.68,199.68,223.65,268.56,253.42,245.83,214.9,219.63,210.97,241.61,269.79,260.85,274.05,225.36,236.05,279.77,302.78,325.72,288.04,313.67,240.54,228.1,223.33,265.62,267.13,275.91,255.25,230.6,205.05,222.3,239.75,251.15,264.9,261.13,205.84,204.33,217.29,203.18,258.59,263.59,242.17,212.4,218.76,211.01,224.72,280.6,278.62,271.74,226.15,214.23,205.29,223.69,261.8,273.25,264.47,205.21,203.97,208.27,235.61,256.64,301.51,252.94,202.78,201.35,194.75,216.34,258.39,272.3,258.47,178.9,173.81,173.45,199.17,227.7,240.94,240.62,179.73,172.46,186.45,245.83,296.74,366.49,290.46,300.83,181,182.03,203.18,208.74,227.66,216.89,174.17,175.32,178.82,204.21,232.35,246.5,225.28,182.87,184.22,203.97,189.19,241.73,231.92,221.82,195.15,179.13,197.38,210.77,239.83,233.62
county,Cochise County,driving,NA,Arizona,United States,100,100.96,104.53,111.37,141.58,131.06,110.36,113.51,97.18,101.14,118.59,127.37,127.79,103.08,98.38,104.29,104.51,113.51,129.4,127.03,96,108.36,104.76,106.85,112.75,134.04,133.81,105.87,108.1,109.85,116.3,122.94,138.67,144.75,126.57,127.8,117.78,116.96,124.19,136.14,133.39,117.62,118.5,114.2,119.87,127.2,138.25,143.85,115.86,114.13,110.81,119.03,119.14,144.88,162.09,121.65,130.98,131.6,125.06,126.25,177.63,143.14,123.91,113.22,108.66,99.99,100.45,106.37,90.51,72.49,79.11,75.83,72.05,73.14,76.91,68.61,61.25,66.01,68.89,59.36,65.52,71.13,64.61,51.32,61.93,62.58,67.5,69.99,68.7,60.71,45.46,63.04,66.74,69.83,69.63,81.46,73.05,63.48,68.56,71.81,72.72,76.19,85,82.15,69.28,76.57,76.83,81.67,83.48,95.41,91.97,75.88,83.79,88.51,89.3,93.13,101.34,100.62,75.05,NA,NA,95.49,105.93,115.93,117.72,101.21,111.84,111.14,117.16,130.26,147.55,149.43,125.99,118.86,117.34,117.88,125.03,132.18,126.91,106.22,117.24,116.04,116.13,117.61,134.63,137.34,111.36,117.63,114.76,119.75,121.25,137.56,146.04,120.26,122,121.88,125.37,131.72,143.09,148.3,108.98,124.63,133.35,127.27,139.22,144.6,144.15,125.1,121.85,132.52,134.43,146.71,157.31,121.76,124.76,129.2,125.82,119.71,127.93,140.03,140.96,118.59,121.07,128.39,123.43,127.89,141.24,140.42,116.08,119.15,122.95,118.81,124.74,144.72,152.92,119,122.8,129.69,116.99,135.91,149.37,152.84,124.4,128.96,129.08,129.73,132.17,143.7,147.42,122.63,118.5,116.25,121.33,126.83,147.75,159.74,127.26,122.07,123.22,119.5,121.38,140.22,148.95,125.31,113.31,112.49,114.32,122.49,144.93,150.61,114.27,117.2,114,117.42,135.11,172.67,162.56,152.22,148.62,119.81,121.59,123.06,138.42,155.21,117.16,114.44,119.05,125.48,126.98,141.61,154.84,117.73,115.9,115.82,119.53,131.84,145.47,150.15,123.33,108.73,111.59,116.39,121.8,151.01,165.58
county,Coconino County,driving,NA,Arizona,United States,100,94.79,96.31,105.54,137.08,194.13,181.49,140.93,91.9,95.52,102.34,130.14,161.54,135.15,96.73,91.4,92.98,102.35,130.12,155.41,118.71,98.76,96.15,96.36,105.5,134.4,157.7,136.41,103.37,94.86,105.89,123.2,166.75,219.6,209.08,164.26,123.74,124.25,136.76,159.57,161.21,156.93,125.43,115.05,114.31,123.03,150.09,169.22,156.4,122.19,123.98,124.76,131.93,161.62,194.2,197.63,190.04,170.42,159.11,165.62,177.42,187.57,174.61,145.54,130.98,106.06,95.45,90.25,88.96,74.41,57.8,60.91,59.55,56.42,61.31,74.77,60.7,51.6,52.62,50.23,50.42,54.84,61.82,52.88,46.16,45.54,45.35,47.64,58.57,59.82,42.35,45.08,47.51,52.15,55.41,67.33,73.92,69.91,55.76,53.31,58.05,66.8,81.94,101.83,89.73,70.35,68.08,70.73,77.83,100.99,121.11,107.06,76.36,75.06,81.74,88.03,110.64,135.94,102.96,NA,NA,94.07,104.18,136.97,171.48,162.51,114.98,109.24,119.84,138.3,191.48,256.3,265.03,219.29,140.71,139.06,149.07,188.35,219.92,211.23,150.5,146.33,145.56,160.3,196.59,242.3,215.7,170.77,169.08,172.72,191.49,224.09,268.74,269.93,199.15,189.62,190.76,210.01,238.83,253.83,244.17,205.18,197.64,202.14,210.78,240.19,275.36,246.14,207.28,200,215.59,234.47,271.63,240.55,260.85,211.79,195.33,192.69,201.97,233.91,276.35,244.57,190.97,185.04,200.57,198.36,239.5,290.86,266.42,194,189.81,191.12,201.1,238.28,297.91,277.52,203.4,199.2,203.7,211.29,246.85,316.26,287.29,212.37,201.23,205.07,216.55,254.86,309.8,304.59,219.68,218.4,207.44,212.2,266.05,322.27,306.19,188.37,181.55,190.25,198.9,252.9,312.48,277.38,184.46,170.22,176.49,189.12,239.58,297.3,260.65,175.29,170.77,177.9,205.63,288.37,371.3,385.67,333.3,190.15,188.07,197.24,241.62,289.88,248.98,190.13,187.17,195.02,208.96,252.47,307.17,285.05,195.06,186.75,190.23,201.73,259.83,296.74,257.59,192.9,179.17,179.71,199.59,251.74,294.36
county,Coconino County,walking,NA,Arizona,United States,100,89.46,79.67,81.31,119.42,180.89,134.37,101.52,63.87,71.83,77.94,111.03,150.38,93.04,75.75,68,64.97,75.36,113.13,138.29,82.71,64.36,58.71,64.14,78.4,122.73,138.89,87.75,65.42,62.63,72.96,84.32,143.82,200.09,160.77,115.13,87.33,81.56,99.24,135.92,132.66,90.34,84.23,73.17,80.89,88.48,122.21,129.69,92.07,82.83,89.43,92.37,91.13,128.87,152.23,118.51,125.86,115.31,103.95,109.85,118.38,126.19,102.25,89,78.73,54.66,39.53,42.48,46.76,35.43,29.69,35.03,32.33,29.57,28.9,35.98,31.27,35.37,34.37,28.35,28.68,33.42,37.59,25.86,26.86,30.08,29.57,28.29,33,33.7,24.52,22.09,25.89,28.78,31.51,37.77,37.62,36.95,31.72,28.59,35.61,39.26,48.19,65.09,46.67,42.54,42.24,40.2,43.82,57.98,77.39,63.6,41.84,47.1,44.82,46.1,70.86,90.06,53.48,45.91,42.42,54.79,61.26,91.28,122.88,99.88,71.07,64.08,74.57,81.01,123.85,188.48,192.43,121.09,92.07,90.76,92.74,138.35,167.06,104.77,94.32,100.91,89.97,99.18,136.31,181.49,132.06,106.41,107.63,104.53,117.75,152.23,202.43,149.35,120.66,119.6,115.56,133.21,166.42,184.2,133.15,121.18,128.38,127.8,135.31,163.11,199,144.45,129.6,127.86,127.38,140.53,196.87,189.09,143,127.13,122.09,125.1,129.57,150.9,201.22,149.13,118.08,113.07,123.18,117.35,161.17,214.55,161.71,117.35,118.35,123.43,127.26,158.04,219.6,162.72,131.45,130.81,136.34,129.17,174.78,234.97,169.71,136.25,132.97,136.1,154,199.97,253.72,213.55,172.01,180.52,158.55,159.95,228.35,283.2,206.05,155.18,143.33,150.02,153.69,239.65,318.6,234.61,164.33,155.61,156.24,162.41,228.53,300.46,218.54,191.31,189.21,171.56,179.52,251.23,335.58,304.5,194.53,145.15,156.37,164.33,198.63,263.99,180.64,152.35,154.94,149.19,163.6,221.12,281.22,190.85,141.69,133.09,142.3,153.14,215.65,277.54,182.25,149.32,137.59,138.29,157.13,216.04,262.53
