geo_type,region,transportation_type,alternative_name,sub-region,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03
county,Beaverhead County,driving,NA,Montana,United States,100,68.66,74.35,76.05,101.9,90.72,81.54,88.72,82.04,67.76,76.55,82.04,88.62,66.37,73.95,66.67,64.37,85.23,82.53,85.73,69.76,68.96,63.27,56.39,71.66,102.59,78.54,79.84,71.36,67.56,64.27,86.73,106.09,110.08,96.41,96.11,75.65,77.84,78.94,83.03,96.01,81.64,74.35,83.43,78.04,90.72,124.75,111.48,100.9,78.34,84.53,84.73,92.81,113.77,101.4,87.72,85.43,69.36,90.12,88.82,107.39,94.51,101.4,123.65,111.38,130.04,119.26,126.45,106.89,100.4,70.16,62.48,87.82,99.1,66.87,65.57,62.28,51.7,60.48,53.59,50.2,54.39,67.07,53.99,52.4,57.19,51.8,59.58,70.26,52.99,38.22,60.88,46.81,43.91,54.29,79.34,69.86,49.4,63.07,60.78,65.87,69.16,74.05,82.93,79.34,74.75,74.25,74.15,80.94,106.49,86.63,90.22,81.74,78.14,79.24,91.22,98.5,94.11,95.11,NA,NA,90.02,113.57,115.97,98.3,106.69,96.61,86.93,99.1,122.46,161.58,140.22,142.02,141.52,106.99,114.57,109.18,129.14,144.41,137.72,118.86,114.77,120.16,136.23,147.5,136.53,138.72,134.13,146.21,132.34,166.77,174.05,181.44,155.59,155.79,134.13,156.39,175.05,188.12,194.81,216.47,197.41,150.5,183.63,204.99,257.19,261.08,227.35,197.21,206.79,191.92,267.27,281.24,188.42,308.78,239.62,225.75,222.85,209.78,246.71,268.76,251.3,234.73,202.5,202.79,249.5,234.43,259.18,287.92,212.28,230.74,218.56,247.01,298,284.83,278.14,197.9,202.5,221.26,246.71,266.47,295.71,275.15,239.92,206.89,214.97,247.8,272.95,285.83,274.25,214.77,218.56,247.11,235.33,275.15,275.35,280.74,218.96,201.6,196.91,259.58,275.95,273.45,249.7,202.99,190.32,191.02,218.26,246.31,241.92,246.91,179.04,162.48,188.02,235.13,325.85,344.91,335.23,294.11,205.89,191.42,223.05,255.09,247.5,260.98,225.25,191.52,191.42,233.83,254.89,237.23,205.69,174.15,167.07,183.53,187.03,212.28,203.69,179.94,143.81,120.16,143.01,170.26,192.61,193.01
county,Cascade County,driving,NA,Montana,United States,100,113.71,110.62,115.33,139.03,127.52,89.87,114.72,123.75,119.1,122.97,155.23,153.8,102.09,115.75,113.67,123.02,123.16,138.23,157.48,91.07,112,110.48,111.63,117.23,150.23,137.41,95.94,123.79,123.11,119.32,131.36,153.59,141.8,105.2,117.21,120.25,132.28,133.73,148.62,137.69,103.49,110.99,110.62,119.01,141.16,164.42,158.32,108.63,124.36,127.43,123.11,133.61,155.77,145.31,103.42,125.48,129.93,125.97,130.66,124.96,84.34,84.48,103.47,114.6,109.05,106.28,114.7,96.55,79.04,91.8,90.9,85.61,84.58,97.07,70.16,66.17,73.86,74.8,69.97,82.54,96.51,77.99,69.85,83.59,81.53,87.37,101.59,95.62,60.45,48.22,84.65,88.8,89.66,95.64,111.28,84.95,92.85,112.63,109.21,105.04,106.14,125.5,111.51,95.41,117.65,121.57,131.93,123.77,154.66,137.74,105.91,131.46,140.86,128.01,142.85,149.72,154.62,116.53,NA,NA,142.12,163.64,185.21,171.59,146.04,169.83,163.01,172.08,197,212.05,168.38,156.24,148.03,183.38,195.78,197.63,217.58,195.85,151.8,192.41,194.66,205.74,205.49,232.65,196.06,168.87,195.5,209.21,202.67,218.68,252.13,232.04,172.08,210.97,215.19,208.77,223.32,276.65,255.27,181.43,225.11,239.24,251.27,247.54,263.27,248.36,191,214.96,232.79,236.24,246.88,234.65,183.26,182.58,245.26,231.06,247.8,241.77,273.98,263.08,214.96,239.66,264.28,236.31,247.35,257.62,254.03,202.04,224.03,242.17,234.72,237.44,255.74,231.65,196.16,232.47,236.62,244.54,257.36,269.55,260.95,205.49,234.6,238.63,250.4,251.95,273.63,246.27,208.06,246.95,256.84,243.79,259.14,287.86,259.68,198.34,225.57,220.82,229.32,229.16,253.75,233.38,182.44,204.85,215.42,227.22,235.07,250.73,230.57,170.16,200.98,204.99,223.39,232.33,272.55,243.91,187.37,167.58,195.57,210.83,228.86,248.87,247.63,181.18,218,210.78,230.29,225.88,267.63,254.01,165.8,195.12,184.41,191.28,201.66,226.91,208.23,152.39,195.52,179.35,187.29,200.42,230.47,212.63
county,Flathead County,driving,NA,Montana,United States,100,101.76,107.36,107.57,132.49,136.16,108.84,122.47,106.57,111.99,121.3,137.77,128.4,102.73,107.9,114.65,112.47,113.6,131.59,128.5,95.25,108.64,110.64,110.2,117.65,125.95,119.72,108,117.03,112.56,118.71,130.28,166.17,155.69,143.34,143.71,129.86,120.8,129.41,146.91,150.54,121.36,120.44,122.96,121.42,125.8,142.31,134.79,112.57,123.69,122.96,122.74,126.77,133.61,128.55,111.23,126.92,126.14,125.08,116.57,121.39,110.53,88.07,101.82,99.3,98.48,96.13,97.94,78.92,70.6,79.14,77.96,78.52,81.1,84.17,66.83,56.76,67.26,70.21,67.14,72.2,76.72,66.84,52.16,75.2,84,83.52,83.2,91.74,72.34,56.4,85.97,83.94,89.5,100.49,104.85,91.19,84.82,103.27,102.48,105.51,100.45,120.27,104.08,95.77,108.41,115.93,118.71,125.07,146.34,121.53,100.01,139.62,138.25,134.56,136.25,168.14,142.49,116.93,NA,NA,144.66,165.68,177.72,171.28,142.42,161.97,169.78,169.62,173.16,208.85,197.78,176.92,167.11,183.01,204.11,210.78,237.19,213.23,166.56,192.25,208.39,216.81,231.14,260.66,249.94,212.12,244.03,262.48,260.45,281.52,326.49,297.31,276.78,304.75,300.06,319.18,321.99,348.45,354.78,301.58,350.93,379.79,361.88,386.49,439.89,442.64,378.68,415.44,422.04,425.1,449.87,486.13,416.38,454.82,492.76,478.7,483.83,489.68,533.86,507.08,469.07,484.17,489.55,486.73,500.9,546.64,524.28,459.76,502.34,483.67,502.63,518.05,556.3,518.18,503.09,521.44,511.18,502.05,511.79,516.75,515.71,490.25,506.38,492.83,506.36,539.1,550.4,505.3,481.38,507.66,505.6,503.18,492.33,526.93,523.17,453.94,477.95,463.45,458,483.37,521.69,507.2,439.4,438.85,423.56,424.32,438.18,475.62,437.12,375.02,405.37,388.59,401.79,436.47,506.45,522.14,453.18,442.92,432.94,415.27,447.49,467.05,460.62,374.53,390.92,375.89,382.32,388.4,408.45,383.46,337.43,346.04,350.01,345.72,352.72,370.86,345.21,290.44,320.84,298.45,305.54,315.39,346.31,336.2
county,Gallatin County,driving,NA,Montana,United States,100,98.45,98.82,106.52,125.21,128.18,105.31,104.5,98.29,95.38,100.52,127.87,151.6,108.83,94.88,93.42,98.31,109.98,128.93,137.72,88.53,97.62,100.21,97.26,99.03,117.8,115.82,101.6,100.5,103.89,103.97,118.99,141.27,144.94,120.51,119.31,110.47,112.57,123.91,144.2,143.94,113.42,107.32,111.73,118.2,125.85,148.51,139.55,112.45,109.26,112.03,110.93,124.44,139.76,143.45,113.89,111.93,117.04,119.8,139.05,158.53,116.88,78.56,88.28,80.51,70.7,70,78.18,73.22,59.92,61.89,56.38,55.71,62.43,67.29,52.98,49.95,57,53.04,50.17,55.71,64.59,59.24,52.21,56.93,60.24,63.51,70.74,76.59,49.06,40.41,58.68,62.58,61.98,69.57,84.69,74.46,63.79,75.95,79.8,75.98,78.06,90.94,81.41,71.52,80.51,88.61,91.37,90.48,110.63,97.44,75.17,98.1,103.95,97.92,103.82,121.06,117.02,84.76,NA,NA,116.78,123.84,137.46,130.8,109.4,132.23,131.24,132.53,136.89,151.25,128.21,116.09,124.92,144.48,151.25,157.49,171.87,148.88,136.43,160.08,168.98,170.89,176.32,203.06,189.54,163.7,169.5,179.76,190.85,197.45,219.89,209.38,178.94,205.33,200.81,204.69,219.74,237.85,217.56,197.93,228.25,236.23,241.69,261.65,275.92,258.75,232.79,244.01,253.98,261.63,276.56,261.5,206.59,235.06,269.76,270.21,275.16,282.69,294.94,271.13,251.46,269.93,276.54,278.18,285.07,296.45,287.36,262.09,290.63,283.27,286.64,294.5,327.41,299.24,280.73,292.88,277.96,281.38,306.39,314.11,299.61,281.15,299.47,301.44,294.16,298.41,316.49,305.26,287.55,317.3,330.34,339.67,353.32,397.04,361.5,323.75,307.7,287.61,280.82,287.03,317.15,297.88,271.19,262.7,257.7,262.2,276.71,294.46,291.85,247.05,249.44,252.24,257.89,287.39,328.55,333.64,281.2,247.17,258.53,262.37,268.3,307.99,301.93,248,263.14,259.54,252.4,265.66,292.32,270.64,223.24,233.03,224.22,233.77,247.68,278.27,270.1,214.62,216.43,216.69,212.1,227.96,256.33,247.46
county,Gallatin County,walking,NA,Montana,United States,100,93.14,96.57,109.09,141.17,142.28,110.55,104.72,97.77,91.34,110.21,154.12,184.82,95.8,101.37,92.2,101.8,125.56,182.76,155.57,83.02,97.17,94.77,99.06,99.06,125.21,123.16,93.14,102.06,105.32,103,138.08,158.06,155.23,111.84,103.69,112.61,113.21,129.67,152.92,163.38,107.8,103,102.49,120.33,148.03,184.65,146.23,109.35,107.98,120.24,110.72,116.81,167.75,167.75,112.01,102.83,108.15,121.18,129.85,159.18,109.43,69.04,75.47,66.72,54.8,53.43,63.72,53.34,38.59,57.55,44.51,43.91,50,51.11,40.39,42.62,41.77,40.39,40.14,40.99,43.83,41.6,45.71,45.11,50,55.83,55.92,64.15,40.05,22.3,47.51,48.03,39.88,55.66,63.98,51.29,59.69,60.98,60.38,53,57.29,72.47,51.72,60.29,58.49,63.64,65.78,72.81,99.66,78.47,59.52,83.96,91.51,71.78,78.22,101.89,87.91,69.73,64.84,69.3,102.23,116.38,124.79,110.29,94.94,117.07,121.01,137.48,104.37,136.88,102.66,98.28,98.97,136.02,145.37,149.06,165.44,143.91,125.47,146.31,183.45,173.58,169.98,232.93,183.88,150.6,169.98,176.42,194.25,199.31,232.93,206.95,153.34,214.07,207.46,192.88,213.46,259.86,235.85,182.25,234.22,266.72,274.1,277.96,316.04,273.33,218.44,267.67,279.5,291.85,292.02,266.72,233.62,227.19,293.57,321.44,293.91,324.61,328.22,302.92,245.97,290.65,310.46,304.97,306.78,328.04,324.53,257.2,306.26,336.88,295.37,332.76,370.58,330.36,289.02,317.15,313.38,323.67,348.8,360.03,319.21,291.17,335.16,349.31,333.53,334.13,359.01,365.27,291.34,381.82,387.14,397.77,408.83,509.61,475.99,383.96,419.47,377.02,337.14,346.83,406.6,378.22,285.25,333.62,294.34,303.52,328.99,374.96,337.05,263.72,297.77,282.33,289.37,313.64,403.43,397.86,331.13,273.76,290.99,297.08,321.61,378.9,370.75,263.29,297.68,287.39,304.97,309.95,357.38,354.97,250.86,296.48,297.86,284.82,301.8,352.57,344.6,240.14,280.02,259.95,272.98,271.53,333.62,322.81
county,Lake County,driving,NA,Montana,United States,100,78.8,81.94,95.87,123.45,108.72,88.77,87.06,81.4,79.69,91.19,113.75,109.79,81.67,84.37,91.73,87.33,96.41,110.24,110.69,89.4,81.85,95.6,80.41,85.18,112.13,99.64,90.66,86.97,100,83.11,107.01,121.74,118.24,95.6,101.08,96.05,100.63,106.65,124.71,118.78,98.83,83.38,94.43,88.32,119.59,144.74,153.55,89.85,116.35,100.81,100.27,95.42,120.66,135.58,96.14,101.26,96.68,109.97,101.35,118.96,98.38,84.28,87.87,100.18,101.17,91.19,94.97,99.37,100.18,86.61,86.16,80.05,89.85,112.49,69,66.22,77,79.96,61.81,68.28,90.66,84.19,56.24,71.7,79.6,90.39,95.51,97.84,69.45,68.46,83.74,91.46,85,99.55,121.11,116.53,89.94,100.9,120.13,95.87,92.18,110.42,124.08,105.12,104.58,127.58,126.42,114.73,158.22,160.29,112.31,136.57,150.13,118.87,139.8,151.66,181.31,156.51,NA,NA,159.48,148.16,185.71,212.4,164.06,145.01,152.02,165.23,173.05,225.79,253.37,265.5,208.45,190.12,193.44,239.8,256.33,271.79,230.82,182.12,203.05,219.68,215.81,285.8,238.27,211.23,221.29,263.25,249.33,273.85,325.61,310.33,279.34,254.72,269.63,286.16,315.9,363.97,368.55,362.71,354.18,344.74,329.47,388.32,458.76,423.81,388.95,362.98,376.01,404.94,486.34,656.24,505.75,583.47,519.77,462.17,449.51,464.15,477.99,478.98,469.9,431.36,452.74,448.43,492.09,508.27,484.82,516.35,443.49,465.05,466.31,477.72,566.04,544.56,512.58,462.17,465.41,481.76,481.67,524.17,569.99,528.12,524.35,486.52,480.05,513.84,561.28,516.53,492.27,465.32,444.2,479.34,493.08,519.95,518.33,564.06,447.35,411.77,386.16,477.9,543.31,508.54,493.44,397.75,373.5,374.12,405.93,460.11,435.85,372.42,329.02,348.16,351.48,404.31,523.54,538.81,475.56,408.98,361.46,320.22,377,464.87,456.69,330.1,329.83,337.2,309.52,336.48,361.01,361.1,303.68,296.59,280.77,264.69,295.87,316.35,315.9,233.6,251.66,242.86,221.56,250.22,285,268.55
county,Lewis and Clark County,driving,NA,Montana,United States,100,97.18,94.49,105.98,118.43,134.04,99.31,97.56,102.61,102.13,107.71,127.17,116.44,91.67,106.77,99.07,107.06,109.79,135.71,129.82,81.19,97.92,103.49,99.98,98.66,117.3,108.5,91.17,93.23,102.23,99.9,111.61,126.59,126.97,96.74,107.06,106.49,118.43,123.05,143.49,144.71,99.78,98.78,111.39,118.29,127.53,145.93,147.68,100.72,106.51,120.99,121.54,117.81,147.65,188.56,129.7,109.14,112.23,121.37,115.29,118.02,90.33,64.19,82.93,89.16,84.16,82.84,105.55,76.81,67.28,70.39,73.15,70.39,78.87,81.26,63.09,62.09,62.4,63.79,53.45,67.19,73.53,72.04,56.01,66.61,67.07,76.97,81.35,87.84,47.15,46.7,69.36,69.96,70.44,81.38,97.75,89.4,82.98,97.46,98.59,91.69,98.06,108.14,103.52,86.43,95.38,100.86,105.98,104.31,130.68,126.3,86.79,111.01,113.24,109.79,119.84,147.65,141.48,93.25,NA,NA,137.15,145.55,169.96,164.41,129.18,142.53,142.25,151.08,162.64,189.01,160.39,142.58,138.2,159.77,166.63,166.23,187.31,187.82,145.72,158.78,171.28,164.15,174.01,213.57,236.76,167.71,172.12,184.56,195.86,204.28,239.33,252.85,169.36,202.51,196.6,193.92,198.06,241.46,214.6,179.3,203.95,213.79,233.22,242.96,290.16,298.23,217.71,202.15,211.15,238.13,242.51,247.89,188.37,208.78,237.08,228.46,247.3,242.75,265.34,256.99,207.3,223.82,209.48,227.64,234.39,268.02,239.95,200.22,232.89,220.34,231.86,236.52,267.02,237.87,202.99,230.3,218.19,217.78,237.1,255.72,221.01,207.66,231.76,221.4,230.78,245.48,266.06,248.61,217.83,241,235.62,230.54,239.73,272.47,260.63,218.07,223.31,223.5,206.7,215.99,258.66,249.43,192.65,213.71,202.13,196.12,207.35,256.37,232.91,186.43,192.72,196.89,227.81,217.54,258.9,234.56,190.9,174.2,208.21,208.45,209.89,258.14,261.7,187.46,200.89,194.59,197.94,201.56,237.55,215.77,169.55,186.67,179.22,184.35,191.02,219,204.6,150.1,179.61,166.18,160.7,165.94,205.51,214.7
county,Madison County,driving,NA,Montana,United States,100,91.03,88.72,87.03,104.53,119.8,108.53,103.55,85.7,79.66,93.61,98.67,105.68,104.17,85.52,81.79,90.14,94.85,108.08,123.8,89.17,100.89,97.42,97.34,103.46,115.01,127.89,125.58,95.38,102.84,101.95,104.44,126.64,138.9,159.77,140.85,114.56,115.19,118.56,123.62,139.96,127.53,113.14,101.87,118.03,113.85,118.03,147.96,124.25,100.62,101.15,103.29,117.14,116.52,129.57,122.29,105.33,96.63,109.5,104.44,129.22,127.8,129.75,107.19,100.18,66.52,64.48,66.96,69.18,55.86,57.46,44.32,52.04,41.3,51.78,43.52,37.48,31.26,39.25,32.15,47.69,36.86,48.4,42.72,45.2,42.9,42.18,54.35,43.16,34.99,29.13,33.13,38.01,34.37,40.5,58.97,53.82,44.85,50.98,52.31,43.69,47.87,60.12,83.57,61.55,48.67,55.95,63.5,55.68,65.99,68.38,59.95,71.94,61.37,77.53,74.07,73.45,90.05,83.93,NA,NA,68.74,76.02,89.96,100.71,83.21,86.06,84.28,87.92,92.01,110.48,122.02,122.29,117.5,98.13,110.57,100,122.65,136.77,115.9,103.64,118.29,119.01,124.16,143.25,134.72,143.34,120.43,129.84,135.44,155.24,186.86,203.2,187.83,200.27,192.36,171.4,187.57,220.52,240.59,243.96,222.11,223.71,223.09,242.27,263.85,293.16,273.45,246.89,244.14,283.3,328.15,390.76,316.61,345.2,304.88,262.79,300.36,260.66,340.32,339.61,320.69,282.42,283.75,291.21,367.94,372.56,380.55,396.36,321.4,334.81,328.42,325.93,362.17,375.4,361.63,353.02,304,320.43,334.19,356.13,397.87,377.35,337.57,317.67,315.9,323.27,373.71,377.44,363.41,315.81,343.61,354.97,317.23,350.62,377.26,340.14,275.22,260.83,286.32,307.28,318.83,343.87,326.29,235.52,228.51,241.12,234.55,282.24,274.87,256.66,193.61,216.96,229.93,259.77,323.27,416.07,335.44,273.71,228.86,260.92,249.11,258.35,296.98,260.57,249.64,248.67,242.63,238.37,253.02,243.34,228.33,199.64,186.68,197.34,211.9,229.93,198.22,189.79,154.8,151.51,163.41,171.31,186.86,198.58
county,Missoula County,driving,NA,Montana,United States,100,103.33,105.33,107.63,140.04,147.86,99.89,109.55,104.06,105.44,110.86,130.18,137.29,97.91,100.16,100.69,102.26,107.45,135.9,147.13,89.66,100.71,106.47,108.28,108.19,125.91,119.11,97.63,106.18,108.85,114.37,124.77,153.8,150.64,111.07,114.44,110.82,118.7,124.1,144.75,148.98,113.54,108.93,113.09,110.43,130.43,162.96,182.34,126.75,113.43,109.9,121.01,135.34,160.99,145.5,109.4,116.99,121.13,127.08,132.78,141.95,106.48,79.01,96.77,95.2,89.83,89.93,107.93,87.07,74.7,78.08,82.77,79.13,84.64,93.19,70.87,55.71,65.03,73.28,67.53,67.49,82.34,73.88,61.29,69.13,75.66,79.85,88.12,95.78,67.03,51.34,84.48,76.57,84.06,95.41,109.19,92.94,78.22,96.98,99,98.58,99.35,114.38,101.22,87.48,97.81,106.66,109.28,122.21,144.05,119.97,99.97,121.05,129.48,129.15,134.97,156.2,148.28,116.67,NA,NA,145.71,157.67,170.14,163.49,136.69,155.39,153.88,158.64,175.7,200.98,171.27,147.89,152.89,178.45,182.44,198.01,211.88,185.7,164.7,192.61,195.76,192.01,199.71,233.67,206.92,178.57,199.98,200.24,205.4,227.58,245.94,219.23,201.85,225.07,216.32,221.2,240.04,278.55,240.24,210.1,250.36,244.87,255.61,276.54,298.23,270.14,235.6,260.21,253.5,268.97,298.33,289.45,191.95,242.32,285.84,284.18,269.99,292.76,323.03,282.15,256.36,274.1,264.23,287.56,291.96,309.24,280.62,256.28,277.9,261.52,271.98,288.04,315.78,286.43,263.87,281.92,276.42,288.49,295.67,319.22,290.4,266.61,302.64,279.36,289.59,310.71,341.13,313.72,277.51,300.35,297.06,310.43,325.82,363.26,333.66,303.03,316.14,299.56,282.68,302.29,348.79,312.45,262.98,271.89,267.85,281.08,283.41,316.66,287.45,253.7,258.04,269.13,268.4,297.78,369.21,299.09,263.99,261.84,263.99,276.55,279.08,311.95,308.22,247.66,260.25,243.47,248.61,254.94,286.04,263.92,215.21,232.96,229.73,233.74,235.7,269.09,243.3,203.41,218.49,207.64,216.79,234.99,261.65,231.52
county,Ravalli County,driving,NA,Montana,United States,100,111.8,108.5,118.98,130.53,145.21,109.98,117.99,109.57,116.01,122.11,144.88,128.22,96.37,108.83,109.57,114.27,111.06,137.05,136.22,83.42,112.54,119.06,94.55,109.98,123.35,121.12,87.46,104.13,127.39,123.1,140.43,149.34,159.98,121.45,119.39,124.75,125.41,135.64,162.62,154.21,98.35,130.03,129.54,135.48,176.4,192.41,170.96,118.48,140.02,130.53,140.68,148.35,165.84,149.34,117,132.34,150.25,132.67,128.88,132.59,110.56,92.57,111.55,127.15,117.49,129.13,133.33,122.61,100.91,108.33,107.26,117.08,116.34,122.11,108.91,81.27,102.39,109.98,90.43,99.17,124.09,85.48,99.42,123.43,117.74,132.84,129.87,135.73,85.89,72.36,138.61,106.93,100.5,145.87,161.88,134.82,117.49,139.11,141.91,140.68,133.09,144.55,177.23,139.03,140.59,170.21,153.63,157.1,185.56,197.36,134.41,166.91,179.46,175.91,184.9,251.65,237.62,162.13,NA,NA,186.06,193.4,207.34,241.5,172.77,178.96,186.47,201.9,205.53,276.98,226.07,191.25,180.12,253.55,259.32,273.76,282.1,271.95,205.78,250.99,232.51,238.12,276.4,293.89,248.84,213.86,244.88,250.83,279.29,280.2,344.72,310.48,250.41,273.43,292,270.3,291.83,358.17,375.08,312.21,304.62,306.11,294.06,362.29,374.09,379.87,274.59,281.52,304.87,352.97,397.85,430.12,314.19,340.68,363.94,369.8,345.71,391.67,407.84,400.17,325.08,360.4,355.2,364.93,381.6,425.17,426.73,323.6,356.44,387.05,422.61,398.43,435.31,378.47,344.97,361.8,357.76,346.53,373.84,400.5,383.66,323.43,344.14,340.51,379.21,370.05,438.28,404.7,326.65,348.6,360.15,345.13,351.65,386.39,373.6,310.31,339.03,358.33,374.67,411.55,415.1,378.63,296.29,338.94,310.15,355.03,370.79,409.08,414.85,319.31,367.08,382.26,359.65,326.49,424.92,378.22,376.24,314.6,354.21,349.09,399.34,387.38,367.41,261.55,325.17,322.44,325.08,322.11,347.03,337.71,269.55,345.46,340.59,309.41,321.37,329.04,323.84,248.76,313.53,295.38,298.1,327.39,370.46,332.18
