"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18"
"301","city","Chicago","driving","","Illinois","United States",100,103.68,104.45,108.72,132.8,113.44,87.48,100.24,101.3,100.51,104.47,121.92,118.55,85.17,93.81,97.36,98.96,103.79,124.37,122.53,85.96,94.62,97.39,102.86,103.66,117.63,124.27,88.41,98.78,105.64,108.54,115.99,147.32,141.24,111.31,111.07,104.69,105.82,110.84,132.55,138.5,100.83,99.41,100.35,103.39,114.33,139.02,142.31,105.39,105.25,108.28,110.71,116.43,137.62,144.91,107.11,105.68,109.76,107.34,105.61,118.59,104.18,73.81,79.01,73.67,64.5,62.72,68.97,51.2,33.74,44.91,48.52,52.11,49.1,54.99,47.85,38.57,49.45,50.11,51.83,53.18,60.69,51.68,42.15,50.47,54.89,52.65,54.2,62.27,57.07,38.31,52.4,54.24,58.82,60.37,63.03,66.6,52.76,63.72,62,61.3,64.21,71.76,64.36,57.52,62.12,64.69,62.47,68.94,82.63,84.47,64.17,67.98,68.33,74.81,78.22,86.87,89.82,63.01,NA,NA,81.62,75.81,98.86,93.06,65.56,84.56,86.07,92.37,94.57,108.78,93.97,85.41,77.37,93.96,95.52,96.74,117.68,116.09,90.53,95.48,101.41,101.67,111.51,124.98,127.81,96.98,113.25,107.41,112.9,124.25,138.21,129.88,103.23,116.79,122.06,124.24,131.17,152.31,130.93,100.88,113.32,127.85,129.89,137.92,138.54,147.1,116.73,124.18,135.76,141.97,151.04,149.45,117.39,108.55,129.66,132.77,136.01,138.68,158.22,150.26,119.89,132.7,136.92,133.1,145.38,166.11,154.24,114.04,131.55,131.58,140.82,145.34,164.6,158.62,121.59,129.3,136.67,139.41,143.9,158.33,151.5,118.15,130.8,136.6,137.49,142.58,162.59,155.45,122.48,124.78,143.08,144.22,145.62,164.33,151.2,121.45,127.35,131.22,134.09,138.01,157.92,152.1,114.52,122.62,124.18,127.44,130.81,149.19,147.98,113.12,118.64,120.09,128.74,134.83,159.82,148.21,110.96,104.49,111.07,117.88,125.2,145.19,141.26,115.71,116.87,125,133.36,132.07,153.72
"302","city","Chicago","transit","","Illinois","United States",100,100.93,100.61,103.79,120.72,100.06,76.4,94.32,97.02,98.67,100.8,112.21,103.35,75.74,96.07,95.64,96.13,102.01,116.01,101.81,80.54,96.17,94.76,99.22,101.71,110.71,109.33,80.62,98.65,101.01,103.53,110.52,126.91,116.21,97.71,102.23,104.2,104.22,106.83,127.11,119.65,92.28,95.35,96.83,98.87,107.54,125.54,119.67,90.08,100.09,101.8,103.07,107.55,121.35,120.36,92.86,99.12,102,97.18,90.19,92.55,71.48,51.63,48.56,41.09,33.64,31.04,29.79,23.26,19.23,23.17,23.53,24.42,22.26,23.87,21.64,20.57,22.72,22.37,21.76,22.58,23.05,20.35,19.46,21.63,23.4,22.1,21.57,22.89,21,18.1,22.65,22.24,21.46,22.3,21.91,22.47,21.57,24.87,23.54,23.36,23.31,22.93,21.12,21.61,23.38,23.51,22.92,24.02,25.48,26.35,24.67,25.12,24.96,27.13,27.21,26.2,26.17,21.1,NA,NA,27.24,25.16,28.17,26.31,22.44,29.38,27.88,29.7,29.44,31.25,27.57,27.57,28.82,31.9,32.17,31.49,34.53,38.51,25.11,26.64,29.18,31.29,36.19,38.28,41.83,33.7,41.53,39.07,40.12,42,43.86,40.94,36.97,44.25,45.51,46.07,46.16,50.34,41.38,35.34,41.46,45.05,44.78,45.93,42.06,45.38,40.84,44.32,46.91,48.43,50.64,49.17,42.51,39.21,49.12,48.22,48.25,48.01,50.32,47.2,41.37,48.75,48.49,44.99,49.52,53.47,48.66,37.63,47.24,45.69,48.73,49.73,52.3,49.31,40.89,45.19,47.42,46.8,47.82,50.66,47.67,39.33,47.88,48.32,47.65,48.57,52.39,48.58,41.95,43.26,48.8,49.45,49.2,52.24,49.13,43.36,47.67,47.93,48.76,50.28,53.44,51.45,41.59,47.07,47.41,47.38,47.28,51.12,49.49,41.56,47.37,45.29,50.19,51.89,57.64,53.6,41.96,43.38,43.5,45.09,46.09,51.26,46.6,44.66,45.49,47.3,49.47,50.39,55.76
"303","city","Chicago","walking","","Illinois","United States",100,104.58,107.2,104.82,128.05,142.28,94.61,94.64,90.79,96.11,97.16,128.42,145.78,92.82,92.37,93.16,94.11,100.39,135.92,152.61,105.94,96.07,94.47,95.46,97.42,132.03,162.66,92.79,95.88,100.79,100.75,108.59,169.24,202.36,153.66,107.31,101.66,103.78,109.88,152.73,197.98,132.62,94.5,91.12,95.13,111.01,153.08,190.37,137.23,110.47,110.86,115.71,121.4,152.14,210.66,152.32,99.89,114.13,109.88,113.02,145.88,154.52,85.03,64.43,69.29,47.92,47.39,52.42,44.05,30.86,38.71,43.43,52.92,39.76,44.42,41.54,34.73,42.66,40.45,46.02,49.62,58.08,47.03,43.43,45.63,59.13,46.38,43.13,53.01,54.02,38.82,42.32,41.34,41.05,47.57,46.64,62.15,53.67,56.26,50.12,46.18,48.73,55.14,46.7,56.41,48.9,52.88,42.55,52.79,69.78,82.16,64.79,52.8,49.94,63.42,65.17,64.7,77.87,45.01,NA,NA,71.82,59.64,87.52,86.32,50.59,68.9,67.36,79.98,79.34,93.33,85.67,88.31,76.82,83.07,83.64,81.61,105.31,124.97,83.42,77.35,84.12,84.26,99.1,109.9,122.93,93.92,101.39,87.03,94.12,113.6,123.33,128.79,103.83,105.77,112.87,116.09,120.4,148.55,127.37,97.36,96.72,122.2,121.03,133.18,118.46,162.17,126.23,111.04,126.79,136.1,143.18,159.89,148.81,117.15,124.15,124.86,127.69,128.71,160.99,172.1,134.75,132.64,134.2,118.85,141.51,170.52,178.68,119.37,127.21,120.88,134.78,143.21,169.07,188.31,128.22,120.78,130.68,128.93,136.91,165.48,174.53,124.25,123.78,135.92,135.19,142.64,175.07,188.64,137.51,104.95,131.27,134.76,138.56,162.84,163.96,132.56,123.34,128.39,130.95,136.51,166.95,183.63,123.58,116.46,119.73,120.68,122.75,152.02,177.14,127.62,116.27,108.95,127.87,133.42,171.85,197.48,141.13,121.34,97.1,109.38,113.46,148.13,152.74,134.33,112.56,120.94,132,129.03,160.49
"2065","county","Adams County","driving","","Illinois","United States",100,114.82,105.34,114.55,85.81,95.46,79.48,105.3,97.98,97.23,94.8,117.95,128.56,83.87,100.32,101.24,104.35,106.51,117.46,124.99,80.2,97.11,101.09,87.27,102.45,120.77,127.59,89.58,105.81,114.45,90.16,101.46,154.34,131.89,91.21,115.42,106.27,108.33,114.94,132.01,131.26,87.3,113.12,94.34,106.46,117.15,142.41,148.55,102.67,109.01,120.74,120.96,117.73,133.98,140.27,101.41,114.02,119.48,121.62,114.06,118.61,105.56,76.78,93.49,94.34,82.27,77.05,83.99,62.79,44.6,64.93,67.72,70.32,73.6,77.75,68.64,52.22,78.58,81.1,82,81.81,87.59,69.3,58.51,81.73,81.59,82.39,92.11,89.7,75.61,57.78,99.27,98.01,89.24,80.3,94.85,88.2,71.97,92.06,100.29,104.4,101.43,104.37,88.66,81.59,98.13,103.47,103.35,116.57,124.8,112.48,88.78,113.14,110.52,119.41,121.86,146.1,122.32,88.54,NA,NA,122.86,126.21,144.45,119.89,102.33,139.88,141.44,134.3,155.67,154.99,124.17,107,110.44,154.65,143.82,149.79,175.27,144.06,122.56,146.81,151.76,142.87,171.63,173.01,163.81,124.68,153.83,153.66,160.55,180.01,185.18,172.16,130.12,163.88,170.51,172.94,168.13,195.68,181.25,121.98,168.5,171.82,166.99,182.37,213.38,191.01,145.69,175.25,165.17,188.97,199.98,182.17,138.35,128.93,171.24,166.5,184.58,181.95,207.41,192.64,125.58,164.44,163.32,151.08,177.51,202.11,180.64,135.34,157.4,155.62,177,188.03,202.48,175.05,131.26,152.66,155.72,167.26,180.18,198.08,186.52,140.25,158.27,168.38,174.33,174.86,199.68,191.06,148.75,174.5,178.29,175.61,186.93,206.24,184.7,138.81,171.92,170.42,164.15,163.32,197.04,185.43,132.69,153.46,155.65,155.94,163.57,194.66,182.03,132.67,149.36,153.46,161.94,179.01,202.43,200.22,145.64,135.9,146.98,152.68,156.13,192.23,178.38,132.72,150.69,153.22,154.53,164.1,196.36
"2254","county","Bond County","driving","","Illinois","United States",100,90.74,94.97,106.48,98.41,117.86,102.31,116.47,97.88,98.15,93.12,116.87,131.88,123.48,83.99,94.51,99.93,100.86,125.46,121.83,97.62,98.41,93.25,81.08,108.4,136.51,121.63,101.39,106.15,110.71,106.61,104.03,158.53,131.15,109.06,137.04,106.28,114.62,128.04,146.89,149.47,117.79,108.4,95.77,97.22,120.63,144.91,150.66,119.18,117.2,113.23,125.99,121.83,151.46,141.67,114.75,104.56,116.4,102.58,120.17,142.2,129.43,103.44,87.17,97.49,92.06,96.69,97.49,92.99,55.29,70.37,71.3,76.65,67.39,80.69,64.75,60.12,63.56,68.85,72.95,71.49,73.35,80.16,55.36,68.72,77.58,74.6,68.78,80.75,71.3,49.54,71.1,75.46,78.7,81.08,91.8,88.43,71.03,79.83,87.76,79.17,73.74,99.6,77.78,72.88,92.39,84.92,84.06,97.02,102.98,96.69,81.42,86.9,88.16,107.47,108.27,125.86,135.85,76.32,NA,NA,120.3,110.71,149.4,125.53,101.39,125,115.94,128.97,131.15,160.19,146.49,120.7,122.49,127.51,129.17,146.49,150.73,144.18,118.72,147.69,132.74,127.38,148.68,165.01,169.18,141.27,151.39,134.13,144.84,154.76,186.44,184.33,156.08,155.69,138.82,155.56,168.52,188.49,180.56,147.82,154.5,158.2,148.94,164.15,197.75,190.94,164.15,174.67,160.98,165.81,198.41,207.01,137.1,168.25,163.36,157.87,164.75,176.79,197.75,198.88,191.6,168.98,164.15,158.2,172.62,205.16,187.3,174.27,136.18,154.3,173.94,158.8,190.34,177.12,172.02,153.31,156.75,144.97,149.8,189.09,178.84,164.09,150.6,155.03,159.66,160.19,188.69,178.04,164.95,160.58,152.38,166.07,164.15,219.97,198.61,185.65,162.24,146.56,155.69,164.62,198.94,192.53,164.15,144.25,146.69,141.27,155.89,177.31,181.81,148.94,133.4,141.67,140.74,165.08,229.83,218.58,176.59,174.34,140.01,135.65,147.49,192,189.62,178.04,139.75,134.79,157.01,165.01,184.46
"2259","county","Boone County","driving","","Illinois","United States",100,102.7,102.26,104.73,129.06,123.4,108.12,108.71,92.11,99.49,97.4,131.5,121.08,97.38,95.5,96.54,98.56,108.44,124.96,147.29,92.72,100.1,96.45,103,102.68,124.18,127.62,103.06,98.35,104.66,102.28,109.03,147.6,142.1,121.8,109.37,104.11,100.93,108.25,143.01,148.43,116.8,102.32,98.65,100.61,123.46,139.31,144.73,118.82,104.96,110.53,107.03,108.44,148.98,152.88,115.85,108.29,107.74,112.05,107.15,138.38,117.92,92.74,95.13,97.57,85.5,85.25,93.94,70.59,50.24,64,67.67,71.64,71.03,79.26,67.76,52.37,74.57,70.37,71.74,78.35,87.44,73.35,61.3,71.11,75.59,75.29,76.51,91.37,82.28,53.66,85.36,77.38,83.48,89.56,98.29,99.47,85,91.94,96.24,97,90.63,106.03,94.01,91.64,89.03,98.59,84.96,98.67,120.91,110.11,94.87,99.68,93.75,106.46,119.08,132.92,134.71,86.81,NA,NA,119.01,110.02,146.59,138.02,103.14,121.23,126.72,135.28,147.69,172.46,137.45,135.28,125.87,143.64,134.86,129.23,179.07,164.53,139.5,131.17,152.37,147.2,156.85,187.44,186.22,146.74,157.23,143.64,150.26,174.53,199.16,199.62,159.57,163.96,162.06,169.64,173.47,208.15,187.68,162.36,155.71,181.6,186.24,191.26,198.52,227.01,179.21,169.45,180.92,197.21,211.06,228.36,190.95,187.02,185.27,183.6,179.6,196.81,248.05,214.69,189.77,179.55,181.62,164.91,192.53,241.51,223.78,182.7,178.41,173.83,186.07,202.62,252.4,263.66,199.39,177.99,182.7,183.44,187.85,225.09,214.88,173.52,177.34,177.25,175.12,193.86,224.69,215.45,184.93,171.47,181.92,182.72,192.61,222.64,206.06,186.79,180.38,168.14,168.3,177.78,229.04,211.44,171.41,171.64,166.22,166.79,168.43,202.38,208.53,170.52,158.28,172.29,174.13,181.13,234.96,229.01,157.78,176.09,142.82,148.36,154.19,185.1,221.61,161.41,160.65,160.79,167.88,165.03,207.15
"2328","county","Bureau County","driving","","Illinois","United States",100,98.01,99.06,110.93,105.1,85.92,85.67,99.82,99.24,99.89,88.35,110.97,109.92,89.03,95.48,104.45,93.01,100.83,120.01,116.87,84.73,98.01,101.45,94.57,94.68,115.49,126.02,94.86,101.88,103.04,92.25,103.91,129.5,134.09,126.57,108.07,104.13,101.27,112.88,126.28,144.3,114.95,96.24,89.58,88.85,116.32,135.11,142.31,119.62,110.5,125.99,108.94,117.08,160.12,147.16,118.42,100.25,109.05,108.47,106.37,135.98,115.74,102.68,97.97,93.09,87.04,93.09,104.63,93.01,58.67,69.74,72.57,82.45,75.5,81.14,79.12,64.21,79.66,69.31,77.49,90.41,85.56,76.55,62.72,78.18,92.65,84.4,87.37,95.84,79.59,55.92,72.67,83.82,89.36,88.2,92.4,103.11,88.85,99.86,131.99,102.57,102.46,103.69,99.17,84.94,102.68,99.67,96.09,108.9,123.96,116.83,97.07,107.78,101.95,109.52,126.28,143.79,150.31,101.74,NA,NA,135.07,121.97,157.65,138.76,118.13,131.89,140.35,149.29,154.43,162.61,158.45,145.24,120.92,144.59,154.94,158.7,186.79,173.65,154.14,149.22,153.24,146,163.63,196.38,183.53,164.31,152.48,156.79,173.18,180.78,200.69,202.71,172.64,172.24,173.69,183.35,200.07,243.39,209.05,171.48,166.3,172.39,192.47,214.62,226.78,212.52,196.27,182.63,184.65,199.82,216.43,230.87,187.77,204.52,203.84,204.09,192.15,195.08,234.71,212.27,189.32,185.56,177.38,179.7,191.93,225.12,225.19,193.77,201.34,195.66,203.66,217.52,219.65,201.81,187.4,175.28,174.16,190.45,205.47,216.36,230.91,190.45,180.24,182.37,195.15,196.13,236.77,220.52,181.61,176.26,191.49,204.16,217.01,255.3,224.83,188.85,175.5,172.6,180.56,185.78,225.99,201.16,169.92,166.02,167.17,171.26,189.76,201.99,201.81,155.45,156.61,170.97,168.84,184.08,223.24,213.07,171.19,168.08,145.86,169.02,152.41,184.47,176.73,153.85,155.92,169.49,163.84,173.65,200.43
"2434","county","Champaign County","driving","","Illinois","United States",100,99.55,103.94,108.18,118.41,125.92,135.47,155.35,154.78,150.31,135.65,167.79,159.54,116.31,127,126.81,130.86,144.03,162.27,154.74,115.66,121.14,124.36,118.63,131.24,169.08,155.92,121.34,126.08,139.88,126.85,137.92,181.43,168.86,139.68,143.63,126.48,134.45,161.33,190.87,194.31,135.92,130.71,128.47,126.41,143.89,176.98,186.68,156.82,134.92,135.26,139.19,158.93,221.13,234.59,169.21,135.3,133.53,139.42,151.39,165.81,104.72,78.63,80.22,83.54,77.26,78,95.49,80.7,47.9,60.61,61.78,65.98,65.49,72.39,62.89,54.2,66.4,65.16,71.39,69.87,80.69,66.92,58.34,70.85,73.25,74.23,70.9,84.56,73.42,46.99,71.47,75.18,78.91,82.26,89.05,88.34,71.2,84.12,86.78,89.18,80.86,102.03,84.96,77.41,90.56,90.08,85.62,93.76,116.02,102.49,82.89,97.09,92.96,99.07,103.49,117.84,114.67,79.87,NA,NA,113,111.94,136.78,128.29,100.42,121.6,120.32,124.93,131.47,148.78,130.69,106.49,105.86,127.22,125.15,129.59,148.83,138.04,115.91,129.17,126.29,125.48,135.7,155.32,144.68,119.35,133.75,131.32,139.81,147.15,165.67,148.69,130.18,146.32,146.51,147.96,154.51,177.29,152.34,119.25,141.18,150.66,150.69,167.19,183.56,162.18,139.8,156.87,159.46,169.51,186.57,172.26,123.03,135.78,158.39,154.16,160.16,168.39,189.32,166.95,142.79,166.43,164.79,161.02,173.28,191.28,171.55,136.19,165.21,154.72,163.96,173.58,197.6,177.25,145.75,157.99,169.37,177.58,172.7,196.16,176.06,149.96,179.23,175.12,178.63,180.27,200.09,183.16,148.33,170.47,176.99,181.51,185.48,210.36,202.87,193.74,215.02,222.56,255.73,292.26,319,306.39,230.18,225.04,221.51,212.05,210.33,247.13,237.2,184.27,190.53,192.97,203.71,218.82,253.48,216.64,166.67,179.67,185.25,188.99,195.62,231.48,205.09,172.92,179.12,186.57,187.08,202.21,232.51
"2435","county","Champaign County","walking","","Illinois","United States",100,99.77,110.88,101.9,126.02,133.22,165.75,349.28,793.49,765,474.78,544.96,387.28,215.37,406.39,371.16,351.53,362.35,426.71,328.79,213.36,300,284.57,254.12,287.91,380.77,300.98,198.27,243.01,271.1,294.24,276.22,313.53,308.46,224.81,266.44,245.31,266.44,297.81,348.01,310.59,201.55,259.87,233.91,234.95,265.05,341.62,347.9,245.14,244.67,254.06,255.61,282.56,598.85,604.84,282.5,208.81,237.08,241.68,246.8,192.34,91.31,65.17,68.39,87.33,64.25,70.7,75.13,65.86,34.89,58.26,57.92,70.58,67.47,68.57,65.8,54.98,72.77,58.32,71.62,80.02,91.13,63.33,65.98,73.23,84.97,70.75,65.92,79.22,71.85,47.84,67.59,71.62,69.6,62.75,74.32,86.93,71.21,88.77,83.25,81.06,71.73,96.95,74.04,80.6,84.86,83.42,76.45,80.89,119.34,93.26,83.25,93.44,88.72,91.77,95.97,104.26,102.3,66.26,77.43,77.55,101.96,113.41,133.22,147.5,100.06,131.84,121.36,117.27,126.89,131.95,131.89,103.51,102.42,127.86,121.88,115.77,153.6,135.29,114.45,151.3,125.39,128.32,122.8,156.94,166.32,101.84,156.07,127.92,139.21,156.59,184.46,167.42,116.12,140.07,140.93,144.1,160.79,193.09,151.7,101.09,134.31,148.01,165.23,171.5,201.9,191.59,122.34,165.4,161.49,169.2,177.32,168.8,134.02,113.76,148.42,171.16,163.15,166.26,219.69,169.49,137.42,178.7,176.68,146.86,181.06,182.96,195.62,117.9,174.9,148.93,159.3,176.51,198.16,175.53,136.73,151.12,167.47,186.64,156.13,195.22,174.38,140.7,186.24,199.14,192.06,197.35,219.06,201.61,147.73,195.85,193.15,223.83,212.78,251.41,233.62,293.03,411.17,466.32,596.89,840.93,1084.57,970.47,734.54,753.66,671.1,613.82,556.99,618.08,597.87,383.42,426.6,415.37,454.63,401.04,450.6,380.48,272.71,284.34,332.87,342.43,348.36,426.77,355.79,293.78,314.16,344.56,337.82,375.76,444.91
"2483","county","Christian County","driving","","Illinois","United States",100,100.98,106.82,125.7,97.93,114.35,84.07,109.66,104.47,106.98,85.43,122.8,143.04,87.07,107.8,99.13,111.62,110.42,122.97,132.62,83.74,107.53,109.17,99.51,103.6,121.39,134.04,89.8,100.05,119.8,101.96,106.76,133.5,151.12,108.4,130.88,124.99,113.04,127.88,143.81,142.28,92.58,110.91,123.19,102.84,121.99,128.48,146.04,103.76,122.31,142.17,126.9,137.97,144.3,158.27,96.94,107.42,116.26,114.4,118.39,127.66,110.09,67.54,90.29,86.58,78.83,83.14,82.11,64.32,44.03,62.63,65.74,74.8,86.14,81.83,70.16,62.14,79.92,81.56,81.94,85.05,91.93,67.59,51.99,89.53,89.58,106,104.31,109,87.34,44.95,85,86.31,107.2,104.86,108.78,92.36,72.23,110.47,112.77,115.22,105.62,115.6,93.29,82.92,107.58,102.51,121.06,115.11,124.44,121.39,91.54,115.49,101.8,126.57,131.26,146.54,127.5,96.13,NA,NA,139.83,129.35,151.61,144.52,100.16,126.57,154.12,132.9,138.3,163.72,163.83,125.37,123.95,144.14,142.55,157.72,175.72,162.19,129.51,156.85,146.59,153.85,166.61,193.02,172.12,142.94,150.03,149.92,165.08,192.25,203.82,204.96,137.97,160.56,176.32,182.38,166.34,196.18,181.56,129.95,164.38,182.43,182.43,187.18,224.33,189.31,151.88,174.8,165.79,180.25,183.58,192.69,164.48,131.75,192.74,171.9,176.05,197.49,216.48,209.98,150.19,166.67,166.67,165.47,189.47,234.64,197.33,159.68,159.96,165.63,172.67,184.78,194.38,209.27,155.21,166.34,164.54,194.05,160.56,183.31,194.54,145.55,145.44,173.92,159.79,182.65,188.6,185.98,130.77,149.05,165.85,156.57,172.61,201.8,203.66,142.5,163.01,169.56,171.79,166.45,186.85,173.76,135.19,136.01,150.41,156.57,163.34,190.13,172.23,126.84,155.37,157.94,161.37,179.98,205.89,211.73,157.06,134.75,156.14,165.19,169.12,203.44,191.33,134.26,158.59,160.34,165.25,172.18,187.62
