"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18"
"178","city","Ann Arbor","driving","","Michigan","United States",100,100.28,101.92,104.53,129.03,81.12,79.29,97.64,95.8,99.34,102.76,122.14,113.41,80.02,89.53,94.99,94.57,104.41,124.26,113.06,80.42,90.62,96.38,97.37,104.51,121.18,115.59,85.91,91.66,98.37,100.82,106.19,130.52,117.39,93.63,101.01,100.2,102.07,107.26,126.91,119.58,89.49,92.03,94.87,92.19,103.14,119.98,104.77,75.66,89.8,92.75,92.58,102.84,110.11,109.64,92.93,99.72,108.27,97.9,93.57,94.55,78.06,60.31,62.91,59.24,53.73,52.82,57.43,47.29,35.31,43.72,32.69,36.28,36.04,39.24,33.17,28.82,34.63,34.74,34.89,38.17,43.52,36.06,31.73,36.14,34.48,38.16,36.64,42.09,38.21,25.23,34.14,37.04,37.87,40.1,39.2,43.8,35.87,42.01,40.45,39.47,42.63,48.44,46.05,40.62,48.82,51.54,46.44,48.52,60.69,57.56,49.52,53.14,53.37,56.99,61.23,64.24,59.86,46.84,NA,NA,66.52,60.78,72.67,72.57,52.48,60.97,70.48,78.65,79.51,85.14,74.57,64.93,60.22,80.71,82.43,82.17,92.16,86.7,68.08,80.91,86.11,85.57,92.28,100.93,95.79,78.12,92.13,95.97,89.66,107.02,113.13,106.48,87.15,101.89,106.51,109.08,111.8,128.78,117.67,81.74,104.44,108.26,114.77,118.56,126.33,120.27,101.94,112.21,114.68,119.74,123.2,113.57,81.61,85.02,107.76,112.19,113.61,117.16,123.39,120.21,97.25,112.97,112.49,115.66,114.26,132.23,121.63,93.25,116.51,113.06,113.49,119.85,132.61,120.89,100.14,110.93,116.14,118.59,122.97,130.59,116.64,91.99,113.89,119.18,117.81,122.32,132.93,121.49,100.59,110.37,115.57,120.32,124.05,135.16,125.63,101.38,118.8,119.28,124.24,127.94,140.37,137.33,118.91,145.32,148.06,153.12,164.24,166.43,162.34,132.09,131.84,128.44,130.8,138.31,158.81,138.95,116.04,105.84,111.9,119.73,128.61,150.95,147.27,113.4,117.7,120.16,123.74,128.93,152.66
"179","city","Ann Arbor","transit","","Michigan","United States",100,103.06,94.19,95.9,98.55,64.89,52.03,76.44,90.53,91.8,99.4,100.04,72.61,57.36,80.99,82.07,87.92,94.41,97.88,75.44,57.4,88.89,83.79,87.33,93.07,103.54,69.96,55.39,90.05,91.91,90.23,94.52,106.04,71.6,54.45,85.76,85.87,93.25,85.95,100.19,75.21,51.06,80.58,89,94.45,87.18,81.33,57.32,44.84,57.32,56.28,61.01,54.83,53.48,56.76,49.35,86.4,96.05,77.41,67.91,58.33,41.41,32.99,33.92,30.64,26.57,22.88,23.63,17.96,12.49,16.03,14.46,17.44,15.62,14.61,14.65,10.21,13.46,14.95,11.89,13.46,15.24,11.41,10.66,11.89,11.29,13.83,10.29,13.83,12.37,7.53,11.26,12.11,14.28,11.85,9.91,12.08,11.59,12.93,13.08,11.48,9.65,13.72,10.21,10.44,11.55,11.48,9.5,13.05,16.51,12.52,16.4,16.21,12.56,13.72,15.88,14.76,14.72,11.41,NA,NA,13.9,12.49,12.9,13.87,9.73,12.52,15.36,17.11,15.77,15.69,12.23,16.36,11.41,18.15,17.07,15.28,17.22,18.11,14.54,16.81,16.47,17.41,18,17.74,20.35,19.42,20.57,19.9,20.46,21.36,21.47,21.21,17.55,23.03,22.55,21.88,24.64,24.34,20.24,18.49,28.89,26.91,28.14,25.34,22.77,22.18,20.24,25.2,24.86,28.1,23.93,18.64,15.02,19.6,22.47,28.62,26.87,23.37,25.72,19.6,21.02,24.52,23.26,23.63,23,22.81,23.7,19.87,24.23,24.04,20.13,20.09,25.01,22.36,21.51,24.67,22.88,23.48,24.49,24.93,21.99,16.06,21.47,28.92,23.7,23.52,27.36,23.41,21.95,26.72,25.68,24,21.95,23.33,21.47,21.1,26.09,24.67,25.23,26.87,24.11,26.46,26.2,39.06,42.56,48.04,50.73,54.45,51.77,48.75,56.21,50.5,47.52,47.78,47.67,46.55,32.69,28.44,40.66,42.6,36.19,47.22,39.99,33.43,38.5,38.35,42.08,44.2,45.73
"180","city","Ann Arbor","walking","","Michigan","United States",100,110.19,108.98,108.39,134.95,100.24,76.06,95.71,89.51,94.17,104.87,129.99,136.68,73.62,81.08,82.94,84.88,96.03,140.44,127.97,76.34,82.62,82.7,82.75,93.28,129.33,138.03,72.9,75.81,81.2,82.33,92.63,138.7,153.29,97.88,85.68,84.72,83.95,93.39,127.05,150.18,85.02,68.76,75.69,70.08,85.85,88.36,77.59,46.26,51.07,49.56,52.36,60.48,62.1,90.15,90.39,81.53,110.45,75.99,78.3,81.24,73.93,48.27,37.96,40.85,31.36,30.32,33.62,28.29,21.42,25.44,20.94,25.51,22.62,24.65,20.65,18.79,25.57,21.72,20.84,28.84,31.45,24.28,27.35,25.95,24.95,29.04,22.51,22.9,25.77,19.36,22.01,24.47,23.2,23.53,19.58,27.2,27.04,27.1,20.38,19.16,20.65,25.22,28.69,26.78,29.61,30.84,24.95,24.14,36.92,36.64,34.57,31.65,27.32,32.77,35.25,32.37,29.35,20.88,NA,NA,40.33,29.96,40.61,44.05,28.44,31.57,38.87,46.43,47.44,46.29,47.47,40.7,37.31,43.96,47.79,46.25,49.5,55.02,45.89,50.08,55.43,48.65,56.43,58.4,65.14,51.88,55.93,59.7,51.1,68.38,77.24,85.85,64.18,68.82,69.15,68.58,70.82,89.02,84.66,51.65,69.38,69.5,81.71,73.73,90.08,91.69,76.54,71.28,72.51,73.31,74.11,74.34,57.78,55.14,64.88,67.6,70.81,70.1,78.01,91.19,66.3,73.08,76.69,77.33,69.16,89.27,89.92,60.22,75.91,79.19,78.09,77.78,95.7,94.86,75.45,74.45,77.48,77.81,85.89,91.82,82.29,61.94,78.47,88.06,80.22,83.61,92.88,95.93,72.93,70.03,77.66,84.28,84.06,91.36,104.11,75.97,89.07,90.1,91.87,97.66,122.76,132.54,126.82,172.8,207.04,226.29,244.35,246.4,286.59,208.99,209.35,191.16,184.97,189.44,240.4,220.56,158.81,135.64,126.82,143.29,151.73,204.97,215.3,129.65,124.54,136.67,128.33,143.73,175.65
"349","city","Detroit","driving","","Michigan","United States",100,101.45,103.05,105.45,122.23,80.54,76.38,92.79,99.71,101.26,102.27,118.67,109.57,73.8,93.8,97.31,98.98,103.07,118.52,108.69,76.26,94.83,97.55,99.66,104.23,114.58,109.1,78.54,97.58,103.38,103.55,108.89,132.13,116.11,85.14,98.62,103.57,104.43,108.19,124.85,127.25,86.47,98.1,105.36,100.64,109.5,131.71,133.18,92.62,110.6,116.83,116.52,119.82,137.26,136.88,96.2,108.7,115.72,107.06,101.43,104.72,89.28,66.04,74.8,70.59,65.33,64.28,69.34,57.28,42.4,53.15,38.97,43.44,41.71,48.27,39.7,34.48,41.44,42.92,44.21,47.62,52.24,44.21,37.2,44.31,43.58,49.88,46.37,51.11,48.6,32.21,44.08,47.82,50.4,52.53,53.04,55.95,45.46,57.42,53.11,53.78,55.51,64.16,59.99,50.75,62.53,66.32,62.27,65.27,80.87,76.94,66.91,71.29,73.77,78.79,82.49,86.99,86.41,67.98,NA,NA,94.69,85.88,103.85,106.63,74.36,88.15,101.76,113.14,114.14,117.6,109.95,92.57,88.99,112.11,114.9,115.38,126.37,125.25,96.48,112.46,119.49,120.57,129.04,139.21,136.78,107.97,126.37,130.1,122.41,140.94,150.62,145.45,115.06,134.49,139.43,144.91,151.05,169.17,159.8,111.59,138.89,143.21,152.15,157.02,165.76,163.09,131.92,146.27,151.81,156.21,159.37,152.49,125.36,115.55,140.73,147.61,152.85,155.98,160.55,171.64,131.06,147.49,152.81,155.54,151.09,173.16,170.72,119.06,149.29,149.68,153.76,159.29,173.35,173.53,134.45,146.87,153.85,155.34,158.93,167.9,153.62,116.11,146,151.56,155.11,159.3,172.32,165.82,129.61,144.99,150.48,155.61,159.11,170.22,165.05,124.16,145.61,148.17,152.02,156.72,171.6,164.72,128.23,143.8,145.24,144.19,151.26,154.18,156.77,120.39,137.71,140.23,144.62,152.41,164.76,143.44,117.37,105.55,126.26,138.99,144.15,166.96,165.18,121.53,133.76,140.44,142.27,148.67,168.04
"350","city","Detroit","transit","","Michigan","United States",100,94.06,95.71,91.35,94.83,69.95,65.15,84.1,92.07,94.23,92.85,99.02,84.03,67.32,92.85,93.45,92.75,91.72,97.64,84.31,70.23,95.22,96.73,95.6,90.86,95.71,84.51,69.14,98.17,98.49,99.5,93.07,103.57,87.53,75.62,91.16,96.22,97.27,94.5,102.38,97.92,77.67,99.13,98.79,85.72,89.44,100.05,92.03,74.47,102.69,99.61,101.56,99.92,105.92,94.69,77.38,99.02,100.43,91.73,85.98,86.77,70.99,63.58,69.89,56.74,52.36,50.48,54.86,46,40.87,42.84,37.06,41.31,37.01,37.97,32.1,31.16,36.37,35.55,35.45,35.01,35.73,32.5,29.01,35.83,31.46,37.47,31.47,30.86,31.1,24.14,31.27,28.58,27.73,30,28.02,30.34,28.26,34.4,30.76,29.19,29.11,33.88,30.58,30.49,35.07,35.15,32.68,34.15,40.45,38.04,37.31,40.77,37.26,41,39.27,36.87,35.51,31.95,NA,NA,42.83,35.66,43.68,44.76,36.63,39.18,48.59,48.39,47.23,44.71,46.95,45.16,43.96,52.53,53.41,49.5,49.79,53.25,44.84,53.53,54.78,52.6,57.98,59.48,59.76,54.07,62.36,64.29,58.31,64.93,63.8,56.7,52.79,65.97,65.07,64.08,63.29,67.36,64.25,49.83,66.19,63.76,64.04,68.01,68.62,64.45,57.41,65.96,65.6,66.67,66.06,63.21,55.85,54.1,62.73,65.02,63.45,64.02,60.88,62.67,54.59,61.47,63.46,63.62,57.77,65.54,63.52,47.5,62.31,61.83,60.17,61.93,66.1,63.89,57.27,62.53,62.06,63.68,60.58,60.85,55.71,46.49,63.56,61.63,58.86,64.45,64.89,62.48,56.07,60.67,62.22,61.3,60.93,63.93,63.24,53.46,63.67,61,62.27,62.7,64.28,62.09,54.68,64.6,62.47,60.24,60.68,54.11,57.19,51.26,59.57,60.43,59.07,58.83,60.81,53.08,49.99,52.65,54.93,56.98,59.41,62.61,60.72,54,58.14,58.97,59.96,66.67,66.84
"351","city","Detroit","walking","","Michigan","United States",100,104.98,105.45,107.01,133.84,113.98,86.12,98.9,98.4,99.95,104.35,130.09,150.61,82.4,95.4,95.53,97.53,103.26,135.71,144.43,92.3,103.82,100.2,100.72,97.06,132.96,151.76,95.73,98.51,104.61,101.06,105.41,153,154.03,102.93,105.62,112.05,110.28,116.07,146.91,237.29,114.3,99.79,108.39,100.3,110.33,144.9,177.98,107.12,112.63,117.72,120.71,134.34,167.26,191.91,123.14,115.73,128.81,108.27,106.88,119.38,113.68,85.53,83.81,89.14,76.81,75.26,83.83,71.55,54.34,64.11,55.93,69.26,59.84,64.49,50.18,49.95,55.76,56.53,62.25,77.82,80.69,63.09,62.26,67.25,63.93,83.93,62.91,64,71.14,49.11,56.83,62.64,60.01,66.86,61.47,75.62,65.67,78.48,63.44,64.33,65.96,83.03,82.07,70.53,87.35,96.31,78.86,82.07,112.03,106.03,98.11,96.83,94.97,109.25,109.75,104.34,101.95,80.9,NA,NA,134.53,110.01,136.27,152.21,97.96,111.19,135.79,158.39,159.82,151.87,159.3,139.7,136.94,160.61,175.42,160.56,180.19,175.97,141.25,157.29,170.33,170.92,178.44,194.67,191.67,154.64,173.61,177.89,158.28,197.09,206.06,201.08,165.65,186.83,189.71,200.09,200.57,235.47,229.89,158.01,186.76,189.62,209.82,218.29,229.89,239.03,192.93,202.61,208.2,213.66,208.05,216.61,177.94,169.03,189.06,199.62,201.49,214.34,209.62,243.84,191.09,204.83,212.88,214.98,196.49,246.39,240.88,164.22,205.85,209.31,213.87,217.22,248.16,246.57,191.11,196.6,217.41,214.44,213.46,235.88,206.93,161.07,197.04,207.13,212.72,218.89,252.13,259.41,193.58,195.86,209.2,213.42,219.4,241.16,252.73,183.62,201.09,203.46,208.34,216.69,247.46,248.78,186.05,194.57,198.99,192.69,204.73,203.95,246.57,178.84,195.34,189.87,197.67,205.97,239.41,217.88,171.26,151.85,161.68,180.47,191.21,233.25,246.65,169.52,170.96,180.2,189.37,199.16,229.33
"411","city","Grand Rapids","driving","","Michigan","United States",100,104.65,105.34,106.65,134.66,104.47,77.76,100.94,112.36,105.96,106.92,126.07,124.01,78.18,96.38,101.79,103.35,110.29,129.07,131.14,84.43,97.9,102.53,102.99,107.35,123.17,122.96,82.74,101.61,109.52,115.02,115.8,141.94,135.1,90.57,103.1,106.33,111.86,114.98,141.05,139.52,88.56,103.53,108.82,109.22,114.16,137.63,134.59,89.64,100.54,105.1,111.05,118.25,134.92,140.03,97.22,106.27,123.33,111.71,110.71,108.04,91.3,64.35,73.74,68.74,66.09,65.06,71.66,59.6,43.66,57.68,41.19,46.69,45.54,51.62,39.38,31.92,44.32,45.46,46.52,51.86,58.04,42.47,40.39,48.76,47.58,50.2,49.31,55.04,50.44,30.2,46.39,49.25,52.32,54.99,58.1,59.03,47.74,59.86,55.38,56.71,59.87,70.52,63.05,57.39,64.81,70.75,66.6,71.05,89.06,76.17,63.15,80.94,79.77,85.66,90.01,97.13,89.42,58.2,NA,NA,100.83,92.46,116.77,105.06,69.57,96.28,108.91,116.86,119.56,125.36,99.31,81.68,81.52,112.15,112.45,117.43,132.62,119.88,85.15,114.69,120.05,125.78,131.76,146.22,125.48,99.8,133.96,131,129.7,145.72,159.52,141.32,110.61,141.92,145.67,153.77,159.25,172.07,142.74,100.04,143.78,152.02,164.72,165.15,170.91,156.93,121.74,150.89,155.62,160.93,170.94,147.29,104.89,103.42,147.36,153.46,158.92,160.78,170.38,156.17,121.47,154.11,154.89,159.08,164.63,179.03,152.66,117.41,153.55,156.15,160.94,164.18,183.86,161.14,124.64,148.99,158.53,163.02,167.35,174.81,160.42,118.4,154.79,160.63,161.41,167.67,181.11,166.79,136.81,152.79,161.54,167.03,168.49,185.05,161.35,129.64,158.72,162.21,166.47,172.45,192.21,166.85,132.41,161.18,161.7,170.65,176.72,183.72,168.67,127.62,154.68,156.07,164.45,174.47,191.47,148.8,116.98,119.76,146.28,150.78,163.01,187.62,170.03,125.83,151.54,158.54,160.97,168.98,193.9
"412","city","Grand Rapids","transit","","Michigan","United States",100,88.36,88.25,94.26,93.22,80.93,49.34,84.48,92.08,80.66,87.38,88.03,79.02,59.51,84.59,79.78,82.79,79.13,90.44,82.79,66.12,82.57,90.27,77.21,78.96,86.34,79.23,60.05,92.68,90.38,87.43,89.4,88.47,87.7,62.35,89.73,92.24,82.19,87.92,99.73,83.01,65.52,92.68,83.72,88.85,88.03,94.59,82.57,55.74,81.2,81.58,89.62,84.7,86.56,90.27,64.21,81.86,88.31,82.08,72.35,73.33,63.72,41.58,53.61,52.51,41.69,42.62,39.62,33.93,29.02,34.92,31.2,28.74,29.13,25.74,21.91,15.57,22.95,23.5,24.54,25.9,28.58,21.04,24.81,24.59,25.41,23.83,21.48,22.4,22.13,19.78,22.4,22.84,18.8,23.22,22.35,26.01,23.99,25.79,26.83,26.01,26.28,23.28,23.06,25.19,23.22,31.2,27.16,23.61,28.47,31.15,29.51,31.64,29.45,30.44,34.43,33.5,29.89,21.75,NA,NA,33.44,35.3,35.25,33.5,25.46,31.2,37.05,35.25,38.91,38.74,34.1,29.45,32.79,40.66,43.22,40.16,39.4,41.97,32.19,49.34,44.26,43.88,46.23,48.42,40.55,38.58,53.28,48.47,46.89,48.42,50,49.23,44.59,50.71,52.3,52.51,56.28,61.2,53.01,38.47,54.81,48.74,57.81,53.61,53.44,53.61,50.87,51.58,53.66,52.13,50.71,52.46,37.92,40.82,51.75,50.27,59.89,55.68,52.35,54.92,43.77,53.99,58.03,50.87,53.93,62.9,54.81,41.53,81.86,58.09,61.75,58.42,64.48,56.17,46.83,55.36,57.1,54.92,55.03,55.08,53.22,38.2,53.33,56.5,49.02,52.95,56.28,52.02,45.46,48.52,49.95,58.52,53.55,59.18,48.58,44.43,51.75,53.01,56.39,54.59,56.61,52.73,46.12,58.09,56.28,60.11,63.33,63.33,53.06,53.01,72.79,65.96,63.44,61.48,56.56,47.7,40.11,40,51.75,56.12,60.11,62.62,49.18,45.74,60.55,59.34,57.6,68.36,62.51
"413","city","Grand Rapids","walking","","Michigan","United States",100,104.67,101.61,113.66,162,148.89,93.85,96.6,100.9,104.05,101.25,137.92,187.4,85.27,92.7,94.72,104.17,115.58,154.34,212.32,101.31,97.82,96.82,104.26,101.23,131.36,193.8,97.18,99.75,113.96,152.96,104.43,170.85,234.16,100,96.62,101.69,106.4,110.4,161.23,219.24,98.11,96.9,101,103.66,106.23,150.48,184.3,105.25,96.54,97.29,114.3,132.02,149.12,199.67,137.84,100.46,129.13,121.21,134.15,114.48,133.77,70.53,71.2,73.1,65.36,62.85,68.1,64.56,48.84,59.31,54.06,58.93,51.91,59.57,41.73,38.15,49.22,47.38,55.31,73.71,71.05,47.35,63.52,62.46,59.72,62.23,51.98,58.08,65.31,43.56,46.61,47.6,49.93,52.81,57.03,70.3,64.52,67.43,50.39,52.21,60.55,66.77,64.59,68.87,70.89,83.7,58.26,66.46,93.08,85.71,72.46,90.78,80.65,92.36,94.52,96.65,87.9,54.09,NA,NA,110.81,97.85,124.08,109.82,68.64,108.79,117.57,129.62,134.13,128.16,101.98,91.49,91.95,117.42,113.66,130.21,136.8,155.01,98.26,128.52,130.26,143.43,145.96,153.58,124.57,96.18,148.22,132.31,133.79,163.52,173.81,161.74,114.35,156.95,155.72,158.64,173.27,191.26,160.82,103.1,159.01,163.01,187.14,186.21,185.94,195.26,122.36,168.02,165.69,171.17,171,158.32,115.83,105.81,152.81,164.36,166.29,168.03,184.42,171.13,120.47,170.05,175.02,168.49,181.88,191.85,169.2,118.47,171,168.51,172.15,176.68,207.15,182.16,127.85,161.36,168.74,172.35,182.89,193.18,181.35,124.04,173.53,172.38,178.1,182.19,204.23,196.33,131.52,163.01,172.3,184.45,180.7,213.22,196.11,142.56,181.17,181.38,187.16,191.67,221.83,223.04,155.67,198.97,198.43,207.28,221.54,240.18,238.45,149.57,214.17,194.69,200.52,203.77,228.9,201.15,149.35,133.46,146.53,161.41,174.97,235.26,223.6,136.07,171.44,171.97,185.24,194.62,220.44
"511","city","Lansing","driving","","Michigan","United States",100,103.69,104.22,108.14,135.69,82.94,77.62,92.65,99.61,99.4,102.96,126.58,116.67,83.54,92.56,98.69,102.25,103.22,127.72,115.29,85.13,95.02,99.26,99.55,103.62,122,111.23,86.57,96.3,101.77,105.27,104.42,138.77,127.95,95.32,97.78,99.23,103.26,108.49,133.67,127.05,96.42,100.77,108,97.87,114.21,135.37,133.05,90.31,85.91,87.5,93.02,97.33,113.25,118.31,99.9,100.14,112.41,104.22,98.37,99.29,82.21,63.32,68.86,67.07,61.84,59.13,63.5,51.91,39.86,50.87,36,39.3,38.78,43.79,34.89,29.2,37.8,38.75,43.17,45.76,50.02,39.3,36.13,43.25,41.76,45.11,43.7,47.85,42.68,28.34,40.51,41.95,58.84,47.32,48.82,49.5,42.33,51.43,48.14,47.48,51.47,58.41,55.16,46.88,55.62,61.24,55.61,61.15,74.74,68.38,57.48,65.98,64.74,70.26,74.02,78.82,73.89,54.86,NA,NA,81.18,75.97,90.24,85.83,64.2,77.33,89.59,99.12,96.68,103.77,86.51,75.8,71.67,93.77,97.11,95,105.98,96.01,84.66,98.18,98.05,101.65,109.51,117.4,101.83,84.84,108.41,106.39,106.4,117.75,129.85,112.88,96.72,115.62,117.2,122.73,127.7,136.41,117.78,87.65,116.46,121.16,129.29,132.08,139.86,124.96,101.48,121.44,125.48,129.63,133.92,115.62,82.36,90.27,120.22,123.05,129.86,131.77,131.78,122.55,103.54,122.46,128.9,131.82,131.11,146.28,126.09,99.53,124.63,125.99,131.36,136.18,150.9,134.09,109.08,125.21,128.48,133.94,138.05,141.35,127.89,101.79,127.76,129.85,135.19,135.51,147.34,133.62,111.79,126.94,128.76,130.62,134.15,146.95,129.1,110.36,129.93,133.8,137.14,140.95,156.19,146.76,120.67,137.88,141.03,155,155.06,172.98,162.13,131.85,147.15,140.76,141.11,149.36,168.01,137.41,112.55,112.26,123.45,128.77,135.76,158.1,144.83,114.5,126.2,126.65,130.6,139.3,154.79
