"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18"
"296","city","Charlotte","driving","","North Carolina","United States",100,102.45,106.51,111.42,130.02,116.21,86.55,103.85,106.98,105.34,110.31,121.02,120.24,81.29,100.23,107.32,105.3,109.3,122.45,121.25,82.74,101.73,105.4,104.77,102.02,128.37,118.69,88.2,106.68,109.53,110.91,116.26,146.3,130.8,91.64,111.41,110.74,114.02,98.74,127.99,135.98,91.47,108.33,114.58,118.72,129.98,152.67,157,106.57,121.14,115.33,115.97,119.06,143.36,145.8,100.47,115.18,116.77,118.2,117.04,125.45,112.16,76.03,88.35,81.42,79.36,78.72,86.98,74.32,50.69,61.39,63.33,70.2,56.6,64.29,57.94,45.84,58.67,55.39,58.56,61.36,69.12,60.26,46.37,61.53,61.46,64.14,66.48,70.8,63.5,37.08,66.42,69.62,72.03,74.63,84.66,76.82,56.51,69.84,74.8,75.96,69.89,88.41,77.18,63.07,78.45,81.29,80.56,83.98,97.17,89.53,72.68,86.08,84.26,88.97,95.54,103.36,103.79,75.83,NA,NA,100.31,106.97,122.69,116.19,90.76,103.55,100.48,99.66,107.29,129.38,124.07,93.18,93.3,113.42,107.17,117.46,130.86,132.29,101.74,119.39,121.32,122.35,127.76,142.9,138.37,107.46,124.35,126.05,128.53,137.39,153.22,148.37,112.77,123.8,117.79,125.91,134.43,155.36,151.04,108.1,129.65,133.17,134.78,140.1,157.89,151.17,113.56,132.98,134.31,138.88,148.74,147.62,118.78,105.19,129.68,128.38,134.49,140.85,159.26,152.04,114.85,132,134.69,136.51,143.25,157.12,149.72,116.58,130.96,135.1,139.92,142.35,159.35,155.42,118.77,136.07,137.43,137.99,142.69,158.69,153.7,115.23,129.67,139.42,138.26,142.58,160.34,153.69,118.23,132.81,135.44,138.09,139.86,160.18,147.97,118.83,128.5,132.4,131.72,138.25,151.85,155.88,114.28,129.46,127.92,132.67,135.75,154.76,146.62,112.56,119.98,132.63,134.49,143.99,169.49,153.06,120.6,114.78,131.1,131.11,136.92,159.73,155,115.58,128.33,134.16,134.11,124.24,159.79
"297","city","Charlotte","transit","","North Carolina","United States",100,98.24,100.72,98.92,106.88,95.27,88.55,98.16,103.16,99.22,98.6,99.8,105.85,81.21,100.31,100.68,96.13,97.78,100.67,103.34,81.42,99.45,100.63,103.19,92.18,103.11,100.34,87.85,104.39,101.59,110.67,107.82,119.78,108.57,86.31,105.67,108.75,100.36,85.96,112.22,115.84,86.5,95.27,105.39,105.22,111.52,121.47,124.15,94.18,102.65,99.81,99.64,99.35,116.45,117.44,85.36,102.71,103.43,100,98.86,98.11,91.83,68.92,74.13,72.46,63.36,63.55,66.25,55.73,44.74,51.83,51.59,53.82,45.96,49.97,46.19,41.72,51.16,43.99,44.8,50.12,49.66,50.03,42.56,50.75,49.76,47.39,49.78,47.29,44.97,34.56,49.08,48.34,44.01,49.86,52.25,50.27,42.47,51.11,48.74,49.01,44.66,52.15,46.21,49.25,54.93,54.06,53.07,51.08,56.31,50.85,52.17,58.36,56.47,56.09,57.83,57.51,55.22,50.24,NA,NA,61.06,60.32,61.01,62.41,56.52,60.39,56.45,52.1,53.21,63.11,66.74,57.32,60.85,64.42,56.95,66.54,66.43,69.95,62.71,67.7,75.73,70.73,72.66,76.01,74.18,65.29,75.1,71.43,69.01,68.53,76.31,76.96,64.98,67.25,61.98,67.75,67.01,74.86,74.64,61.71,71.59,75.96,73.07,75.29,78.55,72.88,59.9,71.81,71.31,70.17,77.95,71.18,65.94,62.22,72.42,67.76,69.52,72.83,79.69,81.19,62.59,70.9,69.86,69.37,72.1,77.3,75.75,61.13,72.56,71.91,68.92,72.08,73.07,77.66,60.1,71.35,67.63,68.96,69.28,71.28,72.99,64.91,68.55,69.01,70.1,66.19,70.73,72.27,58.89,68.92,66.42,71.09,68.26,75.61,70.67,59.11,67.82,70.29,70.78,68.46,70.84,73.23,62.06,66.93,67.22,68.99,67.87,76.19,72.18,62.78,63.86,62.66,68.17,69.54,77.03,75.09,63.69,65.63,69.85,65.56,72.24,77.51,69.73,59.85,65.55,68.28,68.6,67.92,80.2
"298","city","Charlotte","walking","","North Carolina","United States",100,104.79,112.58,113.66,151.61,174.87,112,106.97,111.26,104.86,109.33,122.62,160.79,88.17,97.24,109.59,103.18,105.58,121.16,164.6,91.37,102.85,100.3,107.82,96.84,140.75,153.63,94.1,100.16,106.7,109.32,111.55,169.95,184.53,103.03,108,104.35,103.91,90.99,147.93,187.43,99.25,97.36,115.43,123.66,133.9,177.4,239.5,124.88,116.07,110.53,115.35,110.76,160.54,200.82,111.96,114.55,114.79,119.32,116.2,132.46,155.62,78.26,85.4,78.15,81.01,78.81,88.15,81.37,53.59,59.87,61.48,73.42,58.91,71.19,67.69,55.48,66.78,56.17,60.65,67.28,75.22,68.3,55.4,66.34,68.31,71.12,75.08,77.33,74.87,39.25,71.21,75.63,75.07,76.48,89.42,83,60.49,71.84,79.78,79.08,67.01,92.84,80.28,71.64,85.13,85.32,82.44,82.6,100.52,96.41,78.14,89.8,83.41,89.3,99.26,98.99,110.43,77.88,NA,NA,105.01,115.03,133.4,128.1,100.4,113.08,105.61,104.68,111.4,134.9,140.69,104.23,100.98,127.67,112.74,130.09,149.46,163.17,120.87,148.17,158.75,140.84,141.6,163.52,165.87,115.54,141.48,139.09,139.42,149.33,181.45,182.62,127.98,136.25,122,137.55,145.52,186.28,181.86,118.31,143.91,149.05,150.9,156.38,183.21,182.46,126.44,147.6,150.13,153.55,160.89,177.41,140.31,119.79,144.57,141.54,152.07,158.06,184.84,192.8,131.31,145.75,151.32,147.01,156.3,181.33,181.1,132.23,139.89,148.06,157.85,156.16,182.81,193.24,134.39,153.88,152.69,151.05,157.23,187.69,189.89,134.42,142.65,155.49,156.72,160.43,186.08,196.25,135.94,150.87,151.35,156.39,158.29,194.94,189.09,141.66,146.77,152.67,146.56,157.31,185.73,214.24,138.33,145.34,147.91,153.59,155.14,190.37,196.51,132.51,134.43,153.61,158.1,162.22,202.89,213.48,158.54,136.52,149.51,145.56,156.76,197.11,204.69,142.8,148.31,152.21,157.42,142.58,202.17
"416","city","Greensboro","driving","","North Carolina","United States",100,103.78,106.89,110.17,139.36,122.37,91.54,106.51,105.74,103.8,108.29,127.98,134.05,89.76,97.79,104.16,105.51,111.06,129,130.62,91.11,103.28,107.62,107.46,98.9,136.66,131.37,96.44,108.06,109.14,112.88,122.53,161.52,143.42,101.39,112.95,111.53,112.3,97.3,131.88,149.81,101.55,108.14,115.5,118.31,128.47,153.31,158.43,115.89,113.17,114.37,114.25,119.53,139.56,138.15,102.1,115.58,121.58,125.1,121.05,133.54,119.72,79.68,95.05,88.91,86.24,86.9,96.21,78.47,55.38,64.92,68,70.63,69.28,73.31,57.01,47.49,62.55,59.61,63.2,65.68,75.56,63.94,49.43,66.83,66.69,68.8,72.13,74.98,66.74,42.65,66.8,72.28,79.58,81.52,91.02,80.17,60.61,77,80.87,82.8,76.61,94.9,80.58,63.41,83.04,85.72,87.87,88.98,102.91,93.06,73.71,90.83,89.19,92.96,98.71,110.11,108.34,79.37,NA,NA,103.91,111.9,125.92,117.81,90.14,104.33,107.58,105.41,107.83,135.11,125.17,91.19,95.96,119.56,111.36,124.98,138.71,138.33,100.18,114.94,116.81,121.49,127.82,140.69,134.02,120.84,127.86,130.14,131.92,135.25,155.03,146.97,108.66,122.83,117.51,126.32,133.54,156.11,144.36,105.78,132.45,135.74,137.9,143.9,161.8,149.73,111.61,136.18,138.41,144.27,150.49,147.51,114.56,104.78,137.18,136.77,139.01,143.56,161.57,152.74,113.85,139.65,142.46,141.87,146.76,161.24,153.69,115.87,140.71,140.46,145.66,142.95,167.46,160.56,120.81,143.38,142.88,143.7,149.35,164.38,155.47,114.64,134.64,144.76,147.3,146.94,172.53,162.9,127.08,146.93,150.01,154.46,157.86,182.07,181.8,149.37,162.56,160.97,157.24,160.34,181.97,176.72,128.9,148.72,152.17,153.83,156.18,177.3,163.86,123.87,137.9,150.45,152.28,161.36,191.41,167.27,125.64,126.95,148.49,149.41,155.02,181.3,171.98,129.84,148.08,152.34,153.89,147.98,180.41
"417","city","Greensboro","transit","","North Carolina","United States",100,88.11,91.15,88.02,107.65,82.3,67.56,83.41,83.78,86.27,78.43,84.33,92.07,63.13,73.36,78.89,73.18,76.41,85.25,82.76,69.22,78.99,80.09,84.24,69.95,82.21,87.93,76.22,82.95,84.79,92.35,88.11,92.26,84.98,72.72,81.2,82.95,84.52,70.41,92.63,95.85,74.75,80,81.29,80.09,90.6,105.16,95.67,74.01,83.04,73,71.06,81.66,92.63,84.52,87.56,78.62,80.92,81.94,77.79,80.18,74.29,50.6,59.54,59.82,55.3,56.87,60.92,47,34.65,48.11,40.74,42.58,38.16,43.04,40.55,31.61,41.75,39.17,38.34,40.18,45.62,31.52,33,40.28,37.33,39.72,35.67,38.06,37.97,24.42,41.11,44.79,38.43,37.6,46.27,42.49,32.9,41.94,44.24,48.48,38.8,47.19,39.26,31.71,41.29,45.81,43.87,44.88,44.98,41.75,34.84,48.11,45.53,44.7,46.36,43.04,45.81,44.88,NA,NA,49.68,49.68,50.32,53.73,43.87,49.68,42.4,41.57,44.61,52.72,54.65,41.38,50.97,54.29,52.26,52.44,50.05,65.71,46.18,45.81,57.14,55.94,60.18,62.4,53.46,48.57,58.53,59.17,56.22,58.43,65.25,59.45,57.6,52.35,51.24,57.79,50.51,59.08,54.1,52.44,62.58,75.39,66.36,65.44,68.94,64.42,56.41,61.01,59.82,67.74,58.62,63.04,48.29,48.57,66.54,66.18,56.04,74.75,63.23,66.82,50.88,60.46,59.82,62.67,57.6,62.76,64.7,51.52,67.83,60.09,59.72,54.19,66.45,60.18,53.82,61.11,57.51,56.96,58.99,55.3,60.83,59.26,60.28,65.07,62.67,61.75,77.51,72.81,63.23,70.78,72.63,69.4,65.62,77.79,78.34,73.73,81.75,76.96,69.49,76.22,81.66,79.91,66.45,71.71,71.06,72.17,66.18,77.7,66.54,64.15,69.86,68.85,72.72,67.1,75.21,69.4,57.51,54.65,64.06,63.78,64.98,76.04,69.49,64.98,70.78,65.35,78.43,78.99,87.37
"418","city","Greensboro","walking","","North Carolina","United States",100,104.37,96.51,97.84,125.58,114.35,80.54,83.01,89.29,88.51,86.29,110.31,138.43,74.54,78.5,90.34,82.23,90.23,104.24,120.77,72.7,85.98,88.36,87.88,78.81,113.97,123.27,76,85.17,82.15,90.85,97.81,144.47,136.71,79.58,90.8,92.36,86.25,78.21,119.23,152.37,83.38,84.29,94.17,95.37,107.29,126.39,154.95,110.82,90.21,90.18,88.04,92.83,105.73,116.07,83.15,96.25,101.28,121.68,99.3,111.41,117.07,63.92,78.37,72.27,69.12,70.48,80.85,63.78,46.59,54.56,55.94,63.99,52.65,62.54,55.19,47.03,53.75,48.54,51.74,53.44,64.48,53.93,44.17,58.88,56.44,58.52,59.15,62.06,59.1,33.98,56.26,59.22,62.93,65.17,73,67.23,49.56,62.59,66.85,70.89,56.12,73.92,63.42,51.2,67.19,71.31,69.67,70.84,78.08,78.33,58.33,72.65,72.02,77.64,77.59,87.2,89.76,65.82,NA,NA,83.85,95.37,104.24,108.58,78.4,87,87.08,88.92,91.89,121.32,111.52,82.16,81.53,109.33,100.7,110.27,120.84,135.9,93.07,100.73,100.62,108.99,113.68,127.13,119.26,118.11,112.32,116.65,116.57,118.48,140.88,133.07,90.88,100.26,100.42,104.27,112.58,134.92,132.54,90.75,114.85,125.11,128.77,124.88,143.8,135.69,97.61,120.51,119.07,123.55,129.26,130.92,101.41,88.75,122.56,121.86,128.66,127.46,141.84,142.65,99.35,130.77,127.59,132.07,135.57,141.95,141.33,94.95,123,117.54,130.93,123.32,146.04,144.63,105.5,122.51,129.73,127.05,129,143.85,147.86,99.61,124.36,134.84,129.28,132.41,167.77,165.61,134.5,148.1,145.83,172.4,167.43,207.95,226.03,190.47,196.22,211.08,197.06,190.2,200.52,198.98,138.98,170.09,163.97,160.86,160.16,189.44,187.63,121.84,141.22,159.02,159.88,158.29,185.96,182.62,126.94,125.28,144.26,141.33,146.98,182.73,186.4,133.54,147.78,151.04,156.91,148.47,188.87
"729","city","Raleigh","driving","","North Carolina","United States",100,105.14,107.45,111.87,129.73,118.59,89.02,101.44,103.61,105.09,108.78,122.53,123.3,84.3,101.12,103.26,105.62,107.7,124.35,120.61,84.06,99.76,103.95,105.43,100.13,123.85,119.32,89.53,105.89,109.18,109.94,118,149.18,132.62,94.87,111.92,112.19,112.91,92.49,102.35,126.55,92.46,105.63,114.7,117.41,124.34,142.59,140.24,97.7,111.28,116.81,115.8,119.27,140.85,133.74,93.4,112.78,112.02,112.27,111.61,114.31,102.04,67.55,81.48,76.07,72.75,73.14,80.01,62.06,46.69,56.22,59.47,59.52,60.54,63.8,52.54,42.9,55.4,53.33,55.35,57.88,65.57,56.46,45.32,57.92,59.5,60.89,63.83,67.54,59.83,37.61,55.67,64.39,65.2,69.39,78.79,68.02,53.92,61.7,70.5,72.12,67.38,82.23,74.69,58.87,71.56,75.43,76.49,71.29,88.62,82,66.35,78.72,78.04,81.83,86.44,96.16,93.64,68.59,NA,NA,91.45,96.53,111.71,103.72,81.08,92.57,90.33,88.46,92.24,117.8,109.57,82.55,86.09,104.98,100.27,104.5,115.75,119.84,92.31,105.19,104.95,107.75,113.65,125.21,120.67,95.2,112.46,115.19,116.94,113.74,136.04,129.29,97.84,103.6,106.65,113.06,121.68,136.39,127.36,93.31,120.05,121.91,125.57,126.76,141.4,131.91,100.14,120.59,123.12,126.19,132.03,126.46,93.37,90.64,119.25,118.75,121.81,127.63,142.97,133.88,101.81,122.75,125.23,128.81,130.98,142.59,134.61,104.23,123,124.98,127.3,126.43,145.07,137.58,105.61,126.15,127.22,129.95,133.7,145.63,138.19,107.73,118.47,129.01,135.13,136.63,155.07,151.12,118.52,131.91,133.05,135.44,135.12,153.74,138.92,108.61,123.46,125.39,125.72,131.18,146.24,141.67,106.36,118.73,121.84,125.21,128.12,144.49,131.54,105.57,118.7,124.66,127.42,135.56,154.87,134.68,104.32,104.98,123.04,121,127.96,146.35,142.69,106.98,120.07,126.44,133.87,118.75,146.4
"730","city","Raleigh","transit","","North Carolina","United States",100,102.95,106.67,102.47,110.76,94.13,84.87,94.22,97.01,98.1,101.7,104,106.43,81.23,103.32,103.92,89.85,92.23,107.24,99.39,79.69,100.04,95.91,109.95,98.1,104.37,94.46,87.58,103.24,99.03,106.35,108.45,115.49,105.66,88.83,101.5,108.13,103.32,85.68,100.32,97.05,88.35,101.98,103.03,94.78,103.92,111.29,101.09,92.03,96.6,97.09,94.3,101.33,111.57,105.34,80.02,101.21,89.32,92.8,92.35,89.52,76.82,65.29,69.82,66.59,59.06,64.72,63.27,51.09,40.45,47.41,49.64,46.28,43.81,47.25,47.94,47.09,50.24,43.89,47.21,45.39,47.82,41.26,36.89,44.66,44.98,43.57,43.28,42.8,38.83,31.03,39.77,44.78,45.67,46.04,44.46,45.51,38.59,41.26,47.25,45.75,44.09,49.88,48.06,41.99,51.66,46.6,50.61,41.71,52.35,49.23,51.42,54.41,49.19,52.63,53.36,57,57.32,43.57,NA,NA,46.52,53.16,53.84,56.11,50.32,52.79,48.71,46.64,49.96,57.52,59.39,55.62,54.21,60.84,54.33,60.44,57,62.1,59.1,55.58,59.22,59.63,62.86,61.41,62.66,58.17,60.44,64.77,66.91,57.97,68.93,72.25,57.52,56.96,52.35,58.66,63.11,69.78,65.17,55.02,67.72,71.28,70.51,72.33,72.82,74.64,55.87,68.69,68.49,67.07,74.56,65.94,56.76,55.5,71.08,66.3,68.45,72.25,79.09,73.83,63.23,75.53,71.89,78.56,69.01,71.72,72.57,59.22,70.71,73.87,68.61,64.12,69.42,75.16,60.68,71.84,70.63,68,71.72,72.21,76.66,63.23,68.2,71.8,76.42,72.65,82.61,84.14,70.95,88.19,78.03,81.11,80.1,80.1,82.44,67.56,71.48,71.84,67.39,70.19,71.04,76.46,63.43,70.91,72.98,73.58,72.01,78.92,65.82,60.56,68.69,71.97,73.95,76.58,74.64,75,64.6,69.3,75.65,69.05,68.16,78.16,74.03,66.42,70.11,67.11,78.32,76.54,84.39
"731","city","Raleigh","walking","","North Carolina","United States",100,111.42,111.78,112.99,139.42,169.3,110.91,104.6,102.43,105.21,106.57,137.15,182.5,98.77,97.81,102.27,106.54,104.26,119.77,161.59,88.26,97.83,102.86,101.94,88.3,137.49,149.97,94.48,99.43,103.99,107.93,115.02,172.62,184.1,107.87,116.4,115.91,102.84,90.84,120.32,177.51,101.59,96.63,112.05,113.7,116.43,154.27,189.68,108.48,106.45,111.35,113.17,117.49,147,172.91,104.79,109.97,103,110.39,112.12,116.26,133.55,72.42,79.72,77.54,74.03,76.48,78.98,66.2,48.96,55.12,58.34,59.3,62.38,66.62,63.47,55.02,63.07,50.76,57.51,65.63,71.96,67.59,55.24,63.3,63.81,65.3,67.92,69.75,69.56,42.04,60.25,70.17,64.55,70.31,81.88,71.52,58.94,59.97,74.5,73.39,61.29,80.77,76.16,61.72,72.55,77.26,75.2,67.63,86.53,90.06,71.41,80.65,76.79,83.63,87.82,92.89,98.71,68.63,NA,NA,97.3,100,117.99,114.1,88.92,97.35,94.28,87.85,93.17,128.86,122.89,89.75,96.33,119.33,102.02,113.88,123.27,182,119.99,118.23,122.32,120.12,123.94,132.05,137.7,106.87,118.59,125.07,125.57,115.66,147.11,151.53,108.76,101.83,106.16,121.16,132.67,150.71,148.28,97.19,133.41,131.15,137.46,135.6,158.78,151.12,107.33,134.14,131.51,137.09,140.72,141.89,105.95,96.47,128.57,130.13,127.95,141.77,163.01,156.16,111.63,133.31,136.26,135,141.65,152.16,152.26,109.06,133.87,140.19,141.02,131.96,152.33,163.03,111.98,139.85,132.92,139.44,145.53,165.07,171.07,124.6,139.63,164.49,170.56,167.73,209.37,222.89,161.05,197.76,190.96,179.68,177.25,198.16,185.05,131.67,153.48,163.19,150.76,159.56,173.17,181.24,123.83,138.39,143.14,146,147.96,174.97,165.71,120.94,127.45,143.64,141.39,148.59,175.63,171.41,126.17,121.25,139.83,127.4,142.91,162.39,180.82,121.79,132.45,142.17,150.56,131.25,167.73
"2079","county","Alamance County","driving","","North Carolina","United States",100,99.5,101.81,107.17,131.65,120.99,94.09,105.93,104.03,98.89,106.49,124.14,127.53,87.61,93.35,96.85,97.43,102.56,116.5,122.63,90.54,98.77,100.49,103.23,92.08,131.01,135.29,103.48,101.87,102.24,103.26,111.67,149.88,141.39,106.32,109.65,108.03,110.29,95.77,120.23,139.31,103.63,101.88,109.29,115.43,121.48,150.57,160.23,115.92,110.35,115.43,116.35,127.41,162.52,157.71,112.79,116.59,114.51,119.89,121.17,132.52,119,83.32,91.41,84.23,84.89,87.57,96.78,84.94,60.24,68.62,71.49,71.87,73.7,81.8,70.31,58.39,70.13,63.04,64.99,72.27,81.35,73.75,59.78,71.31,73.1,76.29,80.11,85.29,77.01,48.56,74.32,81.58,84.37,88.97,102.66,89.84,71.58,82.19,88.51,91.34,83.75,107.67,92.96,76.5,91.48,95.73,98.77,97.38,112.72,106.99,85.43,100.83,94.83,102.2,113.17,118.99,126.11,90.39,NA,NA,115.67,122.57,138.86,133.05,103.31,116.42,112.89,116.55,120.42,150.41,145.63,107.01,110.36,129.73,122.35,129.98,142.07,150.03,113.34,126.96,126.26,130.99,132.81,155.96,154.25,120.83,132.16,147.97,130.35,134.91,163.6,160.58,122.77,126.82,119.72,126.47,137.81,155.99,156.58,122.58,143.66,139.35,143.66,149.51,171.91,170.54,130.15,145.09,145.57,151.97,160.05,166.47,126.38,128.58,148.27,142.63,145.25,155.02,181.53,180.25,131.79,141.52,148.94,149.55,153.85,171.84,166.26,132.7,145.09,145.38,145.65,149.01,169.44,171.37,135.45,151.22,150.35,148.32,156.95,172.97,173.46,133.89,141.86,149.13,153.01,155.19,178.41,177.8,146.17,149.03,155.3,159.72,168.58,204.21,194.6,151.25,158.83,162.14,151.04,153.02,182.63,179.68,139.3,144.76,146.36,146.46,154.01,178.36,169.11,136.53,137.59,145.75,148.71,160.76,197.57,186.56,141.62,141.34,148.41,142.14,154.56,193.99,179.27,140.11,145.31,149.78,148.82,141.4,176.43
