"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18"
"159","city","Akron","driving","","Ohio","United States",100,103.06,107.5,106.14,123.62,105.99,82.68,94.99,97.36,100.18,102.92,120.65,119.77,78.16,93.02,96.99,97.29,103.14,121.16,119,79.54,97.03,99.8,97.85,104.75,115.14,111.85,82.97,98.61,103.09,103.82,106.92,132.26,121.77,91.15,101.21,101.87,108.25,106.5,129.78,128.48,88.56,101.07,106.25,107.82,108.36,129.28,127.7,91.46,107.46,111.38,111.55,119.94,133.31,134.39,98.89,109,107.88,108.33,101.91,109.41,99.23,71.34,79.93,73.77,70.88,70.5,76.35,62.26,51.87,58.65,51.41,57.88,62.39,69.75,54,51.98,57.49,60.24,63.18,66,74.11,71.11,50.17,68.37,64.03,73.37,68.02,73.04,72.95,42.29,62.67,70.4,73.55,76.63,76.75,82.45,65.1,82.4,75.77,78.08,81.02,94.79,91.99,59.74,86.73,84.76,83.55,85.68,100.92,100.14,82.59,90.53,93.36,95.83,100.84,107.44,101.5,77.35,NA,NA,113.08,107.55,123.3,127.77,94.21,108.57,119.76,123.5,129.05,135.56,130.72,104.99,96.83,131,132.81,132.11,140.36,141.58,110.3,129.51,134.49,134.03,135.91,159.94,152.08,119.03,141.28,144.95,141.2,151.45,168.39,159.2,126.25,144.03,149.72,151.97,155.93,179.54,165.97,113.49,133.85,143.22,154.92,160.25,174.91,160.52,136.06,153.2,157.86,165.36,170.02,166.93,127.6,120.75,151.03,150.85,155.84,158.3,172.83,159.55,127.63,148.08,154.76,154.77,155.15,179.55,163.35,123.98,145.7,152.94,146.37,154.16,176.56,165.04,132.1,143.73,154.5,156.93,161.31,171.12,150.96,116.95,147.48,148.57,157.46,159.12,177.5,168.17,133,150.64,154.3,156.01,161.1,178.7,165.92,128.46,151.29,160.98,164.77,171.46,188.38,182.03,140.22,155.09,179.46,154.79,153.9,169.35,166.39,129.42,145.4,152.94,148.42,158.93,186.38,175.44,135.67,110.01,147.74,155.31,154.76,182.26,177.06,122.8,143.12,147.98,151.71,155.39,179.76
"160","city","Akron","transit","","Ohio","United States",100,106.69,103.75,100.22,89.04,74.85,56.99,75.59,102.35,99.63,95.29,89.56,79.49,50.96,85.22,82.21,82.57,85.66,97.65,74.63,59.85,92.06,81.76,80.29,92.35,84.56,72.43,58.24,104.63,101.1,102.5,101.84,89.71,61.84,65.81,98.9,93.16,91.32,93.46,96.69,73.38,56.03,98.24,90.44,85.88,88.24,84.26,74.49,64.12,91.91,89.34,88.31,99.04,96.99,80.88,58.68,97.06,78.68,87.5,80.81,78.16,61.25,46.25,60.96,56.69,52.72,55.88,55.37,45.37,39.26,44.85,36.47,45.88,47.94,49.93,36.76,35.37,49.56,49.41,40,48.31,48.6,50.59,33.6,45.37,42.79,43.75,41.47,42.5,35.96,23.75,34.78,39.19,39.78,41.47,32.13,31.62,31.84,47.06,37.57,40.96,35.51,44.34,43.38,24.34,37.79,43.31,42.35,38.9,42.13,41.76,39.26,45.22,46.1,44.19,43.82,43.68,35.07,28.16,NA,NA,45.96,41.84,44.56,45.37,30.88,45,43.75,47.5,46.99,51.1,54.41,35.74,36.99,63.09,60.96,55.51,59.41,53.16,34.85,58.09,59.19,57.21,53.01,55.29,58.09,45.81,67.43,69.04,58.82,57.35,58.68,59.93,43.97,54.04,59.41,59.56,65.07,60.29,56.54,42.79,55.51,64.85,60.51,57.35,60.96,47.28,38.75,56.18,63.16,60.74,59.71,58.01,35.66,38.68,59.49,56.4,61.32,56.99,56.62,51.18,41.25,58.01,52.87,54.78,58.16,58.01,48.75,39.71,44.34,53.31,43.09,56.4,51.54,49.85,42.79,60.29,60.29,52.72,50.66,54.78,51.47,33.53,56.54,45.22,55.59,50.66,55.07,49.71,40.74,58.09,61.32,52.43,57.5,54.78,50.15,33.01,55.96,56.84,56.1,58.97,56.1,53.01,51.99,63.9,62.57,57.35,58.82,51.91,55.15,42.28,63.46,55.44,61.54,52.94,53.53,51.62,41.99,34.19,55.81,57.28,58.46,58.6,52.87,39.71,56.84,54.34,56.62,66.76,69.63
"161","city","Akron","walking","","Ohio","United States",100,97.23,79.05,74.77,89.55,88.39,49.3,56.29,66.39,64.08,68.76,91.98,94.18,45.03,60.77,66.22,62.18,69.46,83.78,86.98,51.28,71.72,64.85,62.64,65.38,70.04,83.8,47.84,57.74,70.02,71.33,70.44,90.05,88.8,56.53,66.32,69.17,66.34,65.28,87.02,106.2,54.42,66.46,69.54,67.42,63.45,82.43,91.92,57.91,64.87,68.47,69.41,83.73,86.04,100.63,70.08,77.01,72.06,73.96,64.97,75.03,105.22,47.23,52.89,50.86,50.03,50.22,53.75,42,37.8,38.54,39.93,50.38,46.81,51.11,38.76,43.32,37.94,42.17,47.38,46.9,55.76,53.6,36.64,56.42,51.01,57.83,47.19,54.23,50.65,34.17,42.96,48.1,49.62,52.43,48.68,56.05,44.79,62.8,50.1,54.42,52.86,65.13,67.75,38.04,64.06,58.38,61.29,54.11,68.33,68.91,57.78,63.05,68.81,66.07,71.67,66.94,67.06,50.67,NA,NA,93.1,79.99,93.46,99.61,83.86,86.9,94.93,94.67,100.19,108.84,106.54,84.12,72.99,104.32,109.56,108.05,108.22,108.62,83.56,101.71,107.66,102.16,106.63,126.82,125.52,93.22,107.09,107.42,110.12,120.67,131.93,118.09,90.34,107.23,111.48,106.99,117.32,137.05,120.26,81.14,102.76,107.13,118.74,124.25,138.56,118.74,96.54,118.86,122.27,126.81,127.15,128.35,102.6,88.32,115.36,117.45,116.84,120.33,132.2,115.31,93.83,127.27,124.94,120.59,121,135.78,117.64,85.32,112.47,112.62,112.86,118.89,144.18,132.48,102.36,109.01,124.94,120.3,116.97,134.69,118.04,93.88,114.89,115.93,129.45,127.06,142.07,129.24,93.44,118.53,122.11,123.79,129.98,145.24,129.94,107.01,126.38,131.35,148.8,165.96,192.82,194.26,143.03,177.83,171.29,150.69,148.15,157.49,172.11,116,136.4,135.32,137.36,143.87,165.93,151.47,106.49,80.85,121.99,123.45,127.83,152.36,154.64,98.27,118.31,119.49,130.82,124.85,147.02
"304","city","Cincinnati","driving","","Ohio","United States",100,104.86,104.35,106.22,124.17,112.85,83.18,95.03,102.99,101.94,104.78,126.14,114.47,78.77,92.44,99.29,100.38,105.36,121.4,117.2,79.76,96.26,108.7,100.97,105.62,116.34,111.07,82.18,99.64,106.42,109.56,117.19,136.47,128.03,91.63,102.95,106.42,108.71,112.34,134.44,134.16,89.92,101.04,112.15,112.91,112.7,142.95,138.43,96.07,104.03,112.65,116.24,119.49,137.23,137.72,97.45,122.44,111.84,110.37,103.78,111.78,89.56,64.72,75.95,72.26,68.24,67.16,75.88,60.54,46.36,58.62,51.18,57,58.36,63.22,56.29,47.75,57.76,56.82,58.02,62.22,71.32,60.87,46,60.63,63.5,65.76,67.94,74.48,66.36,41.63,60.55,66.12,71.11,75.9,76.61,76.79,58.42,75.65,75.52,79.81,78.57,90.36,77.71,57.86,80.21,83.49,77.61,83.27,101.89,94.27,65.78,90.62,86.11,92.08,98.65,101.46,101.06,72.83,NA,NA,103.62,110.25,121,113.32,89.78,103.4,112.89,114.73,118.1,139.89,119.76,96.66,96.49,124.34,125.94,132.45,144.09,136.46,106.58,124.23,125.59,130.36,129.98,151.23,141.35,113.48,129.36,131.83,133.94,144.01,161.15,147.65,116.6,133.58,142.1,145.49,148.49,169.22,154.34,109.1,135.78,146.95,151.87,159.96,176.14,157.53,123.71,143.18,149.18,156.97,167.53,156.29,121.71,113.99,144.98,150.44,150.73,156.57,174.75,155.85,121.12,143.31,148.5,151.61,153.94,173.53,166.58,121.54,140.98,145.25,143.76,150.79,176.34,160.4,125.59,137.16,146.77,150.18,150.05,163.62,148.39,121.15,142.49,148.19,152.61,156.51,176.87,164.31,129.43,142.06,146.92,152.41,157.55,174.65,165.16,127.34,144.02,143.35,152.21,158.08,177.42,163.23,124.17,139.97,140.04,142.76,142.65,164.48,159.69,122.01,131.28,138.94,139.59,147.5,188.56,160.44,126.63,116.31,136.98,143.37,147.66,169.71,169.99,118.36,134.05,138.26,139.84,149.86,173.57
"305","city","Cincinnati","transit","","Ohio","United States",100,103.46,94.33,95.09,99.97,90.46,75.3,84.75,100.86,100.24,101.36,102.19,90.22,72.7,93.88,101.71,97.04,98.26,104.67,92.58,74.44,97.58,94.92,95.18,91.7,100.06,87.2,77.66,96.93,100.27,95.48,98.52,102.93,97.37,82.48,101.71,99.11,101.54,94.98,104.88,104.43,88.21,95.27,95.72,99.73,96.63,110.11,115.19,87.85,95.27,107.57,97.58,100.65,102.42,109.57,77.66,103.66,97.87,95.04,87.32,93.41,73.46,65.54,71.6,65.54,59.34,55.41,61.5,54.96,45.66,57.54,50.68,56.65,57.18,56.44,51.8,57.09,60.49,52.07,55.88,61.97,60.46,54.91,45.24,62.12,61.05,64.15,58.39,54.43,51.06,42.35,51.3,54.88,49.85,50.86,49.44,49.44,47.02,55.41,52.39,53.49,48.46,54.2,43.68,44.86,55.88,61.85,51.33,51.39,57.15,54.34,42.46,55.14,52.16,61.55,65.69,56.5,51.21,43.68,NA,NA,59.66,62.59,64.24,61.94,64.6,66.34,65.81,61.58,62.91,72.31,66.49,58.87,62.97,75.95,81.86,74.73,77.78,71.22,65.51,74.41,72.02,77.3,74.41,89.72,68.56,67.02,81.68,79.61,79.82,80.38,86.64,76.65,65.37,80.29,82.33,77.39,77.96,87.03,80.7,63.65,81.18,82.77,79.93,86.64,84.16,76.65,68.17,81.68,86.7,82.21,84.22,84.22,73.4,69.33,89.18,81.09,84.75,87.47,90.99,88.5,66.9,82.74,84.1,83.95,84.01,94.24,84.34,66.22,82.09,84.84,72.87,82.15,89.63,82.33,68.44,79.91,83.48,78.01,78.75,77.9,78.72,66.84,79.79,83.16,82.36,77.28,87.5,81.65,70.12,81.32,75.35,81.41,83.04,86.44,82.95,71.13,89.27,80.29,83.16,84.4,84.66,76.06,66.87,78.04,78.1,78.22,76.45,84.37,75.74,70.95,75.21,78.07,76.83,74.47,88.15,84.04,69.44,73.85,80.67,78.84,79.37,81.8,79.88,64.3,71.66,74.97,78.66,82.18,85.73
"306","city","Cincinnati","walking","","Ohio","United States",100,101.93,93.66,96.21,126.89,151.72,82.08,83.33,90.45,88.45,92.57,122.26,139.32,75.85,78.08,85.43,89.3,101.82,126.65,147.13,83.75,85.34,84.75,85.33,92.13,115.49,130.9,81.15,83.94,90.64,88,100.19,145.71,177.02,101.33,90.54,90.09,101.36,97.75,143.06,177.85,87.25,81.76,98.06,92.48,95.49,136.37,179.86,102.31,88.28,104.2,106.84,109.59,137.06,194.96,108.26,96.73,97.2,95.06,92.58,110.4,99.07,62.48,69.47,70.17,58.81,60.34,71.36,57.69,46.71,57.33,53.13,65.91,61.32,64.52,62.77,61.29,64.88,56.14,60.33,65,79.1,69.02,52.96,65.91,69.27,72.76,67.98,74.82,70.87,49.91,57.01,65.88,65.46,69.69,70.3,81.32,60.44,80.8,75.23,80.39,68.05,88.26,78.94,56.17,82.56,84.68,69.39,79.44,100.25,100.4,62.99,95.09,80.84,93.15,99.61,93.79,100.67,70.68,NA,NA,105.29,117.06,123.31,125.15,107.35,102.99,108.16,125.87,125.08,161.9,136.13,113.11,111.47,135.37,139.43,146.77,154.84,154.73,134.47,145.73,133.94,139.55,133.73,156.26,153.7,135.22,131.47,137.77,138.03,149.5,176.22,169.88,126.88,136.04,142.42,145.11,144.71,183.23,180.22,111.59,139.26,144.54,155.85,161.68,183.47,177.46,132.66,140.52,147.87,156.73,163.52,173.91,140.21,122.5,137.09,150.58,145.61,151.98,186.28,179.43,133.87,151.49,151.09,153.13,154.89,188.89,186.16,124.47,140.7,146.54,144.28,151.6,191.88,188.15,138.28,139.46,156.06,155.16,147.21,175.95,169.92,136.17,146.24,156.85,163.26,167.1,196.77,205.41,142.72,142.63,148.47,160.02,169.45,194.28,213.77,153.87,166.66,159.65,185.36,190.45,236.2,241.94,156.84,164.13,157.43,163.58,164.16,200.92,216.01,140.57,140.54,153.59,149.94,159.53,206.03,220.7,163.14,125.23,145.35,146.98,159.9,192.96,215.78,137.36,145.54,147.14,153.42,164.16,202.01
"307","city","Cleveland","driving","","Ohio","United States",100,104.64,106.7,106.88,125.8,109.55,83.52,97.06,101.47,102.5,106.83,125.44,126.81,82.84,94.72,101.38,101.65,105.97,123.71,124.77,83.55,97.58,102.14,101.66,103.88,119.64,119.84,88.6,101.03,108.45,107.18,111.17,138.39,130.64,97.74,105.32,105.52,107.45,109.39,134.01,137.73,97.79,102.15,109.15,110.93,113.13,132.58,137,97.97,106.14,110.88,113.89,121.95,136.16,141.22,102.14,109.53,108.85,108.71,104.51,113.76,100.56,71.16,81.41,77.12,72.44,72.32,78.69,65.97,52.6,59.66,52.53,58.38,63.09,66.62,55.86,52.11,58.32,61.14,63.38,66.97,76.38,72.06,50.02,65.87,63.32,70.1,66.42,76.01,76.9,44.98,62.22,68.67,73.61,75.62,77.17,81.85,64.59,81.34,74.29,76.87,82.1,93.15,91.34,61.34,84.83,85.62,83.3,85.63,102.85,103.25,83.91,88.74,93.6,95.65,102.69,106.1,103.77,78.09,NA,NA,111.5,106.06,125.82,132.98,94.05,106.85,117.97,125.03,132.86,136.93,140.08,112.63,102.4,132.94,136.47,136.1,145.33,150.9,112.35,134.81,137.38,137.02,142.63,163.3,159.69,122.42,139.61,148.06,144.36,156.45,173.91,165.45,129.3,144.84,155.48,156.62,162.66,185.37,180.25,122.5,142.04,149.47,160.94,166.18,183.88,171.38,141.3,156.86,163.68,170.01,178.4,178.05,139.72,127.42,153.44,158.75,163.16,166.8,177.66,168.23,137.39,153.89,162.8,162.37,162.16,184.58,178.19,131.05,152.41,158.43,153.65,160.88,186.03,177.5,137.58,145.71,159.97,161.16,165.16,177.54,162.52,123.49,148.01,152.84,161.75,169.86,187.25,179.5,141.69,154.21,158.79,161.56,167.73,184.28,175.25,128.41,150.88,158.35,161.57,167.86,184.87,177.43,133.65,146.61,151.91,147.89,156.54,160.13,164.28,128.09,142.89,149.11,145.83,159.32,183.27,173.46,137,101.64,143.07,148.19,151.58,174.7,176.41,122.09,137.96,145.59,149.27,158.21,178.11
"308","city","Cleveland","transit","","Ohio","United States",100,99.44,96.41,97.21,99.47,72.99,57.55,78.74,98.24,95.17,90.93,96.43,73.91,59.99,95,99.74,93,96.35,101.19,79.81,67.78,98.97,101.03,96.4,95.95,93.05,75.48,66.59,98.69,100.65,97.89,99.11,99.04,78.49,65.76,94.32,100.77,103.65,95.59,100.89,81.26,69.56,99.42,100.64,95.93,88.38,97.33,80.53,66.8,98.53,105.43,98.72,101.51,101.55,80.31,67.84,96.3,97.46,90.09,87.77,90.97,65.62,53.16,68.99,61.88,57.09,53.6,57.97,41.01,40.44,44.18,43.76,43.84,43.39,42.82,36.3,36.95,40.47,42.45,43.19,43.36,44.81,39.22,34.86,42.14,41.06,42.43,40.47,40.21,39.9,34.05,41.26,42.26,36.04,39.37,38.02,37.04,32.8,47.19,39.5,39.13,41.32,43.12,42.1,33.82,43.25,42.94,41.6,43.48,47.54,44.4,41.64,47.72,47.01,46.97,46.54,45.79,43.66,38.77,NA,NA,50.16,47.29,47.53,50.29,40.56,51.19,49.16,50.01,54.37,54.69,51.77,46.5,52.66,58.58,59.97,54.76,58.49,56.24,45.43,57.44,58.3,56.8,59.63,65.02,57.85,50.9,61.82,60.28,62.9,62.01,64.16,61.39,49.81,60.75,63.48,58.93,59,64.85,60.24,49.3,60.3,57.8,63.39,65.31,66.79,60.39,57.84,68.83,65.98,66.11,67.66,67.05,52.68,52.23,63.78,68.38,66.74,66.32,64.28,55.78,51.83,61.41,62.24,59.97,63.15,65.37,58.02,49.94,65.98,65.26,60.84,64.59,66.71,59.23,50.1,59.81,65.17,65.05,61.29,63.31,51.42,46.38,59.69,58.45,62.47,59.06,61.56,56.71,50.47,63.64,61.9,62.9,61.82,65.4,58.63,48.21,62.45,65.43,60.95,62.94,64.87,61.33,54.93,65.42,62.69,61.71,63.25,56.68,54.8,52.19,61.24,62.7,61.06,64.47,67.47,59.2,51.09,46.85,61.87,64.19,63.46,66.88,60.41,49.91,62.1,66.16,68.38,65.01,71.01
"309","city","Cleveland","walking","","Ohio","United States",100,108.16,106.3,99.08,138.42,139.25,81.58,97.68,96.25,97.42,103.92,136.64,173.06,83.67,90.82,105.63,104.04,106.22,129.3,156.78,88.8,103.8,97.85,97.04,97.64,120.23,149.73,93.07,98.2,105.55,109.98,106.68,147.89,164.37,106.7,108.79,100.42,105.93,107.19,144.47,186.03,103.67,104.45,102.09,108.87,101.63,133.77,172.76,100.05,102.52,110.17,116.12,125.92,146.63,186.32,120.21,117.66,113.19,109.73,111.5,119.79,117.23,78.62,90.45,84.47,76.52,80.65,88.48,69.3,60.87,66.1,62.53,75.1,81.88,76.35,64.17,67.55,63.49,70.98,73.9,83.55,90.02,89.75,59.5,80.84,76.92,85.64,75.47,83.42,92.79,56.33,69.32,74.17,76.27,80.39,81.09,88.89,77.01,94.86,79.81,76.98,87.25,98.64,106.95,67.3,98.46,95.97,91.57,90.8,110.42,118.49,102.29,99.88,101.3,106.15,115.11,106.8,107.21,82.97,NA,NA,130.46,116.47,144.02,165.73,120.42,121.77,142.18,150.73,161.45,160.48,179.23,151.2,130.92,166.04,175.29,165.09,174.31,208.11,135.66,159.67,165.28,166.17,164.57,193.82,209.87,147.5,168.66,168.24,167.56,183.68,214.85,208.59,153.87,165.07,183.31,183.61,185.91,222.48,229.4,140.87,160.52,173.18,190.99,197,220.86,223.06,176.96,188.63,197.3,202.91,209.78,222.85,182.96,158.75,182.02,190.63,187.89,198.1,215,210.15,165.57,187.72,198.56,191.09,193.85,225.7,229.68,154.99,182.73,194.7,186.47,194.31,230.14,224.91,171.17,171.14,199.42,194.39,194.25,219.57,198.18,144.27,175.03,181.18,196.34,200.55,230.55,239.82,172.07,177.11,187.57,194.04,205.62,223.69,228.93,158.99,186.17,197.08,207.65,217.31,241.26,237.95,176.63,190.89,193.15,181.02,191.55,197.2,219,161.8,178.23,184.01,178.32,193.06,230.43,233.68,172.36,119.63,172.15,173.24,180.5,212.13,229.78,150.07,159.86,172.66,176.98,192.25,217.64
"318","city","Columbus","driving","","Ohio","United States",100,105.2,107.01,108.17,124.56,111.36,84.67,96.89,102.56,104.35,107.18,125.51,117.59,81.19,95.05,110.39,102.39,110.07,129.18,124.96,87.57,98.34,105.7,102.85,107.99,118.62,114.5,88.69,104.56,106.97,119.63,117.95,140.81,129.83,96.21,105.68,107.03,110.14,115.09,133.53,136.93,95.5,101.62,111.19,115.21,114.01,134.61,135.71,101.51,105.25,112.48,116.4,121.88,136.9,134.65,99.64,107.87,106.23,105.44,101.42,108.92,89.36,67.73,76.51,72.94,68.93,66.3,80.97,61.96,50,59.08,50.18,56.64,59.29,61.57,52.55,48.09,55.45,56.41,58.64,62.48,70.16,63.79,45.49,62.74,59.06,65.09,63.18,72.41,66.17,42.03,59.37,64.33,69.29,71.06,73.93,75.31,59.78,74.9,72,74.71,73.3,87.09,79.23,56.62,78.65,77.9,75.57,80.3,94.27,91.92,69.72,87.4,84.84,88.05,94.68,98.06,95.58,71.33,NA,NA,102.69,98.67,116.8,118.97,94.19,99.21,109.92,111.54,111.29,131.84,122.93,100.85,95.41,122.69,126.02,127.9,136.73,130.89,104.82,122.32,129.69,124.23,124.21,147.78,138.05,112.14,129.47,132.92,129.54,140.02,157.35,142.35,115.68,131.5,139.84,138.82,142.12,164.05,152.18,109.94,133.79,136.89,144.52,151.36,166.94,150.53,121.66,140.25,145.6,150.52,158.36,149.49,115.75,111.38,137.43,142.43,146.19,152.02,165.53,158.63,119.1,139.04,145.65,146.3,147.46,168,153.54,120.89,138.7,141.67,138.84,144.72,166.3,156.19,126.35,135.69,143.15,145.89,147.33,167.55,151.49,118.12,138.06,142.12,146.83,150.61,168.62,160.44,129.51,146.55,145.12,149.78,154.42,171.24,166.3,134.69,148.92,150.7,156.74,159.97,179.16,168.85,134.74,142.56,144.13,145.14,146.11,161.54,157.57,126.03,134.07,141.22,139.08,147.21,171.76,157.08,126.66,110.4,140.65,140.28,145.35,166.48,163.79,119.96,134.09,138.8,140.85,147.18,169.81
