"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18"
"168","city","Allentown","driving","","Pennsylvania","United States",100,104.22,106.86,106.58,128.28,77.73,89.03,104.46,102.81,108.32,114.27,124.65,112.62,88.19,95.53,100.64,103.05,105.59,124.22,119.28,81.19,98.57,101.45,100.78,103.06,116.81,119.56,91.09,100.57,105.62,107.71,115.58,141.77,130.57,101.07,112.64,105.17,109.5,114.24,133.37,132.92,97.14,102.16,110.32,110.1,110.79,135.35,132.48,101.95,105.93,110.96,114.02,119.05,136.02,133.36,99.09,109.25,109.48,112.55,104.72,113.82,97.8,73.62,84.02,71.21,75.31,66.52,70.61,58.14,44.26,45.93,53.49,49.9,52.05,59.84,44.89,39.79,50.4,49.5,52.35,52.7,58.92,52.26,44.02,53.94,54.21,54.35,54.74,60.62,55.7,37.26,49.37,58.17,62.79,63.61,68.55,63.52,55.93,61.14,59.1,64.87,65.29,70.73,71.56,49.54,65.85,72.13,69.33,68.47,85,82.09,69.81,77.63,80.84,76.43,88.34,89.03,88.99,72.85,NA,NA,95.83,105.28,111.46,105.45,84.59,98.23,101.38,104.11,112.03,118.65,104.35,94.77,88.92,111.19,113.96,108.76,121.21,119.75,97.01,113.8,116.67,109.36,123.01,136.37,130.49,108.39,127.55,133.44,129.27,131.89,155.6,141.49,114.03,129.97,134.9,135.89,134.31,151.73,139.98,109.91,137.83,140.13,143.85,148.46,167.64,148.05,126.94,144.56,146.32,148.96,163.2,157.46,128.96,122.36,136.41,142.18,143.98,154.92,156.2,158.97,130.45,145.69,148.38,148.19,152.12,168.42,165.18,132,145.73,145.71,144.47,150.98,170.75,168.32,136.02,145.19,147.81,153.13,156.79,165.18,166.1,123.9,147.67,160.61,167.03,163.47,174.17,173.41,141.62,152.47,153.15,155.21,162.1,177.63,167.77,129.84,150.39,155.29,158.46,166.41,181.06,170.26,134.36,143.25,149.59,150,153.61,171.17,154.24,131.68,138.39,143.08,139.77,151.73,180.38,164.25,136.3,124.38,140.86,141.41,141.38,169.21,165.99,123.6,136.08,140.51,144.71,150.11,173.45
"169","city","Allentown","transit","","Pennsylvania","United States",100,110.46,105.54,98.02,108.58,69.07,70.7,96.24,110.26,112.75,101.22,111.99,89.94,78.01,107.72,105.03,110.51,101.22,105.08,82.28,70.7,123.57,110.61,95.07,96.29,113.1,92.94,76.03,116.56,120.92,114.32,117.17,124.07,96.65,86.24,113.86,119.15,116.15,110.61,113.66,104.52,83.09,126,121.43,108.38,105.69,108.33,80.5,85.07,97.77,103.66,108.79,109.09,105.74,91.92,69.38,104.16,110.01,99.75,85.32,92.13,76.13,56.58,79.08,72.88,92.69,51.14,49.31,42.1,38.34,36.16,46.72,38.34,38.45,45.71,29.25,28.49,40.58,34.38,44.24,41.65,35.75,38.09,37.02,43.32,37.07,40.02,39.06,36.11,32.96,32.76,37.33,49.92,40.88,37.23,38.04,37.13,32.91,40.22,38.7,37.48,42.31,36.87,41.44,32.61,43.37,39.66,46.57,50.28,56.73,51.9,38.6,48.15,47.44,49.01,51.9,43.58,45.61,37.99,NA,NA,45.66,54.09,57.29,50.28,44.39,53.02,52.56,49.31,50.94,54.44,48.1,51.75,55.97,60.08,56.02,56.02,63.43,56.83,45.4,64.8,64.04,55.41,57.69,61.76,61.25,51.96,69.27,71.81,58.86,68.05,72.42,63.13,59.83,75.83,65.92,66.12,63.53,70.8,65.62,66.43,78.97,74.1,71.66,78.72,77.96,63.74,62.16,82.43,74.76,74.71,80.5,80.85,74.25,63.84,75.67,76.38,70.49,78.62,71.81,71.2,66.94,78.47,75.22,77.25,78.06,73.84,70.19,62.47,68.26,68.41,73.24,66.99,80.4,78.92,59.88,79.28,72.42,79.18,77.76,80.35,77.09,59.07,82.78,72.57,78.77,76.94,70.8,71.61,68.11,78.87,74.81,81.46,83.85,80.55,71.36,61.4,79.79,75.47,82.12,84.31,85.68,79.53,63.84,84.51,88.98,79.58,76.43,88.93,70.9,68.66,74.71,86.29,78.57,77.3,86.44,75.06,74.5,72.27,88.88,75.77,76.13,88.12,76.43,64.55,80.09,78.21,87.96,91.26,91.32
"170","city","Allentown","walking","","Pennsylvania","United States",100,103.34,114.04,107.49,144.68,103.34,94.88,113.7,110.28,111.75,126.68,147.06,133.03,88.5,98.2,100.71,103.02,105.84,143.27,149.3,96.36,108.16,116.21,101.18,110.49,129.33,149.2,107.41,103.06,110.32,115.44,120,163.78,162.77,114.32,131.62,115.54,117.26,117.96,145,166.05,107.41,110.13,101.03,107.45,112.78,151.98,161.85,128.97,115.59,110.28,118.6,128.58,144.83,159.24,113.34,130.27,114.77,119.18,116.38,130.85,131.49,88.35,100.56,85.98,110.15,74.87,93.41,82.92,59.47,52.86,73.17,62.81,69.15,84.22,55.73,50.8,63.28,60.52,70.28,68.61,71.42,72.02,64.48,73.35,70.28,72.02,73.22,71.44,74.22,57.27,63.52,74.4,78.74,70.84,79.55,73.35,72.49,78.42,64.18,77.09,76.86,77.56,94.43,57.1,75.66,89.12,84.01,78.31,103.7,110.81,93.79,98.07,98.27,83.28,110.08,98.31,102.83,94.16,NA,NA,121.41,121.77,136.57,135.92,117.38,132.5,125.22,127.66,145.56,130.7,122.39,122.44,111.41,145.96,142.18,128.86,147.33,159.62,118.33,148.45,156.56,137.25,167.16,168.25,175.21,131,154.53,159.86,150.29,164.23,187.26,177.56,134.15,145.69,157.44,157.85,151.83,172.08,171.23,135.77,161.87,165.13,175.29,174.57,196.08,182.44,150.91,163.61,161.85,180.97,187.54,201.5,167.42,149.9,159.22,172.75,171.57,179.17,182.7,191.97,155.19,172.92,175.96,172.75,183.73,196.98,200.81,156.73,167.5,170.18,167.91,167.22,205.46,202.27,159.43,174.69,181.07,178.27,189.27,203.23,208.16,151.55,170.13,153.67,185.29,185.31,204.43,206.17,161.61,169.58,170.46,185.51,188.57,223.76,207.04,153.44,180,190.47,208.01,233.98,252.24,232.54,176.71,183.86,201.69,196.96,194.41,226.91,212.76,169.66,178.08,174.07,177.8,193.75,240.83,225.75,176.09,143.85,182.38,180.56,177.26,223.1,224.38,151.04,158.6,180.48,180.58,198.2,226.2
"439","city","Harrisburg","driving","","Pennsylvania","United States",100,104.03,107.44,108.73,125.87,63.68,80.6,99.23,101.73,105.19,106.16,119.97,111.47,80.46,96.67,101.16,103.85,104.64,124.29,125.02,84.13,106.36,107.89,110.47,112.25,124.19,127.32,92.86,99.97,110.85,109.13,114.08,142.05,130.38,98.83,109.15,107.89,107.36,110.21,133.16,128.98,94.65,104.68,105.89,110.59,113.63,136.93,128.07,94.82,106.3,110.38,116.86,120.21,136.88,129.9,94.22,112.35,112.78,111.59,111.28,120.1,95.71,73.21,85.93,71.11,69.89,66.55,70.14,56.47,46.44,48.3,51.86,48.71,54.77,61.3,45.73,38.74,51.17,46.61,48.71,51.41,57.2,48.75,40.66,52.3,52.47,53.28,52.4,57.64,53.98,34.94,49.22,54.67,59.33,58.36,66.2,58.99,50.6,66.13,58.83,68.32,64.18,72.23,66.45,49.95,65.67,68.95,71.35,66.24,84.56,78.95,62.47,77.47,80.86,73.14,84.66,86.82,85.31,69.94,NA,NA,92.97,95.54,109.21,98.66,79.61,96.6,98.83,102.35,110.38,119.92,107.49,87.59,86.53,108.25,114.7,112.39,124.86,121.68,96.1,113.77,111.51,113.11,118.26,130.63,124.83,105.84,122.88,125.11,124.16,132.95,149.81,139.35,111.49,131.24,135.88,137.26,141.04,153.92,142.7,110.74,136.46,142.46,145.01,152.69,168.99,154.41,128.56,144.71,147.78,150.69,158.77,154.55,120.66,119.55,141.26,145.79,152.79,154.41,173.48,162.61,125.25,148.51,148.52,151.75,150.64,171.46,160.4,124.84,142.36,144.64,147.68,154.27,174.42,164.24,131.46,146.7,148.37,154.58,158.99,170.34,164.33,126.82,143.42,138.68,150.96,152.6,174.98,165.36,133.42,151.05,150.34,164.24,157.07,175.63,163.14,132.04,144.91,151.81,153.77,158.76,179.28,165.93,130.24,139.24,140.71,145.89,146.05,166.52,151.74,124.86,129.64,132.32,136.71,143.56,178.58,158.48,129.58,116.29,134.33,135.77,140.37,165.95,160.42,122.05,132.89,136.8,138.76,144.78,172.24
"440","city","Harrisburg","walking","","Pennsylvania","United States",100,97.22,109.4,107.4,130.34,72.2,82.01,95.87,111.77,103.88,100.08,134.22,129.11,80.91,93.5,104.09,98.86,102.98,129.31,133.97,86.63,105.48,99.8,99.75,106.91,122.81,138.72,93.17,101.55,109.81,105.68,110.67,139.33,142.23,95.91,114.15,107.07,103.92,106.09,144.97,149.1,93.95,107.24,99.84,114.1,110.59,134.96,148.57,92.76,118.52,106.38,133.28,119.46,139.13,161.86,98.98,120.69,112.18,113.57,110.18,123.55,114.27,79.97,94.85,79.27,72.32,70.69,77.31,66.84,55.97,54.05,72.69,51.92,63.08,70.44,51.96,49.3,60.43,53.92,59.24,63.12,65.99,59.69,59.65,74.65,64.39,79.48,62.55,70.24,68.4,52.82,57.69,60.14,69.46,67.21,72.12,70.73,64.02,81.81,61.49,72.04,69.01,71.22,73.63,51.59,67.42,75.88,86.79,68.93,91.25,95.83,74.94,85.61,78.9,72.36,101.35,90.15,99.67,79.93,NA,NA,107.32,109.16,134.06,120.36,97.38,114.19,119.34,121.87,135.28,131.32,126.53,101.31,100.49,134.96,144.93,126.21,143.09,153.84,126.7,145.91,138.1,129.48,143.34,131.97,152.78,115.04,142.4,147.14,132.83,159.69,175.55,170.48,128.29,151.8,152.7,156.09,148.77,183.36,168.15,134.26,145.22,159.53,158.83,173.22,191.91,184.1,146.16,164.88,174,173.34,172.77,186.39,176.12,147.1,163.74,173.43,173.47,175.76,193.54,202.9,138.92,172.08,172.16,186.26,177.56,183.52,188.51,130.54,154.87,168.03,174.28,174.69,196.85,198,151.68,166.03,152.21,168.89,173.75,198.28,186.63,159.16,169.58,161.04,176.33,172.77,202.53,205.52,149.59,176.78,168.93,179.48,177.88,198,201.27,155.31,170.61,173.34,181.68,177.6,199.8,201.59,135.81,168.77,162.51,178.99,168.11,192.4,189.98,150.25,158.38,146.69,162.43,157.69,207.4,211.65,158.46,132.83,155.76,166.27,153.97,182.87,196.81,143.42,149.75,158.34,161.24,177.84,204.95
"509","city","Lancaster","driving","","Pennsylvania","United States",100,101.76,105.88,103.14,126.02,86.24,101.16,115.94,101.13,102.03,106.05,127.66,126.86,88.35,92.89,99.91,97.67,99.95,122.35,132.64,79.84,94.67,107.38,108.61,103.94,115.57,128.97,92.12,99.96,102.99,106.62,112.78,152.24,164.83,109.18,117.83,104.84,105.87,107.95,133.8,144.99,97.5,100.27,112.65,106.88,111.12,137.65,149.77,105.81,101.69,105.94,111,115.67,135.8,150.45,99.82,109.52,108.65,111.8,107.52,116.5,103.53,72.52,81.2,68.64,68.47,63.32,64.45,52.14,39.88,43.14,49.73,45.56,55.32,58.27,37.88,34.12,47.29,46.14,49.4,50.41,55.47,47.76,40.16,53.55,54.45,55.42,54.37,58.42,55.78,33.34,47.33,56.72,60.46,63.08,65.69,60.36,50.5,62.67,60.89,66.63,62.9,68.73,70.05,45.15,62.55,70.06,72.34,65.11,83.93,81.22,64.25,76.13,79.58,75.16,85.68,85.4,85.81,67.94,NA,NA,95.66,96.34,111.21,104.87,77.4,94.59,103.1,103.12,108.49,114.66,106,86.24,86.89,111.78,115.23,108.87,120.56,121.23,93.2,110.23,112.95,111.11,118.63,132.05,129.41,101.73,120.57,126.2,125.98,126.68,147.74,137.43,107.29,126.9,134.85,129.9,134.63,148.94,142.68,102.99,131.84,139.33,140.78,144.19,165.52,154.46,122.41,141.89,150.81,148.42,154.03,156,123.16,116.56,135.11,147.41,144.87,155.75,161.28,168.8,128.03,142.88,149.43,151.32,149.77,169.97,172.28,127.61,141.15,148.21,141.58,148.59,173.83,175.75,133.83,148.72,153.86,155.94,156.86,170.88,176.9,129.29,147.01,137.87,158.35,156.48,174.55,188.44,139.59,153.81,153.65,152.96,158.96,183.81,181.21,135.02,150.75,158.75,156.69,163.55,183.72,184.76,135.63,147.3,151.17,150.41,151.96,177.95,179.2,138.65,131.41,139.16,139.81,146.01,184.93,202.31,154.29,127.87,139.38,143.67,144,190.65,189.45,138.14,139.13,146.51,144.8,150.25,177.4
"510","city","Lancaster","walking","","Pennsylvania","United States",100,95.12,103.29,100.99,141.93,135.9,120.67,119.4,105.36,106.7,108.41,147.6,172.87,93.73,91.51,97.5,96.47,100.79,143.28,199.76,81.55,98.73,103.37,116.26,113.13,143.55,169.46,94.45,95.99,108.53,110.12,116.9,193.02,257.52,113.33,119.4,103.17,110.59,107.54,154.5,200.08,116.82,104.6,104.09,115.71,112.18,153.55,195.68,100.99,110.95,106.27,114.88,118.29,159.26,229.95,114.48,127.93,113.69,128.8,110.95,129.51,145.46,80.29,87.86,72.71,72.35,64.58,70.49,63.39,45.82,44.55,58.15,54.54,65.69,69.65,47.92,48,57.2,50.06,53.55,57.56,59.66,56.01,49.7,62.32,66.36,67.59,56.45,63.63,61.29,41.09,55.06,65.81,66.92,64.89,62.4,59.5,60.13,66.24,56.88,69.34,60.49,62.67,71.68,49.27,63.31,73.07,69.14,68.74,92.9,92.5,74.57,75.29,80.17,73.15,91.47,91.59,89.88,72.91,NA,NA,103.25,110.87,119.24,121.1,82.19,106.86,111.7,111.11,121.14,125.51,126.81,100.16,104.56,124.47,134.15,118.52,136.65,150.34,112.18,136.85,141.02,123.56,134.83,144.86,136.65,106.35,137.6,142.96,132.73,129,167.55,154.18,116.86,134.95,148.43,134.99,134.83,161.25,182.15,114.48,136.53,155.57,151.01,157.4,197.14,178.26,140.3,156.29,160.53,154.18,161.68,177.83,135.9,123.17,133.76,161.48,147.6,161.44,173.54,197.86,137.45,148.95,165.33,164.7,154.78,192.66,191.55,124.36,140.22,152.28,151.8,151.84,197.54,189.21,146.09,161.13,181.55,163.94,161.29,190.04,212.02,144.15,160.41,150.1,189.01,175.6,182.9,232.8,155.1,168.78,171.92,171.36,181.44,213.61,212.22,147.24,171.4,179.14,174.77,177.75,212.97,240.54,157.75,166.68,171.76,176.64,181.59,215.51,239.67,157.36,148.23,165.13,162.24,165.77,232.09,273.46,176.83,135.42,163.19,158.39,154.54,202.78,246.37,165.77,146.53,163.35,156.88,155.53,197.3
"702","city","Philadelphia","driving","","Pennsylvania","United States",100,103.67,105.36,107.53,125.52,96.22,89.54,99.79,99.66,102.79,104.39,122.71,114.45,84.6,93.76,98.84,100.06,104.47,122.08,117.62,80.64,97.54,98.91,100.55,104.05,118.77,117.76,91.36,99.77,103.19,105.63,115.34,139.73,125.95,98.63,106.95,104.88,105.63,108.83,131.3,130.11,94.08,101.9,104.98,107.64,113.1,133.99,130.55,95.66,104.95,107.56,110.55,114.72,133.59,132.45,98.05,108.37,105.42,105.97,101.23,109.58,95.56,68.21,74.03,65.44,64.72,60.6,70.07,56,40.98,43.32,47.98,44.98,52.55,58.97,45.05,39.3,48.64,48.2,52.23,52.24,58.49,51.16,42.67,51.84,51.38,53.03,52.16,60.72,56.34,36.93,45.39,56.15,58.67,59.65,66.91,60.77,52.3,59.46,56.72,62.47,61.96,66.79,71.28,47.02,60.18,68.37,66.49,65.16,81.53,81.29,64.36,71.45,74.98,71.31,80.33,85.21,84.66,68.82,NA,NA,86.38,88.79,106.18,99.39,76.98,86.69,93.03,93.8,100.33,105.33,93.04,82.08,77.99,97.85,101.24,99.24,114.37,113.43,89.1,98.63,100.04,102.44,116.36,124.93,124.6,99.92,112.35,117.71,119.37,113.94,141.19,132.26,103.08,118.73,123.1,123.84,125.47,144.37,130.07,98.87,122.72,128.29,132.11,136.1,153.63,141.48,114.39,130.8,133.62,137.85,147.9,140.67,111.81,105.94,121.48,134.85,134.87,143.24,139.6,147.86,117.9,132.95,138.1,139.69,142.99,158.59,151.42,118.91,131.75,137.77,135.89,141.58,156.65,155.74,121.91,135.02,138.23,144.08,145.88,153.46,154.23,118.27,134.94,129.12,159.29,146.54,158.44,159.47,125.8,140.13,141.3,139.62,142.62,164.89,155.83,116.5,136.81,142.32,141.98,149.41,167.67,157.1,119.53,134.07,136.25,139.67,143.62,157.14,139.47,124.64,128.36,133.69,135.7,141.52,165.28,149.75,118.79,110.75,129.27,131.76,130.78,161.69,162.97,118.27,126.08,135.07,133.27,139.53,164.51
"703","city","Philadelphia","transit","","Pennsylvania","United States",100,96.62,98.81,98.35,104.96,84.16,76.21,87.9,94.28,95.48,95.8,112.51,87.34,71.53,90.82,91.9,93.18,94.9,105.8,90.96,69.91,95.45,92.65,94.52,96.36,105.15,93.63,77.55,94.27,96.62,97.2,100.97,114.16,96.73,81.59,93.54,99.95,97.69,96.99,113.22,100.22,79.11,96.91,94.43,96.22,99.18,115.43,98.82,76.7,95.85,95.94,98.75,99.37,105.84,98.31,79.4,99.95,94.06,92.12,83.45,84.13,69.96,52.96,55.98,47.74,45.59,42.06,43.86,34.94,30.31,30.95,32.73,30.68,32.02,34,26.1,26.26,32.06,29.84,30.28,30.11,32.74,28.24,27,33.27,31.88,33.04,32.45,29.61,26.76,23.21,26.44,28.77,28.33,27.8,28.56,24.85,26.12,30.28,27.53,28.11,26.84,26.32,26.78,24.09,29.85,32.75,30.94,28.23,32.14,30.91,29.32,32.96,32.74,30.98,32.59,30.16,28.56,26.48,NA,NA,31.03,30.61,32.75,30.7,29.24,35.08,33.02,32.28,33.1,32.1,31.1,30.48,32.66,36.81,35.83,33.7,35.47,36.51,28.08,31.88,30.63,30.75,35.03,38.06,41.73,37.23,43.74,44.62,43.42,41.69,48.46,46.27,39.86,46.04,45.38,44,44.56,48.56,46.26,40.68,49.17,48.76,49.44,48.04,53.88,50.4,44.95,52.15,51.57,51.7,53.24,52.11,49.57,43.69,47.07,51.94,51.41,53.74,46.58,52.96,45.8,54.65,54.41,52.9,52.56,56,53.65,46.23,53.56,52.41,51.4,51.47,52.59,54.56,46.73,54.2,53.56,53.42,54.53,53.55,56.17,46.77,53.98,49.96,59.58,50.49,54.19,53.06,47.05,56.32,55.79,52.94,52.38,60.05,56.19,44.79,57.09,58.42,56.56,57.56,63.61,58.87,48.05,58.35,57.66,56.62,56.89,58.81,52.67,51.93,54.46,55.25,54.55,55.55,63.01,60.24,50.97,53.13,56.35,55.64,53.07,62.25,58.92,48.32,54.57,54.84,54.75,56.83,66.14
"704","city","Philadelphia","walking","","Pennsylvania","United States",100,99.07,109.82,108.76,136.36,131.75,113.16,97.72,91.88,100.22,105.5,149.82,148.72,96.57,87.53,90.4,94.35,100.49,140.13,157.04,86.22,94.47,93.66,92.7,95.32,124.89,165.25,110.18,97.51,103.47,107.03,112.73,164.49,184.95,135.59,118.89,106.89,108.95,108.15,146.79,186.18,110.61,99.9,95.95,109,110.65,147.24,167.14,108.8,105.76,103.78,115.68,117.25,133.53,179.12,117.82,115.02,101.79,106.46,97.33,118.66,128.88,74.95,67.46,57.91,58.95,54.16,66.58,56.87,40.4,35.85,47.89,39.33,52.56,58.51,39.76,39.8,44.67,42.86,48.27,49.33,52.76,50.52,46.29,52.1,49.88,53.16,46.2,51.51,52.75,40.26,40.13,50.06,52.38,51.37,57.84,52.09,52.56,52.88,47.34,54.66,50.12,53.84,68.4,40.9,50.28,62.25,58.26,53.01,69.64,79.86,64.49,64.77,65.7,57.8,71.16,68.59,69.57,61.17,NA,NA,80.39,80.88,99.9,98.9,76.68,79,84,85.71,92.48,93.3,89.59,83.05,79.39,93.35,95.48,90.91,105.32,115.64,82.21,88.78,93.32,84.06,99.42,107.42,121.93,94.07,101.59,103.18,101.76,96.08,128.5,126.81,96.4,107.69,113.63,111.35,110.78,131.92,118.31,88.61,108.87,113.24,119.96,121.29,143.01,136.19,104.47,117.42,122,126.43,129.41,131.15,118.27,98.35,105.18,123.06,124.5,130.32,121.19,146.76,110.52,121.76,128.05,129.58,133.05,148.54,144.39,106.08,118.84,124.06,120.12,127.6,138.75,148.03,111.89,122.99,127.75,132.11,133.49,144.17,152.58,113.42,125.16,112.53,144.37,133.11,146.25,163.33,119.41,131,131.64,125.59,129.8,162.4,163.89,112.84,135.09,142.72,141.28,153.14,176.65,178.65,123.99,140.89,140.72,148.31,147.25,163.51,161.12,139.16,129.38,139.3,138.48,139.37,175.09,176.78,137.11,120.08,128.95,131,130.04,170.59,191.95,125.19,125.02,131.64,133.65,141.46,178.91
