"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18","X2020.09.19","X2020.09.20"
"192","city","Atlanta","driving","","Georgia","United States",100,105.48,105.94,111.42,127.24,116.7,89.95,98.54,102.1,102.48,106.04,121.81,120.51,81.1,96.8,104.68,101.57,109.31,123.06,125.39,85.24,100.76,104.02,103.25,104.06,121.51,100.51,91.09,105.1,107.67,110.33,119.63,152.76,133.11,92.15,105.7,108.68,110.06,109.55,132.68,135.08,90.98,102.08,112.15,115.81,122.97,141.49,149.82,99.72,106.45,107.81,110.75,115.4,151.23,147.1,100.21,111.5,110.46,115.19,111.67,117.87,107.6,73.28,80.92,75.83,72.9,74.45,78.9,70.56,46.85,55.3,55.86,62.67,61.9,68.76,60.49,45.44,57.98,53.52,58.61,59.74,60.72,48.82,40.35,53.94,54.03,55.37,58.28,65.17,59.29,35.11,58.81,60.92,64.77,66.63,75.16,70.02,45.33,67.71,66.86,67.87,61.56,80.63,76.7,59.04,71.86,74.23,70.56,77.82,92.43,91.03,71.51,81.02,85.57,85.53,89.61,93.32,100.45,73.57,NA,NA,95.47,99.15,115.86,114.6,88.4,95.92,105,102.23,110.54,129.18,122.39,95.04,91.19,103.39,103.99,112.74,131.78,126.31,96.01,108.98,109.61,112.47,118.51,130.82,133.24,103.98,113.36,119.26,119.52,127.96,146.71,150.77,109.37,117.63,121.56,124.83,131.91,157.97,153.87,106.57,122.11,122.95,125.6,134.11,154.66,153.49,117.54,125.79,128.7,132.21,144.06,150.89,127.83,111.94,123.14,123.97,129.54,135.09,157.96,153.07,112.43,126.32,128.95,132.22,138.1,158.01,155.24,118.63,128.2,128.91,133.62,138.42,155.71,152.64,119.83,128.4,130.99,133.09,138.1,152.6,155.94,117.71,128.93,134.57,134.3,138.7,158.04,159.53,120.52,127.75,131.32,131.62,136.82,156.18,155.34,120.12,124.59,126.37,126.71,130.73,150.68,155.15,114.43,118.95,117.55,126.12,129.38,149.15,152.31,111.61,120.73,126.05,129.92,138.13,168.82,163.34,131.21,115.79,125.28,127.27,132.13,156.18,159.44,115.61,126.48,125.07,122.8,127.02,160.94,160.74,116.48
"193","city","Atlanta","transit","","Georgia","United States",100,99.32,100.88,102.85,100.49,88.7,73.27,89.46,96.53,92.46,91.72,98.05,90.04,68.57,91.69,95.24,94.42,94.36,93.7,86.36,72.53,97.2,98.18,96.69,90.55,98.94,77.33,78.35,95.78,96.51,100.89,103.06,115.91,97.99,75.79,96.49,98.03,97.03,90,100.83,95.36,76.02,89.08,99.75,98.77,102.78,110.34,111.21,81.43,94.69,93.72,89.88,93.15,112.2,105.06,80.01,99.67,94.27,95.35,86.77,83.55,74.79,56.72,65.86,61.47,57.72,54.02,55.67,45.68,35.83,44.15,42.78,43.47,46.29,48.84,45.2,40.18,49.92,43.46,43.82,43.9,42.97,39.02,35.59,44.19,42.36,43.97,45.27,44.01,41.58,31.44,45.54,46.89,43.81,42.48,45.81,43.42,34.37,49.36,44.18,41.57,37.75,45.62,41.79,36.11,44.51,44.69,40.54,41.75,45.74,43.96,40.53,47.32,46.43,45.96,46.97,45.19,44.4,38.34,NA,NA,47.55,48.41,50.75,50.5,44.89,49.76,52.14,48.56,50.61,55.96,52.68,47.36,46.42,51.44,48.13,53.28,56.85,54.79,48.26,53.76,53.6,55.19,55.19,56.09,58.13,54.09,57.52,58.12,56.71,58.31,63.7,63.51,50.78,59.05,57.71,57.69,60.89,67.48,63.55,50.16,60.69,59.06,59.12,61.42,64.11,59.44,55.91,61.62,59.23,59.72,64.08,69.17,54.4,52.61,59.96,60.61,61.03,61.14,65.4,62.67,49.82,60.55,58.05,60.11,61.8,65.76,60.98,52.99,60.41,59.26,61.37,60.29,61.56,55.81,53.35,61.55,58.31,56.97,60.14,61.26,60.23,49.67,60.62,62.2,60.48,60.71,64.63,63.09,54.05,59.67,62.43,60.34,61.51,64.94,60.65,55.12,62.79,63.87,61.88,59.41,64.55,63.36,53.48,61.28,56.29,60.87,61.32,63.32,61.43,51.85,59.31,61.7,62.43,65.25,69.14,66.46,55.94,55.04,57.52,57.28,56.2,61.12,57.98,47.7,55.59,52.38,51,57.58,62.79,62.52,52.22
"194","city","Atlanta","walking","","Georgia","United States",100,104.02,111.64,111.78,127.28,133.7,97.93,94.91,91.86,94.28,91.45,121.46,146.31,83.89,92.91,104.12,96.88,104.24,115.55,133.42,87.98,99.12,99.86,96.62,87.34,123.68,117.79,93.38,88.23,98.22,104.26,105.48,174.38,184.49,105.18,100.85,91.09,98.93,92.87,128.2,165.04,91.97,84.34,104.61,105.04,116.72,150.32,212.02,111.16,91.17,99.01,91.76,97.09,145.73,185.97,106.93,106.24,101.02,103.61,102.56,113.7,123.23,68.85,72.24,70.64,68.41,71.72,75.02,70.74,45.51,45.73,51.06,61.44,60.33,66.06,63.06,48.8,56.85,46.92,56.34,57.71,60.19,53.31,45.92,55.13,53.37,55.49,58.74,64.38,62.96,33.81,56.49,59.84,62.57,62.65,73.28,71.06,42.35,65.97,64.32,63.79,53.42,75.26,78.61,58.86,69.41,71.54,61.93,71.26,87.8,92.88,73.36,77.85,82.66,81.66,86.06,83.43,100.46,70.88,NA,NA,94.41,98.72,117.24,124.11,93.34,95.88,106.92,100.17,111.03,124.64,135.31,103.29,95.89,101.81,96.87,112.14,139.39,135.12,102.27,117.96,114.28,117.83,121,129,151.34,114.9,114.49,115.85,114.83,130.58,152.92,168,112.12,116.13,118.47,122.79,130.03,173.32,174.62,110.45,118.98,124.51,123.18,135.06,163.61,165.96,128.97,126.08,127.47,134.39,143.35,176.04,161.44,128.36,124.35,126.5,132.69,137.58,171.21,178.05,122.62,132.84,132.84,134.7,144.73,170.92,175.65,128.75,131.03,129.25,141.06,146.74,172.12,174.58,134.19,136.66,139.1,139.46,143.29,164.1,183.81,131.39,133.6,143.46,141.69,146.61,173.13,191.75,139.66,135.38,139.86,140.34,148.75,177.21,194.53,146.1,140.61,140.5,137.72,140.85,169.1,193.3,132.39,131.57,124.53,140.48,144.23,172.15,190.41,123.49,130.95,135.3,140.18,147.55,193.08,229.19,183.65,135.38,132.57,133.39,139.72,175.06,190.11,129.67,130.69,130.62,125.27,131.3,181.32,202.68,136.14
"2128","county","Appling County","driving","","Georgia","United States",100,116.84,105.43,113.04,138.95,123.56,97.73,115.79,112.79,116.84,114.9,123.4,117.09,82.59,109.31,137.25,123.08,125.26,140.57,135.55,80.89,113.36,118.38,114.25,107.94,135.38,117.57,88.91,120,115.63,116.19,117.98,160.81,139.68,88.34,118.62,123.56,99.92,112.96,141.54,139.43,86.32,109.88,117.81,120.4,129.31,143.16,137.25,102.83,107.13,111.42,89.8,117.33,153.2,138.95,89.8,109.23,114.25,120.97,134.57,182.75,182.27,91.82,109.96,108.58,100.08,98.38,105.18,97,56.44,93.2,78.95,90.61,89.55,113.2,102.43,72.47,93.6,80.73,97.57,90.28,85.75,67.85,43.32,74.74,91.26,78.62,81.62,91.82,76.36,60.57,79.92,85.43,97.57,108.26,117.33,100.24,72.47,101.38,93.52,117.98,83.56,123.4,110.04,84.7,107.45,95.47,121.3,109.55,132.31,129.8,78.79,102.75,112.55,117.57,124.37,146.88,146.96,87.69,NA,NA,124.7,140.97,158.3,147.94,113.28,133.85,139.11,140.24,144.62,189.23,185.1,124.45,127.85,139.11,168.58,170.2,188.91,154.74,124.45,162.27,155.95,153.44,174.33,191.5,181.54,120.81,148.83,138.7,156.92,152.15,186.88,173.28,134.01,160.97,173.52,165.99,163.72,208.58,202.27,129.72,155.95,161.62,168.1,168.42,176.52,178.38,136.19,147.85,149.72,178.7,180.73,174.25,115.06,129.55,177.89,141.21,160.16,168.83,192.79,169.07,145.83,178.38,155.38,158.54,180.24,197.41,177.73,122.43,147.04,151.17,164.94,159.76,182.02,183,134.09,163.64,160.81,142.59,166.72,179.51,173.2,126.48,149.07,153.28,151.5,164.78,195.06,185.26,132.23,154.74,163.32,160.24,163.64,186.72,183.64,106.64,169.15,146.88,148.34,169.96,185.75,145.67,114.49,131.01,137,148.58,144.86,181.7,153.44,110.77,139.43,140,160.97,174.25,208.02,191.66,114.49,147.29,191.26,134.57,162.19,186.56,207.61,107.53,147.85,157.57,129.88,173.12,217.25,195.87,132.39
"2164","county","Baldwin County","driving","","Georgia","United States",100,109.67,116.27,122.37,154.27,133.73,100.42,113.51,103.78,109.16,118.96,141.75,153.5,100.07,98.05,100.6,102.39,114.67,152.09,142.4,104.29,105.68,110.89,111.2,104.15,154.75,148.03,111.68,113.31,116.2,113.1,135.79,183.68,156.61,105.77,124.32,107.6,121.74,120.68,169.05,166.43,119.87,100.02,111.68,115.16,137.44,180.39,213.26,130.92,116.78,116.2,120.84,122.6,179.23,172.97,118.94,130.41,125.78,129.09,144.53,166.2,132.31,86.88,99.51,85.74,85.61,88.18,105.05,95.69,63.84,75.15,70.1,77.58,82.38,94.41,87.41,68.87,76.47,74.13,75.45,84.59,71.51,62.68,56.42,64.86,69.59,71.3,83.68,83.15,81.15,44.65,76.63,81.71,80.76,84.47,95.25,99.63,56.49,88.32,93.9,90.08,78.7,106.86,114.12,80.46,91.59,94.46,90.84,106.49,129.44,137.6,105.38,109.62,112.15,112.12,112.93,127.03,126.26,89.92,NA,NA,127.91,130.92,154.33,153.38,120.91,124.57,126.98,122.16,144.41,169.8,168.24,139.48,126.19,129.49,121.05,139.71,164.84,158.69,119.01,138.34,130.85,132.08,134.93,168.64,169.61,130.16,133.59,141.38,146.15,147.98,176.52,177.4,127.75,142.23,133.38,138.41,147.66,187.46,171.88,121,138.87,140.38,149.44,151.37,181.83,192.51,131.59,145.48,152.16,166.53,180.16,193.74,155.08,144.2,145.97,142.65,148.15,160.41,180.48,180.78,134.31,146.96,135.7,151.51,155.84,189.17,188.22,135.51,139.36,145.67,152.06,145.92,175.73,165.21,128.51,151.27,137.09,146.22,156.19,193.83,227.75,198.12,188.36,191.26,176.68,193.28,208.67,276.82,247.01,242.86,241.4,228.86,237.46,277.77,255.22,188.66,201.11,192.68,195.41,206.56,234.14,229.25,172.97,168.82,178.16,173.09,186.9,210.43,207.72,159.18,167.32,180.11,186.05,214.86,258.72,222.39,174.62,178.63,173.57,166.48,190.33,235.1,224.9,167.78,171.16,181.97,171.77,180.3,233.94,211.27,158.18
"2173","county","Banks County","driving","","Georgia","United States",100,121.28,117.38,121.52,165.33,143.48,141.41,139.05,112.28,107.99,110.78,146.08,154.55,125.13,103.76,109.97,119.74,119.21,167.45,155.56,114.59,118.34,116.03,102.17,106.88,145.02,121.47,121.91,112.23,100.96,114.59,132.64,194.03,174.43,150.36,144.97,121.38,120.61,117.09,157.15,171.74,140.3,101.69,118.63,126.34,136.35,182.76,196.2,160.33,118.1,113.91,117.53,120.51,189.22,191.57,160.66,127.35,120.99,125.37,127.92,151.13,151.37,113.77,108.67,98.99,102.26,100.53,106.4,102.99,78.72,81.56,77.47,86.76,94.75,98.41,88.49,78.19,83.68,72.32,80.6,90.85,88.01,62.3,55.61,79.35,77.08,80.84,85.84,94.03,82.81,45.84,100.43,91.38,86.04,103.66,110.16,101.4,71.16,97.69,93.55,95.86,85.46,109.87,107.32,91.67,94.9,113.43,104.57,113.48,142.42,136.01,110.4,119.45,107.08,127.4,126.58,141.65,147.57,115.7,NA,NA,133.17,136.35,165.86,171.93,152,134.76,140.39,136.54,157.58,199.71,180.89,158.16,145.45,145.59,142.08,151.52,190.9,203.95,172.94,149.74,154.07,146.51,166.83,193.45,206.21,188.69,157.63,142.18,159.85,171.88,219.79,222.15,191.19,162.98,159.17,159.56,188.16,220.75,261.72,214.01,178.43,163.79,184.79,185.84,240.64,259.36,210.78,181.22,171.88,195.04,218.05,247.47,182.96,211.07,191.14,176.41,178,186.47,221.81,238.37,194.37,181.22,179.1,177.85,198.12,223.21,239.34,203.42,189.07,184.83,182.81,196.05,228.02,245.69,213,188.78,179.25,170,191.67,226.62,242.47,206.98,203.37,218.3,221.09,185.07,319.21,237.27,205.01,204.29,171.02,179.59,192.15,226.82,220.94,202.02,168.32,157.2,159.89,172.8,261.68,218.83,167.16,153.2,141.74,158.79,152.43,198.51,204.09,171.11,147.28,152.48,158.98,186.04,254.12,251.66,207.08,226.87,161.96,160.66,170.97,227.78,221.62,203.95,182.14,161.92,153.73,159.61,244.29,228.89,196.63
"2181","county","Barrow County","driving","","Georgia","United States",100,104.23,110.8,115.59,134.73,121.62,90.91,113.61,108.57,107.95,115.56,129.81,127.32,88.62,105.84,114.76,106.93,114.48,130.77,134.31,94.79,111.04,110.2,108.36,103.41,129.62,97.51,95.84,103.26,107.2,111.74,118.99,156.34,136.26,101.42,119.6,111.63,112.11,114.84,148.99,147.91,100.61,109.78,116.71,121.71,128.82,152.83,153.64,110.72,113.57,116.04,113.01,120.74,154.59,150.68,107.1,122.17,114.71,120.74,116.79,134.01,120.88,84.97,94.37,92.01,92.21,98.04,102.81,88.52,63.05,78.71,73.52,86.44,88.77,95.26,78.45,63.28,80.76,75.22,81.12,83.09,87.74,69.18,56.35,76,76.64,81.8,81.71,94.79,81.19,44.56,84.81,88.66,92.02,97.33,115.21,99.13,60.21,96.55,99.6,98.59,89.94,119.18,106.58,82.4,101.32,110.46,98.9,110.76,134.14,117.97,96.5,113.99,117.3,115.6,123.8,130.17,133.03,97.76,NA,NA,136.34,137.36,152.77,147.9,120.89,125.3,142.02,138.29,147.33,169.29,155.33,120.5,119.3,142.96,138.09,148.81,161.92,157.34,126.69,143.68,151.49,151.79,153.72,170.13,168.41,133.08,145.88,155.11,151.92,167.09,182.03,181.38,143.85,149.12,156.92,160.14,163.37,180.76,188.21,132.43,154.69,155.6,158.31,169.58,187.14,185.26,145.33,160.34,167.04,163.27,176.47,177.06,139.43,127.55,146.76,151.38,161.87,164.9,194.88,185.72,138.67,161.33,156.24,164.84,163.59,179.6,176.21,134.93,157.63,162.18,165.29,165.23,185.75,183.11,140.36,159.49,158.77,168.99,172.41,180.5,181.31,140.64,157.92,163.1,164.05,161.25,192.93,183.46,142.6,155.38,162.22,166.96,170.08,194.73,179.02,142.84,155.25,157.82,156.16,158.29,181.36,176.8,130.42,148.31,148.44,157.82,159.29,180.43,173.83,131.62,148.15,163.9,157.67,169.4,203.2,171.91,137.64,132.95,157.89,168.29,173.3,185.98,184.48,129.8,160.2,155.25,150.95,163.02,194.41,186.09,134.92
"2186","county","Bartow County","driving","","Georgia","United States",100,99.58,107.53,107.72,127.82,117.41,95.09,105.52,98.63,98.31,100.99,124.1,128.38,92.37,95.46,102.51,97.85,122.42,131.06,129.84,84.51,101.17,99.84,100.1,102.66,122.91,100.23,95.83,98.73,102.14,104.6,118.43,158.16,138.22,101.07,118.35,106.3,109.26,107.95,140.75,142.77,103.68,103.7,109.38,109.01,121.4,150.37,166.75,114.18,106.27,113.37,111.22,116.65,151.65,165.03,116.38,115.39,108.92,111.99,117.07,132.05,135.14,91.3,93.47,90.76,90.68,99.65,104.47,98.51,62.66,68.59,67.1,77.05,78.83,87.9,83.18,63.96,76.49,65.14,75.27,76.99,74.67,64.2,55.57,71.88,71.78,73.04,79.56,85.5,77.2,41.24,79.48,81.19,80.39,91.08,98.74,92.35,56.64,86.98,90.44,89.95,78.54,106.19,101.67,79.74,95.66,97.54,89.43,101.1,122.95,122.9,106.07,106.7,103.95,110.75,118.4,120.75,127.01,96.56,NA,NA,152.85,129.93,147.74,150.35,121.34,118.33,126.6,127.83,139.8,165.05,160.52,132.89,132.26,131,129.11,139.39,165.71,174.01,138.08,137.53,130.19,140.09,155.66,179.84,190.04,150.14,140.24,142.19,140.04,164.32,186.82,195.26,165.99,141.56,154.61,152.25,163.13,196.74,201.02,150.68,164.2,145.82,153.97,184.43,204.24,212.71,168.18,153.81,156.57,166.57,188.55,201.57,160.21,169.74,158.83,150.81,165.73,171.72,211.37,219.09,166.8,157.6,155.38,171.34,172.86,203.51,208.57,173.01,158.96,162.41,159,173.61,189.61,205.14,154.9,147.66,145.34,157.66,164.25,183.47,198.8,172.71,152.24,155.66,153.31,166.03,200.9,213.71,159.03,139.65,145.57,148.16,155.97,176.04,181.93,144.9,145.29,136.96,140.26,145.08,168.22,170.9,132.2,129.55,131.99,132.1,141.81,187.36,169.36,132.04,131.58,133.83,143.51,154.72,188.77,179.53,151.53,150.56,140.74,146.37,155.8,181.77,184.46,142.85,135.98,137.37,134.28,140.51,172.22,176.96,142.65
"2240","county","Bibb County","driving","","Georgia","United States",100,102.54,107.35,118.82,140.52,125.49,92.48,111.62,100.89,104.41,106.7,122.97,121.45,82,95.36,101.87,100.2,112.24,132.65,129.3,85.29,101.41,105.78,107.09,105.17,136.48,127.42,94.93,109.01,119.83,117.93,133.43,184.52,147.88,95.36,119.77,111.74,118.01,121.4,157.18,152.39,100.38,104.23,114.55,122.12,130.18,158.09,164.17,110.51,116.02,113.69,121.85,130.68,176.9,164.58,108.45,119.86,122.04,122.93,130.09,164.7,150.14,101.33,108.86,105.05,99.23,104.28,111.12,96.44,65.93,74.88,74.12,77.7,79.36,90.17,79.74,58.37,74.88,72.06,76.66,81.33,71.41,55.91,46.38,64.96,64.78,67.03,74.69,77.53,68.14,44.5,77.03,77,83.57,84.01,94.04,87.38,49.69,81.79,84.14,86.95,73.36,107.42,94.96,75.6,90.2,95.61,90.73,108.14,118.64,111.12,87.98,102.67,106.08,109.1,115.39,129.23,131.12,94.13,NA,NA,127.66,129.43,148.18,142.07,111.08,119.53,135.08,129.71,144.62,163.24,149.82,112.37,116.91,136.29,133.5,144.67,163.53,158.63,121.36,139.55,138.69,139.91,144.22,167.68,164.55,120.95,143.06,146.08,143.19,155.54,176.34,175.42,130.61,144.86,142.87,153.66,158.23,191.64,183.95,131.88,152.11,151.81,154.93,161.88,193.61,188.54,161.08,150.53,152.34,160.78,180.37,175.7,136.33,142.38,154.64,148.36,156.32,162.2,188.32,176.5,127.45,146.83,151.01,157.99,163.77,187.77,179.77,138.34,150.12,147.06,154.83,167.2,190.73,177.97,137.2,153.77,157.74,152.77,162.18,189.6,187.4,136.59,156.27,154.34,159.39,167.73,195.58,183.5,141.11,155.34,163.92,160.13,168.67,186.69,177.27,144.79,149.12,147.81,148.76,152.82,179.73,175.11,125.84,139.5,141.73,148.93,157.13,181.63,164.29,127.29,142.17,152.91,154.75,172.06,213.27,173.5,131.47,147.12,147.43,144.79,157.84,187.31,174.03,124.32,144.17,145.23,142.05,160.93,186.72,178.69,133.29
"2241","county","Bibb County","walking","","Georgia","United States",100,120.62,142.97,128.13,156.17,159.25,93.16,109.44,96.05,98.84,101.16,143.93,163.78,75.05,91.91,106.26,106.26,116.09,149.71,177.65,83.43,102.12,127.17,106.17,106.55,151.54,171,87.67,103.95,121.58,114.35,142,198.84,189.98,85.07,108.96,110.79,123.8,108.77,161.56,184.87,84.1,95.57,110.21,107.9,130.92,170.81,183.72,109.34,108.19,110.89,121.39,129.09,216.76,182.56,98.75,111.08,118.11,119.75,121,153.08,188.54,87.38,97.78,107.61,102.7,106.65,116.38,87.86,63.39,79,77.65,84.68,87.96,98.65,98.07,62.33,84.49,65.22,78.13,84.3,86.13,72.74,50.96,82.95,65.03,67.15,79.09,81.89,85.55,47.88,87.67,79,81.12,79.29,97.59,102.12,51.54,91.33,89.31,90.46,77.55,107.71,103.37,74.08,94.51,92.39,102.99,111.56,117.73,117.05,79.87,98.07,121.68,122.74,120.33,132.37,139.98,82.56,117.73,96.63,133.14,139.88,164.16,175.24,108.29,139.6,146.53,132.76,163.29,190.66,168.4,107.8,103.66,133.53,140.75,159.54,186.71,171.77,118.21,156.17,170.71,155.88,155.59,189.4,178.13,112.81,158.29,150.58,170.13,169.85,192.68,206.84,121.97,160.79,157.9,166.47,188.63,207.71,221.1,129.67,171.1,178.13,163.01,170.52,215.61,204.24,134.68,177.36,165.32,195.66,205.78,197.88,148.46,135.55,178.71,185.26,190.94,173.41,214.74,206.65,124.66,183.91,194.61,178.32,182.95,226.59,181.7,132.95,194.41,169.27,166.47,195.38,240.08,211.95,150.19,185.84,186.03,192,190.08,225.43,210.6,143.35,196.05,204.34,185.16,208.29,252.31,229.38,148.27,197.59,219.75,227.36,221.29,256.74,255.49,175.63,196.63,188.92,184.97,190.56,231.02,256.94,150,186.9,186.51,190.66,199.13,224.86,238.73,149.13,181.12,196.44,212.81,233.91,246.44,258.67,184.87,152.79,196.34,192.29,198.55,252.31,248.55,146.15,186.99,201.06,195.09,206.65,254.82,280.54,164.64
