"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18","X2020.09.19","X2020.09.20"
"200","city","Austin","driving","","Texas","United States",100,99.17,103.96,105.19,119.18,118.27,93.77,100.92,105.65,102.7,107.8,123.08,117.17,87.33,99.23,104.96,106.5,106.92,126.53,122.84,84.37,96.37,104.34,99.29,109.23,126.45,122.23,85.21,97.93,105.4,108.27,121.58,144.59,133.35,110.7,107.48,105.93,108.23,113.58,137.11,135.32,95.87,106.11,115.16,114.22,126.32,142.59,140.48,99.11,104.8,111.36,110.5,118.06,140.9,139.35,100.73,114.73,120.28,119.55,119.99,120.73,98.11,66.26,77.18,69.24,66.82,62.38,59.92,48.92,39.82,54.75,55.25,45.4,47.56,52.94,45.24,37.88,42.87,48.26,49.39,45.4,48.54,40.88,36.17,45.52,48.09,49.1,47.77,56.16,46.86,34.38,49.33,50.73,55.09,55.44,59.24,54.02,45.1,56.37,55.43,52.22,60.84,68.45,64.19,51.83,58.11,61.2,61.67,66.22,78.11,73.68,59.54,67.67,68.8,70.28,72.14,84.54,81.12,62.64,NA,NA,76.87,82.06,92.68,88.33,75.44,84.83,89.16,91.68,94.73,111.19,105.68,83.28,77.76,91.43,91.61,99.17,115.27,115.5,87.93,95.66,95.29,98.79,104.3,120.85,117.03,95.81,100.82,102.36,105.9,108.98,128.15,124.31,99.27,102.95,104.13,106.05,109.77,128.48,118.13,89.96,100.41,98.32,103.07,107.51,117.23,114.05,88.94,99.31,102.55,105.06,112.71,115.52,88.32,83.52,98.73,99.75,102.55,105.7,121.15,111.91,89.6,98.65,101.84,103.43,107.96,123.43,117.42,94.05,100.88,101.51,105.97,109.12,126.67,116.53,92.44,103.54,105.07,108.97,113.61,124.78,126.04,97.45,107.82,108.59,110.66,115.07,130.7,126.65,102.74,106.71,107.91,111.92,114.5,132.09,130.34,105.17,107.09,107.5,109.27,117.39,135.25,129.79,104.06,104.22,113.5,124.74,125.83,137.87,132.78,100.53,103.43,106.54,105.05,110.68,131.81,137.39,117.4,104.77,103.13,95.91,108.1,130.85,132.22,98.73,102.88,106.27,109.17,111.39,136.37,135.5,100.51
"201","city","Austin","transit","","Texas","United States",100,105.32,107.85,105.53,108.08,109.55,98.66,124.08,149.72,136.2,142.01,150.52,126.9,105.73,137.87,131.83,131.35,137.1,146.45,130.32,101.92,129.35,132.78,119.41,134.58,142.07,119.82,99.89,125.75,131.57,137.39,146.86,157.69,129.13,127.57,132.49,128.87,127.92,130.78,146.15,134.33,119.28,131.41,134.12,128.61,142.15,154.25,139.55,107.99,128.4,137.58,127.24,136.71,147.4,131.07,102.02,129.52,136,125.82,126.32,104.31,79.98,59.07,68.09,59.2,55.21,50.01,41.02,32.58,34.7,42.8,39.58,34.41,35.83,37.12,30.12,30.95,28.2,34.54,33.69,29.63,29.41,24.1,24.89,33.33,35.2,34.74,34.18,31,27.09,25.94,30.3,30.87,31.23,29.33,29.96,27.13,26.92,34.7,30.16,30.68,36.09,34.52,33.57,29.83,33.33,35.37,36.68,33.61,41.49,38.38,34.2,40.84,39.97,41.73,41.7,42.07,40.82,32.91,NA,NA,40.45,39.87,39.54,42.73,36.91,48.26,44.59,46.99,48.2,50.69,47.1,42.08,36.64,47.34,49.52,50.03,50.77,51.87,43.73,47.34,47.29,49.17,52.73,52.51,52.67,48.4,54.3,50.32,52,56.47,58.64,55,50.08,53.97,53.59,53.71,55.24,57.31,53.91,46.78,52.18,48.57,51.75,53.86,51.03,49.84,41.01,50.73,52.31,50.99,52.07,51.68,37.99,38.85,47.5,49.33,48.96,50.09,50.8,44.28,41.62,46.26,48.16,46.43,49.24,47.88,46.41,42.12,48.52,49.45,48.04,47.19,52.44,46.79,43,47.58,48,48.78,49.77,50.94,53.29,42.27,55.34,53.21,49.12,47.81,53.61,53.07,44.04,53.45,50.55,53.05,52.31,57.48,52.26,49.89,54.09,59.24,55.4,55.09,64.75,60.1,56.8,63.36,63.17,65.68,67.69,70.95,65.83,53.97,61.06,60.15,56.67,58.75,59.55,65.66,57.55,55.86,55.84,50.03,57.28,66.84,66.92,53.23,60.22,59.54,66.19,61.61,70.21,72.84,57.96
"202","city","Austin","walking","","Texas","United States",100,101.52,105.54,107.57,146.21,194.36,136.85,132.35,155.62,140.22,145.05,181.66,189.79,126.31,134.23,126.43,123.77,125.12,169,195.5,113.33,115.97,128.04,113.13,131.83,175.34,193.38,104.09,103.1,103.43,117.88,140.03,201.69,234.57,188.96,133.69,112.76,113.24,126.15,178.76,217.4,132.23,125.76,131.98,126.88,145.94,200.31,235.17,135.5,117.5,123.86,106.39,141.34,191.55,217.68,139.34,117.64,142.99,132.61,131.47,134.64,130.28,69.6,74.24,64.45,62.73,59.1,51.43,43.66,42.39,55.6,58.81,49.15,49.94,54.06,49.25,43.98,38.71,52.83,52.54,42.78,43.17,36.1,40.51,48.37,51.8,50.53,46.33,57.72,48.45,39.43,49.4,49.84,53.72,54.6,51.89,53.95,48.04,54.83,53.05,49.95,61.1,64.19,66.11,55.1,58.4,60.47,63.71,65.62,74.34,76.19,61.48,66.54,68.3,71.25,71.06,81.59,84.26,62.4,NA,NA,77.69,83.25,93.42,99.51,81.89,92.01,94.22,94.29,99.86,118.5,127.44,95.42,83.16,98.47,95.43,105.22,132.16,142.11,102.78,98.8,100.93,103.71,109,133.7,143.51,113.35,105.92,105.95,113.58,114.93,152.85,168.4,114.39,107.65,108.54,113.25,116.31,147.37,147.67,95.48,107.63,104.24,108.25,114.44,128.63,132.22,96.29,107.26,108.95,107.77,116.81,131.76,101.87,89.7,103.58,104.59,107.87,113.02,129.47,123.82,94.4,103.75,106.76,109.08,111.3,132.09,134.29,100.13,108.94,106.17,110.2,115.29,139.39,132.92,94.82,107.56,109.37,114.15,121.18,128.65,151.29,103.92,109.11,116.02,118.41,119.24,144.4,151.63,111.62,114.12,118.53,118.11,122.6,148.7,167.18,123.01,122.92,127.14,126.99,139.73,171.67,183.03,138.8,138.02,150.56,170.09,163.46,176.87,179.1,120.43,122.71,124.77,118.76,124.6,161.52,204.18,169.14,125.64,114.83,101.45,126.83,165.72,189.12,122.65,119.33,122.52,126.4,128.46,172.14,196.02,127.03
"327","city","Corpus Christi","driving","","Texas","United States",100,102.49,104.45,106.87,124.88,117.68,84.83,101.22,100.04,100.25,106.12,121.8,120.16,82.4,96.84,102.56,103.11,102.69,127.39,126.67,80.27,100.76,105.42,102.11,108.09,127.2,126.36,87.29,102.68,104.24,107.54,120.6,143.79,140.54,101.47,113.02,113.46,110.04,113.46,135.84,135.08,93.84,106.73,114.75,116.01,117.67,139.55,146.88,102.84,113.1,117.11,115.96,127.34,159.12,161.33,119.89,137,141.43,150.62,144.86,160.5,163.75,113.4,117.53,109.81,104.17,100.5,104.07,73.72,55.36,73.89,72.67,69.61,68.47,67.68,57,45.63,60.99,66.63,66.88,65.37,73.41,53.96,44.81,62.39,65.3,70.11,70.17,73.25,62.41,39.94,69.89,71.2,78.12,78.8,86.76,74.14,61.35,81.61,80.75,82.28,87.69,101.01,102.86,77.89,89.45,90.05,89.71,98.56,121.03,129.6,99.25,105.69,109.44,105.06,111.97,134.36,131.53,95.86,NA,NA,117.15,124.02,147.58,140,124.35,129.1,134.45,137.85,145.28,188.16,220.05,175.22,137.85,133.69,143.32,150.88,176.38,188.24,133.69,125.17,139.11,144.61,158.01,194.13,208.7,158.68,153.31,151.13,155.66,166.35,206.46,226.24,169.31,157.62,158.4,157.04,161.96,193.69,199.92,140.28,152.01,149.51,140.95,153.23,170.34,172.09,134.04,144.87,141.46,144.58,154.53,156.78,122.38,114.45,141.15,142.11,142.53,150.1,169.49,158.08,129.72,142.52,140.54,143.78,148.84,166.25,155.26,127.72,141.38,139.69,143.4,149.88,156.87,64.05,98.96,136.65,137.83,143.93,154.04,169.31,158.2,130.25,149.71,147.45,147.94,153.09,180.67,178.32,138.43,147.13,145.48,149.99,152.71,189.47,198.99,153.72,151.84,145.59,146.09,152.25,189.95,189.91,138.53,134.48,137.62,148.44,148.42,177.13,173.79,129.95,135.83,142.82,139.87,150.26,187.6,188.63,167.35,147.21,137.05,136.48,145.77,174.01,179.84,131.29,136.35,140.61,138.29,141.11,173.6,173.79,118.13
"328","city","Corpus Christi","transit","","Texas","United States",100,103.87,93.33,103.01,97.42,94.19,88.6,91.83,109.46,87.74,103.01,85.59,99.35,80.43,109.68,110.97,84.3,107.53,113.98,100.43,60.86,110.75,112.26,100.43,101.94,90.11,106.88,68.17,113.98,91.83,97.63,126.45,122.15,98.49,98.71,120,128.39,110.32,116.56,131.83,101.29,93.76,98.06,112.04,90.11,98.06,109.46,123.23,85.38,116.56,126.45,112.47,113.55,127.31,109.46,93.12,128.39,119.78,113.55,111.4,113.12,105.38,78.28,132.9,87.53,81.94,74.41,95.05,57.2,49.89,73.33,54.62,51.61,54.19,58.28,47.96,40.86,49.68,45.38,58.49,53.55,64.52,38.71,44.09,50.97,55.7,51.83,49.03,47.96,39.57,29.25,46.88,39.35,45.38,49.89,54.62,44.3,40.86,61.72,43.66,48.17,57.2,54.62,47.74,38.49,50.11,66.02,48.82,46.45,63.01,57.42,54.41,74.84,55.7,65.59,69.03,70.32,61.08,56.34,NA,NA,61.08,61.29,75.27,56.77,60.65,72.69,76.13,69.03,61.72,74.62,100,74.41,63.01,62.58,66.67,79.78,68.6,76.56,61.29,57.63,68.17,72.26,76.56,90.32,94.19,67.96,72.04,86.88,71.61,76.34,82.15,91.18,84.95,70.75,69.89,84.95,73.76,90.11,87.31,55.7,70.54,83.01,70.97,62.8,64.95,66.24,72.26,78.49,72.69,60.22,65.16,55.27,64.73,57.85,66.02,57.42,55.27,73.33,70.54,64.73,69.46,76.34,74.19,62.8,77.63,59.35,65.59,47.74,65.81,67.1,63.66,67.31,56.56,36.56,45.38,66.45,57.85,64.52,65.59,67.96,62.8,64.52,68.39,75.05,57.63,68.39,67.96,66.67,60.22,62.15,56.99,73.12,60.86,71.4,87.96,72.9,76.99,73.12,82.58,67.53,83.44,70.54,64.73,66.02,65.81,76.99,65.16,78.92,67.31,71.4,67.31,62.37,61.51,77.63,79.14,73.12,68.17,61.72,65.81,75.05,65.81,64.09,73.76,61.29,56.77,83.01,61.51,70.75,81.08,75.7,61.94
"329","city","Corpus Christi","walking","","Texas","United States",100,98.04,103.48,99.02,121.69,126.94,85.08,102.04,95.89,93.93,96.4,125.69,139.86,79.56,95.85,108.3,102.9,96.79,124.28,128.27,74.94,88.96,106.38,98.55,104.39,125.18,135.94,78.43,98.9,94.79,109.79,117.11,150.27,150.9,93.5,106.58,110.96,96.75,100.55,138.02,143.7,88.14,99.33,104.66,105.09,109.98,136.1,156.62,97.18,105.44,116.88,103.33,126.86,161.04,175.41,121.89,148.04,141.78,155.32,140.33,163.23,194.21,107.6,117.03,120.79,111.08,104.31,95.65,71.14,58.65,78.03,75.25,78.66,79.91,70.56,59.2,46.87,65.07,71.53,72.59,66.05,80.15,54.5,53.33,66.6,67.89,84.81,71.38,79.72,68.25,40.02,70.36,73.34,83.16,78.03,97.81,78.94,60.61,87,86.45,86.73,83.99,112.33,105.05,75.18,88.8,89.98,89.62,99.45,132.11,136.18,92.68,103.45,120.6,111.04,117.46,137.2,137.31,87.31,NA,NA,135.59,132.69,154.66,158.54,131.83,147.18,151.17,150.7,156.3,214.02,234.73,195.3,143.62,146.52,149.8,164.49,203.13,209.48,141.78,129.01,145.14,157.48,163.35,222.55,232.5,153.8,175.29,162.02,167.42,166.91,228.66,269.46,171.69,172.75,167.38,172.83,173.41,219.89,222.28,146.79,168.17,160.14,162.88,189.55,191.74,204.23,138.8,165.23,159.24,153.17,168.05,184.96,149.33,132.97,154.39,159.16,164.13,156.89,186.14,183.71,133.32,154.03,165.47,162.26,170.75,191.9,177.25,129.68,158.73,167.85,158.1,170.05,167.66,66.13,112.57,167.5,164.1,158.34,170.28,192.01,179.6,144.91,159.55,171.85,163.86,171.18,208.57,222.24,149.33,164.6,173.77,163.78,168.32,219.5,237.59,167.27,174.39,181.4,168.56,178.27,218.13,209.51,133.44,157.64,160.77,159.04,160.69,203.45,207.79,149.33,153.41,160.49,157.67,169.54,203.76,215.82,181.95,144.36,155.09,165.35,162.96,207.01,216.05,136.49,150.78,154.66,155.48,159.44,192.8,206.54,127.02
"332","city","Dallas","driving","","Texas","United States",100,104.04,104.85,108.54,123.66,119.86,83.12,99.95,102.73,99.65,105.72,125.75,121.61,80.57,100.21,99.39,99.25,104.22,123.98,121.13,81.06,100.08,100.75,87.81,105.59,123.65,122.34,81.9,103.84,103.98,108.14,116.81,143.42,126.79,94.36,106.2,107.09,110.56,112.15,133.82,132.23,88.15,107.57,111.27,112.69,121.21,143.91,142.93,96.61,107.6,112.59,109.3,123.15,143.35,134.13,91.47,106.81,115.5,115.56,110.87,109.68,94.36,65.87,81.28,73.78,70.9,67.41,71.16,60.07,41.72,56.97,53.92,51.63,53.41,59.8,52.5,40.18,47.98,54.05,55.56,53.4,57.98,47.9,38.58,51.41,55.12,56.59,57.52,66.74,52.96,38.76,55.63,56.59,62.51,64.72,69.72,65.64,49.21,64.1,64.3,62.08,70.69,78.95,72.26,55.67,66.54,68.87,71.72,75.94,89.04,81.71,64,77.62,81.98,82.48,83.55,96.63,94.09,67.03,NA,NA,89.37,94.42,106.49,86.03,81.87,96.56,100.61,101.93,104.65,121.41,111.04,80.73,75.12,101.46,105.97,111.24,129.1,123.03,90.26,105.32,106.98,111.18,115.06,132.81,126.15,95.51,111.57,114.55,116.92,122.09,138.61,132.42,99.73,114.13,117.8,118.88,123.91,140.94,133.55,88.59,111.33,109.6,120.01,123.52,137.18,129,94.75,112.45,116.37,118.94,125,126.1,101.49,85.88,106.58,111.78,117.03,120.49,135.67,129.35,95.64,111.68,115.68,117.16,120.63,138.14,131.21,98.49,112.89,115.38,117.86,122.9,140.77,133.01,100.97,115.08,114.44,119.79,127.67,138.82,134.3,100.99,118.78,121.45,121.6,127.36,147.11,142.13,106.49,119.37,122.2,125.2,127.32,147.63,141.35,102.3,118.92,119.5,120.56,124,145.42,142,103.9,113.37,117.6,121.73,125.28,145.46,138.07,98.9,111.92,110.75,113.93,123.13,148.48,140.39,111.21,100.57,115.89,115.5,120.66,143.84,145.47,102.85,115.17,118.82,120.18,125.38,149.58,146.29,102.28
"333","city","Dallas","transit","","Texas","United States",100,100.41,102.62,95.6,106.14,99.5,78.24,98.65,104.63,95.68,102.85,107.98,100.91,73.23,102.31,98.15,95.98,98.05,107.68,101.39,78.61,100.47,95.73,85.93,98.46,108.18,100.43,75.61,101.35,94.1,98.24,103.99,114.08,102.23,86.55,105.27,102.49,101.15,102.61,113.77,102.22,78.27,105.48,103.51,101.02,106.18,118.37,114.34,85.51,106.36,102.93,96.44,109.51,117.82,109.09,83.75,100.42,108.45,107.74,96.98,88.53,75.21,59.28,75.4,61.86,60.27,59.21,55.47,46.78,38.32,49.36,46.34,43.65,44.34,48.22,42.16,36.08,40.38,43.53,42.61,39.17,37.85,34.43,32.43,42.11,43.26,44.88,41.76,43.86,37.58,33.31,40.26,40.33,41.55,41.21,42.56,40.69,36.36,46.18,45.07,42.97,46.5,48.35,43.57,38.75,44.68,48.26,47.16,47.56,54.18,48.2,44.54,53.23,52.16,53.32,51.89,54.5,51.87,43.78,NA,NA,55.99,57.43,58.46,47.17,49.87,58.73,60.5,59.29,57.27,65.39,60.08,48.76,47.05,60.65,63.17,63.1,68.94,66.74,55.6,65.08,61.56,63.73,64.01,69.05,66.32,55.96,69.02,68.43,66.22,67.43,71.65,65.05,55.38,66.63,68.26,68.8,67.94,71.82,64.8,49.21,66.95,63.08,69.49,66.29,71.24,64.35,55.47,64.26,63.71,64.96,64.69,65.01,53.49,49.18,58.92,63.66,63.3,65.01,68.52,63.23,52.49,63.16,63,63.22,64.36,68.31,63.27,52.72,61.55,62.57,65.17,65.79,68.15,62.41,55.01,62.88,59.07,64.79,65.22,66.92,64.38,54.06,64.21,65.86,62.48,66.54,71.54,67.96,57.59,65.09,66.63,67.24,65.89,70.58,67.46,54.7,67.16,65.02,62.94,64.71,69.68,66.63,57.26,66.19,67.21,64,67.37,69.97,66.79,52.16,66.3,60.01,60.14,63.22,73.87,66.96,55.45,57.21,64.15,60.91,61.99,68.21,68.04,54.72,64,65.39,67.75,73.65,79,76.55,62.03
"334","city","Dallas","walking","","Texas","United States",100,105.98,104.27,97.22,125.88,160.2,99.82,105.52,99.64,92.38,102.33,131.7,153.44,90.62,98.56,94.16,93.36,95.09,127.82,157.65,94.01,95.8,94.53,80.73,97.65,127.4,162.01,86.98,89.85,89.98,95.47,112.28,159.24,176.33,125.74,115.99,95.91,94,107.09,143.97,171.81,95.08,102.45,103.31,101.79,117.5,163.78,202.47,123.66,104.79,109.48,97.71,122.99,149.96,166.79,104.92,107.44,120.58,120.57,114.01,111.9,117.07,70.07,82.13,74.55,72.89,69.9,70.19,65.99,46.69,60.82,62.94,61.49,60.98,65.76,63.75,50.13,48.36,62.05,62.05,58.51,58.28,49.34,45.91,57.91,65.07,65.26,64.03,77.76,60.87,46.24,60.55,60.92,68.36,70.96,72.43,73.27,55.64,71.14,71.55,67.4,79.03,84.51,81.68,64,71.67,74.1,78.54,80.69,95.75,92.28,71.85,82.48,89.25,88.59,89.33,103.49,109.97,74.57,NA,NA,102.21,108.28,121.63,98.55,100.31,111.28,117.71,116.64,118.91,143.79,138.85,99.54,83.5,120.86,125.2,129.95,157.64,162.51,107.22,124,123.81,124.9,129.46,152.59,156.64,109.67,124.01,127.99,132.85,137.25,159.46,164.06,112.89,128.8,130,133.14,139.65,159.41,163.54,99.02,126.19,121.9,141.18,141.43,161.56,153.98,106.46,129.13,132.3,136.25,138.88,154.54,120.57,99.14,124.12,131.73,135.36,138.62,157.68,156.51,109.81,126.7,133.93,133.29,136.59,159.11,162.62,113.05,127.04,131.38,134.72,138.92,163.58,164.14,116.93,129.4,125.86,135.18,142.68,161.28,167.51,116.38,134.13,140.65,138.43,146.17,171.05,177.04,123.17,136.93,143.16,144.85,146.95,177.08,182.92,119.84,140.92,143.52,145.12,149.4,176.91,185.53,125.76,137.08,143.99,149.39,152.8,175.93,175.83,117.17,132.28,128.29,134.48,144.74,177.02,184.39,140.31,120.07,136.97,127.22,140.34,176.66,195.12,123.7,136.24,142.19,143.5,145.39,184,201.22,129.61
"373","city","El Paso","driving","","Texas","United States",100,108.78,105.93,119.81,136.13,129.75,90.38,99.73,105.12,106.12,108.16,126.23,129.46,89.06,98.83,105.99,108.12,116.46,136.61,136.43,89.93,106.07,107.55,109.84,110.49,135.24,139.61,98.01,109.08,107.55,117.03,134.9,161.86,142.61,105.2,109.19,113.05,110.42,115.67,138.41,149.69,98.68,110.8,114.01,117.69,123.75,148.81,153.55,99.32,113.19,115.82,119.3,125.03,150.77,161.21,101.06,120.19,123.77,121.05,120.26,137.08,131.27,89.36,105.18,95.9,86.03,86.9,97,85.88,62.13,76.84,80.04,57.92,65.81,69.91,62.85,48.42,61.72,65.48,66.41,64.14,71.64,62.11,47.75,62.95,63.78,63.91,66.92,72.79,63.25,42.14,65.29,70.14,75.27,76.14,84.4,77.17,60.6,75.43,74.4,76.62,79.39,91.96,82.09,63.59,76.19,80.54,82.88,89.78,105.25,95.83,72.63,91.26,94.2,93.98,96.11,112.94,114.91,80.08,NA,NA,100.78,106.51,126.08,118.55,89.83,110.01,111.78,114.84,119.57,141.01,129.42,100.18,98.17,116.45,118.6,120.78,145.7,135.24,105.44,116.77,120.2,124.25,128.06,148.46,142.72,107.34,126.02,126.91,127.64,136.05,161.44,150.9,115.48,130.19,132.35,134.72,136.94,162.6,169.12,104.44,130.42,133.46,136.03,142.09,157.93,151.99,110.31,133.73,140.83,140.62,152.52,157.06,127.47,106.68,136.7,137.1,134.84,138.38,158.85,148.22,108.55,130.52,135.41,134.87,138.73,158.84,148.99,109.16,129.65,133.75,133.72,138.65,160.28,153.84,112.88,133.21,135.89,139.06,143.13,162.41,158.61,119.23,142.79,139.63,140.62,141.38,165.57,161.52,119.57,136.75,138.22,142.5,145.82,172.97,164.65,121.68,133.07,131.88,135.35,136.46,164.72,162.92,116.79,126.95,129.93,132.16,134.47,164.85,165.58,114.73,129.8,135.08,139.98,146.63,173.28,166.7,125.87,116,130.82,130.31,132.56,162.04,164.8,117.71,130.07,133.58,132.58,135.61,163.28,163.88,112.01
